	pielou_e
Vil1-01B-FP11	0.49741866249567845
Vil1-03B-DTT33	0.6759941004490311
Itg-18-DTT496-S91	0.5137677890394057
SLCFP072	0.5790181661832476
LYZdtt342	0.31504233133005116
Lyz2-02B-FP222-S70	0.16809374951843228
SLCFP021	0.557686555744056
Vil1-05B-DTT57	0.018587804717230077
LYZdtt351	0.23300098014999612
Lyz2-07B-DTT281-S123	0.6913635722092845
Vil1-010B-DTT117	0.6621978671487353
Itg-10-DTT455-S49	0.6682809736070638
Itg-22-FP518-S21	0.49322774349511206
SLCFP069	0.6256941659854253
Lyz2-05B-DTT260-S101	0.5370659681827438
Lyz2-04B-FP244-S41	0.6377935486911559
LYZFP308	0.4802389220037237
SLCFP111	0.7232797609137049
Vil1-05B-FP57	0.780834317969686
Lyz2-02B-DTT221-S61	0.6604928519617216
Vil1-06B-DTT70	0.02114074869961681
LYZFP307	0.4627715066182225
Vil1-03B-DTT35	0.619657171604254
Vil1-03B-FP35	0.41447875266543743
LYZdtt364	0.6089370949756215
Itg-02-FP409-S9	0.7075569925990738
Itg-10-DTT456-S50	0.7223380234038518
Vil1-01B-DTT11	0.4212245788951699
Vil1-01B-FP07	0.6181507358314171
Lyz2-04B-FP243-S92	0.5203767363238
Vil1-13B-FP153	0.48494013742368547
Vil1-07B-FP82	0.44863032045047413
Lyz2-07B-FP283-S81	0.43634590567940235
Lyz2-04B-FP245-S42	0.6960607951365945
Itg-20-FP508-S11	0.6089897921239397
SLCdtt163	0.6911243248444271
SLCdtt050	0.6601513223208035
Vil1-10B-FP115	0.5999481007781684
Lyz2-06B-DTT269-S111	0.6786802167309043
LYZdtt308	0.3660810330022983
Lyz2-03B-DTT232-S72	0.6995965779913643
LYZFP331	0.23691090607070395
Vil1-09B-DTT105	0.3060381344713579
Itg-20-DTT504-S99	0.7301528979583057
Itg-20-DTT505-S100	0.5502920561189806
Itg-24-DTT530-S25	0.6240772274382937
Vil1-06B-DTT72	0.026025241483977207
Itg-24-DTT531-S26	0.35344815504139776
SLCFP131	0.5809986071453997
Vil1-01B-FP08	0.6404185530729413
Vil1-10B-FP116	0.6486582108444136
Vil1-14B-FP167	0.2881125782779877
SLCFP078	0.44240604453648463
Vil1-04B-DTT43	0.592418910905324
Itg-24-DTT529-S24	0.7476552144801273
SLCdtt110	0.6857646208136827
Itg-04-DTT423-S15	0.37012104177267613
SLCdtt075	0.532182598150292
SLCFP070	0.5283814497850073
Vil1-07B-DTT79	0.022873067329489283
Vil1-04B-FP46	0.4126064385452714
LYZFP304	0.4862703806176473
Vil1-06B-FP67	0.7012964514798039
Lyz2-06B-DTT272-S114	0.6212115469102141
SLCdtt022	0.5561590497699401
Itg-18-DTT492-S87	0.7013887308804205
Vil1-014B-DTT164	0.684209498824553
LYZdtt366	0.3555141511323283
Lyz2-01B-FP208-S56	0.7314107705721427
