# Constructed from biom file
#OTU ID	TL1a_FP_89	TL1a_FP_287	TL1a_FP_161	TL1a_FP_197	TL1a_DTT_269_Repeat	TL1a_FP_269	TL1a_FP_131	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_FP_233	TL1a_DTT_287	TL1a_DTT_233	TL1A_DTT_629	TL1A_FP_677	taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	126.0	0.0	21.0	0.0	793.0	27.0	28.0	0.0	426.0	34.0	8.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus;s__muris	0.0	17.0	0.0	16.0	1.0	87.0	22.0	3.0	15.0	10.0	21.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	83742.0	5853.0	45020.0	7024.0	0.0	13469.0	76.0	7928.0	89.0	4977.0	93.0	4.0	13669.0	445.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	0.0	6178.0	0.0	895.0	3.0	18.0	210.0	1599.0	71.0	59.0	402.0	230.0	0.0	6.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	1304.0	0.0	344.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	123.0	3.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__nordii	585.0	0.0	238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__salyersiae	25.0	0.0	583.0	0.0	28.0	0.0	4.0	0.0	0.0	13.0	0.0	0.0	485.0	13.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	12671.0	0.0	11080.0	20546.0	0.0	1573.0	8.0	1031.0	0.0	1129.0	0.0	0.0	3639.0	60.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__vulgatus	4977.0	5292.0	5026.0	169.0	0.0	82.0	16.0	41.0	16.0	2.0	4.0	0.0	451.0	32.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	1.0	273.0	3.0	24.0	0.0	3.0	14.0	2.0	10.0	0.0	80.0	0.0	0.0	2.0
