	TL1a_DTT_173_Repeat	TL1a_FP_162	TL1a_FP_88	TL1a_DTT_76_Repeat	TL1a_FP_89	TL1a_FP_234	TL1a_FP_65	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1a_FP_209	TL1a_DTT_268_Repeat	TL1a_FP_287	TL1a_FP_77	TL1a_FP_245	TL1a_FP_198	TL1a_FP_161	TL1a_FP_76	TL1a_FP_102	TL1a_FP_197	TL1a_FP_132	TL1a_FP_130	TL1a_FP_173	TL1a_DTT_269_Repeat	TL1a_FP_90	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_DTT_245_Repeat	TL1a_DTT_130_Repeat	TL1a_FP_172	TL1a_FP_269	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_FP_143	TL1a_FP_100	TL1a_FP_196	TL1a_FP_131	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_FP_246	TL1a_FP_270	TL1a_FP_160	TL1a_FP_286	TL1a_DTT_89_Re_extracted	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_DTT_244_Repeat	TL1a_FP_101	TL1a_DTT_197_Repeat	TL1a_FP_244	TL1a_FP_232	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1a_DTT_142_Repeat	TL1a_FP_268	TL1a_DTT_78	TL1a_DTT_209	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_210	TL1a_DTT_64	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_65	TL1a_DTT_286	TL1a_DTT_246	TL1a_DTT_66	TL1a_DTT_232	TL1a_DTT_77	TL1a_DTT_208	TL1A_DTT_642	TL1A_FP_641	TL1A_FP_689	TL1A_FP_640	TL1A_DTT_629	TL1A_FP_677	TL1A_FP_678	TL1A_DTT_640	TL1A_FP_630	TL1A_FP_688	TL1A_DTT_630	TL1A_DTT_641	TL1A_DTT_689	TL1A_DTT_628
TL1a_DTT_173_Repeat	0.0	2.123017734770303	2.508535800771541	0.7933485672695082	2.5739265063805874	2.2685446590024965	2.012609516786793	0.7319940564287092	1.0250970868979312	1.0919354188904924	2.2209676747669618	1.6893813463712404	1.1594344112669226	1.163981915392066	3.0354912603942656	1.5074096020711532	0.7040507673697003	2.434021520922823	1.6378912209986496	1.6318544810042044	0.9374294181659765	1.508464603219155	1.7601457900364448	0.5789780731940231	1.2718627238952538	1.5253189564659464	1.4218128452687075	0.3852617005522649	1.1697808291844431	1.3813017944325847	3.0652135103620637	1.496126389304805	2.278862592791717	2.5893106835502016	1.0496335729397979	1.1681085876369979	1.6654742983914548	1.8390152361179202	1.4072585320294375	1.150931502165844	0.9680707015410585	0.9309538985855936	1.7364597593083122	1.3348324350707916	1.7253408479332866	0.9609501726512724	1.9028009137507111	1.61338030302882	1.042254046405948	0.6264501503372688	3.3381960375353645	1.2583740123619367	1.5246469010564003	1.7470906051678503	1.9872879705075879	1.860697645024642	1.1581492792633825	1.2448867037302216	0.2707176486373654	1.4731763958901907	1.393826730513914	1.4282666938585922	1.7571838385018705	2.089798554163816	1.0906134062001094	1.7758379558500468	0.8368306143409076	1.9985930145260504	0.956894084768316	0.6033804622637201	2.2584848214170843	0.8518114741638242	1.1360039291404118	1.0467700523801693	0.684259102901839	0.5042544383293032	0.4143239137833992	1.9601867102114676	0.39289686245400807	0.3163581354824816	0.9685313778143636	1.0019958939923796	0.6440934508247331	1.0560272033862939	1.0388320043119388	1.0254930950747925	1.0299182499285833
TL1a_FP_162	2.123017734770303	0.0	4.402607425313896	1.6706446865238387	1.1180480662970567	3.7372809306275103	1.0197122401419003	1.3987852384185158	2.5694979843650034	1.7584309889166536	3.364577972818308	3.615639382126572	1.8261361987120337	3.0028341395644844	3.444099062280275	0.6512373995485664	1.7940009453617305	3.7683889947606355	2.8655860605096732	3.708655073885738	1.3244144557846829	3.3963547303656827	2.5728171592136078	2.377164709588097	2.950764824690181	0.8035383428401336	3.0549620937166986	1.9070189672655145	2.795321891691378	3.434319675426772	3.582925144552276	3.2969878339073793	2.7287425329560726	3.6258677358075264	3.022804446436305	2.663408536626588	3.0864905369366564	3.801026497416594	3.303209590122195	2.8867160345711493	3.016377827330598	2.351706455720222	2.2079743594150196	3.1986998632379406	3.6501475129482466	2.6390674992723673	1.0061800285092437	3.5061360962026096	1.8117198235770982	1.6844371339303386	5.026620546151732	3.0488246697603993	1.340460807209398	3.4657835566102455	3.763186530818914	3.1875296337076615	3.1213043154235467	3.054867945731565	2.111878551314326	1.39556580030523	3.3651821479612027	3.2907192393678937	1.1559486031840613	1.4804267479611746	3.187640565724605	3.722474615533284	1.4289267749672712	4.030961165270603	2.398437261631992	1.5901351178395315	3.5801101327504914	1.3575578638033436	2.2000069085422003	2.561251215424816	2.486340200485775	2.3099009041167937	2.0926129523170633	1.8054669324933883	1.8379730689165799	2.415963022649128	2.3177467847182713	2.6995710820336316	2.242056224637173	2.3642182023439533	2.377385304484089	2.2594068729142283	2.9001278768165797
TL1a_FP_88	2.508535800771541	4.402607425313896	0.0	3.2893535427800256	4.921658099688135	3.3116026808543593	4.339911824110615	3.117926997935807	2.390417908110289	3.3544727689814198	3.810896766920671	1.6393744437703586	2.6596820617192645	1.8436920950036055	4.932431855823217	3.779271164012989	2.641869807020182	1.3767703393847297	3.0979641884410793	1.1877862100839793	3.1484878156316793	1.527046951746706	3.8967954527220794	2.1442713380346214	1.9968345312923288	3.677726630880942	1.423919897895096	2.8155838534788526	2.6970028281956036	1.7112181771845172	4.863890336699716	2.480006516629984	2.7311859003328243	4.146477475510082	1.5327449509634261	1.8035335259965348	1.4984403521348493	2.0627990876086533	2.535482168886763	2.7868250480775796	1.6064703055220035	2.5296527965152924	3.925256916490544	1.6242143236659639	2.2568725149032236	2.4173386752250163	3.9855807437200155	2.0765324411003445	3.456155718167311	3.0402527010735643	1.0266641479269376	2.6899487504366477	3.9288619457086327	2.94160238106897	2.869796882984477	3.302600212379668	2.4199094177346576	2.141420173518236	2.4190680258870674	3.960691788243879	1.513028227727932	2.3098788814735007	4.252530833661697	4.515559622877854	1.9678115412747816	2.3627407618371805	3.1806279557419717	1.9655769146925255	2.0542695317537363	3.0940448087360606	3.6239775416980287	3.2898014586652815	3.140534913439469	1.9512184070959973	1.9420587705323626	2.148911283572581	2.387882297064774	3.4659733928488476	2.9007900191132197	2.3073775976661413	2.1741973829394894	1.8376977061194604	2.2354406055440625	2.0943871969974848	2.0857283012599463	2.1840465287962343	1.6886489458365712
TL1a_DTT_76_Repeat	0.7933485672695082	1.6706446865238387	3.2893535427800256	0.0	2.0373459930245614	2.2797752232759754	1.5470351752831153	0.6017473156110239	1.4118432373229202	0.7050656754825031	1.9643561966161083	2.2711960828347544	1.5621857293007824	1.7643665362916465	2.5149628764507383	1.1599032947847527	1.0857990708487704	3.1732318254345353	1.632419546107848	2.330497950317096	0.8789805454327346	2.148802962612912	1.230955822060434	1.2569519941602472	1.8074291616768299	1.3340179703970583	2.163118705781065	0.5175083234280659	1.3254055934012416	1.9703133247781472	2.593183094602349	1.7752336812022935	2.7787165745607934	2.2905208231295857	1.82916999994374	1.8634345887449375	2.3945937893642406	2.282820301636143	1.6625233921601952	1.2442379988632355	1.7320797287315508	1.2579043420848803	1.1768750050699932	1.9783264988957807	2.100876298838426	1.3180778993255948	1.6961582293105482	2.057864338914562	0.37640757143852877	0.4375844629294585	4.130896641284786	1.4198524724088208	0.8619053460973786	1.8314947747153951	2.141775099135261	1.775234375903546	1.4829463584700093	1.6983827397341122	0.9351886621268478	0.6938765622240569	2.0490648627888586	1.7843200360114617	1.0508183223776206	1.4651110071135238	1.6429725716143764	2.11556380939071	0.7361605452438273	2.475344220423186	1.604753150553041	0.37627438426627513	2.1151459127214967	0.5488431097580418	0.9737225189397996	1.6975744229287235	1.446859559457326	1.2581330753393825	1.0771151424730327	2.1233739016105715	0.4123781280214075	0.9929655723125602	1.55905067953048	1.6824636907122246	1.2681551255923593	1.6845472094579719	1.6678053553070014	1.6500534226417187	1.7336210946746498
TL1a_FP_89	2.5739265063805874	1.1180480662970567	4.921658099688135	2.0373459930245614	0.0	4.223183545314301	0.590222723187047	1.9871955882436103	3.291422697739103	2.413713778720435	3.719970859274963	4.231099238902504	2.5363814322465323	3.659372207517391	3.750700165679254	1.5239128596296148	2.501181413253725	4.428572845312365	3.5326140108531603	4.18821882279089	2.0890175032472644	4.04149044782728	2.7659811393177227	3.000920912499487	3.6738247289652737	1.4305797006553986	3.7214970143673227	2.423984055530335	3.3478768593692827	3.933969908919448	3.9216497434044104	3.8121276690488894	3.2586149265710795	3.951059958055111	3.4327885491934427	3.356074808594775	3.74755119434302	4.30798880008091	3.653890937020676	3.2409521307553653	3.4214327779643074	3.0903101970802216	2.67241263582994	3.8518989741228724	4.13247911433618	3.284150034738036	1.1185595369460792	4.078713640571332	2.2065983779954155	2.2610748440038235	5.554555774997034	3.428338849169538	1.9407665163845722	3.7861462189370783	4.119820697418266	3.6925515558268964	3.450779652545984	3.68402344944051	2.671004446755093	1.7265803148058272	3.9558318228529425	3.819039513696371	1.1082348931990513	0.9093229832833034	3.574874436136776	4.126764772122387	1.7694347531469834	4.477270120091356	3.1007689744216584	1.9958496072552363	3.9582406172417746	1.7275327370849702	2.8448146601167457	3.2846364555265333	3.051965302055675	2.8023230655825784	2.5593208981147324	2.0097169634570413	2.245051258763457	2.8721019096101075	3.0599258560330265	3.3849280119915393	2.909911352088039	3.0743030625856163	3.094293444999814	2.8710954649140032	3.530399699766709
TL1a_FP_234	2.2685446590024965	3.7372809306275103	3.3116026808543593	2.2797752232759754	4.223183545314301	0.0	3.7987848152128	2.631014319433281	1.7538130788737314	1.9909114209566248	0.8019299597445491	1.7302237078521492	3.1968144985682	1.8584242099148793	1.8670825209416702	3.20693833440675	2.633650570188652	3.839597822358457	1.0395603666500346	2.1974717220449618	2.7181626315244727	1.9666132973057562	1.6553750882563865	2.2397358271272854	1.8684488355981026	3.4971837625694664	2.786593898432637	2.135486256296854	1.1332332734169217	1.6825064484599181	1.7241267719633235	0.9291397189703515	4.358492808570089	0.9872636354470179	2.6295737110258	2.759683023089591	3.2236385625229027	1.2682666709757087	1.1874664396788677	1.2510433492105222	2.440728071612193	1.8724639905334592	1.7241982110619833	1.9807143528089612	1.0833568193172602	1.5439165772969605	3.951664752914562	1.2601233842011443	2.027782425504604	2.2207444532788	4.31908905776173	1.1321169334477938	2.456120623787375	0.8925514370682819	0.789922055556601	0.5550601335450163	1.459038720692334	1.4438614400841354	2.292784576463148	2.5227231540198622	1.9248405166185762	1.0926551390153367	3.1260498167831368	3.5292771864299772	1.7452055207628159	1.1173091860287367	2.9146879546124596	1.4905875183872241	2.6622982263865937	2.514973437684669	0.5228655867323806	2.783188664363924	1.57749560212817	2.5312144630884807	2.5215120575151824	2.591456133704772	2.6438098866568693	4.208001701613307	2.307076260987134	2.0438092210288783	2.615011508594731	2.3377651853405337	2.390665248151868	2.8291047374641245	2.7709369420057324	3.0499524124504576	2.1716449995014098
TL1a_FP_65	2.012609516786793	1.0197122401419003	4.339911824110615	1.5470351752831153	0.590222723187047	3.7987848152128	0.0	1.4729655427579311	2.7941010017417662	2.0049548296900004	3.3592323675097058	3.6882772904237022	2.0357984640665703	3.122710500295142	3.5630472847226238	1.1654669906996133	1.9830626295954954	3.8973391848835015	3.1124382613057953	3.6124892859411712	1.618935864454883	3.494504230441932	2.427395436150305	2.4543705377022214	3.1557050314501245	0.9999518533074021	3.169649771519082	1.8998897612403403	2.866245803607153	3.3788709883369137	3.711348143852011	3.3123883918865196	2.8153031663272334	3.6255200826816614	2.8459143364202197	2.815149162757239	3.2053791331653825	3.778014320947017	3.141154035701443	2.746897652534443	2.8363008646268257	2.6011335132860762	2.368379668556609	3.3070903944612526	3.613097510458994	2.7804761514283736	0.7255901545567772	3.5555585595056463	1.77837115091251	1.766481835203293	4.986701123702114	2.9301969662293956	1.6441473909828064	3.312400764455462	3.6398266874777785	3.279744814597197	2.920598785484359	3.1659632312938184	2.1200503503645143	1.4012840450226791	3.4005415484713764	3.3061702450316512	0.8183297121062959	0.7154665325512307	3.016060655597266	3.6077012709332883	1.1993342056517997	3.9352203367466516	2.565460969668706	1.4555760483290625	3.567033967434166	1.181060558373263	2.4171441733685297	2.7521763018555303	2.486570653933811	2.2283910870854027	1.9852726378190924	1.5936790223487463	1.7023551487464637	2.3135893453125242	2.5370728444459085	2.842857661579388	2.3718633650589767	2.5440514046965808	2.5644676715708	2.3275307741145146	2.977447835501821
TL1a_FP_64	0.7319940564287092	1.3987852384185158	3.117926997935807	0.6017473156110239	1.9871955882436103	2.631014319433281	1.4729655427579311	0.0	1.3314033000792223	0.8450965897278164	2.43664310108217	2.274082380693568	0.9961257958617172	1.6803389146036642	2.9789324913769084	0.7778373032741805	0.602338255199524	2.7707754561026223	1.8235728688255572	2.3224107512161805	0.33617523934410065	2.068732705561561	1.8008486552185692	1.0374067255288417	1.6888498416896895	0.8860474416962053	1.8507667996386574	0.546750743699694	1.5557127264881447	2.0472050521966536	3.0505098847297276	2.007661204170868	2.241405457817745	2.7757071823426043	1.6967168488334614	1.4945535435163622	2.003370005576652	2.4513757633431332	1.9921872313221551	1.6303099462727322	1.6572672146526337	1.1383329576001808	1.580450821794123	1.875823248727685	2.3169408927523523	1.3543781666434553	1.3630176889050412	2.176931821097156	0.887852535282826	0.41276801256417206	3.8665268746427075	1.7721115289966973	1.0213340049990958	2.2418817280834387	2.5141297559653806	2.131025363646365	1.7840648606566991	1.7435247962727973	0.7301319677485733	1.0313648930859094	2.005603743734696	1.9730040721932236	1.245494917604522	1.6679308581786403	1.7965623591814024	2.3886331253807844	0.4664279640469138	2.658057149955963	1.2178275870893351	0.34413505508059744	2.5592377359621867	0.3806597424581412	1.1578253861673544	1.3597214323831783	1.1780337430014491	0.9979932168821022	0.7929910088755099	1.6751073230763247	0.509541934980555	1.018396821818793	1.161281695975712	1.4273443693361125	0.9544334153065325	1.251695303577758	1.2476845091822533	1.192633609256098	1.5706173897093825
TL1a_DTT_172_Re_extracted	1.0250970868979312	2.5694979843650034	2.390417908110289	1.4118432373229202	3.291422697739103	1.7538130788737314	2.7941010017417662	1.3314033000792223	0.0	1.0906095211700972	1.971640496435307	1.1069059514493218	1.520893871091135	0.5670260762958101	2.813663550336005	1.9341717901280246	1.026863334692609	2.351051618055042	0.9344994906282713	1.496106492234606	1.2913128941383591	0.9558905600169483	1.9427629070728665	0.6636258401355325	0.45828619579002	2.1316154743347933	1.2657801341706467	0.955429315196091	0.7354974178024253	1.1174267436455838	2.784833033583434	1.032987554572473	2.6673803912381944	2.326051676604532	1.4429176365689147	1.1040076717633196	1.6442549623500242	1.3886697325012507	1.36686447650822	1.2140443377747692	1.3386878719319881	0.2189936030050324	1.667476177341448	0.7933807827256686	1.3186972911569568	0.28154710669666183	2.6554552370270885	1.032480464275612	1.406145968168771	1.050810540469778	3.2634067855489888	1.2046621229460417	1.7147289561406867	1.638921771399677	1.7544233975327452	1.4038755404074552	1.2939776716658762	0.5514163588043204	0.8509721554448628	1.8907099689307585	0.9816467773456287	0.956687737568725	2.396107543959059	2.8617271306022416	1.199735367767693	1.5270436337631188	1.6937632386662285	1.6813180903359617	0.9649067957460821	1.392911887376346	1.942553976481541	1.639826986283649	0.8237725499144766	0.8393674140679668	0.9985517624056538	1.1448308460665515	1.2272011271474097	2.7131955945284187	1.2141801743493932	0.8858277006444041	0.8862468533528758	0.7244981333274542	0.7398909825990695	1.121234457295344	1.0600728148154097	1.4032481431182215	0.7463835954246316
TL1a_FP_209	1.0919354188904924	1.7584309889166536	3.3544727689814198	0.7050656754825031	2.413713778720435	1.9909114209566248	2.0049548296900004	0.8450965897278164	1.0906095211700972	0.0	1.748963004059751	2.114204195889889	1.6470784858703764	1.6020344727000866	2.2130474590783504	1.225912373041587	1.1036232134721855	3.1831840173080517	1.132756209789864	2.387406944211221	0.8697249779876173	2.0057496549586102	1.2740824310056826	1.257538361074663	1.5473044383551062	1.5805563133144553	2.1373729744576555	0.7108813147055251	1.084951846713764	1.9573901000849236	2.267954358958217	1.6029854504758805	2.9584193705982194	2.0641215103878925	2.0685774682981015	1.8368086613177266	2.4138255969819764	2.1706282913939434	1.7189459856317806	1.306852919668693	1.962090533833459	0.9187679780352428	0.8254679942255778	1.8378241748043516	1.9945368001458885	1.059769135233582	2.086060390438265	1.878927645518324	0.5432930973392391	0.5235684068366346	4.209283212510538	1.4338497618069925	0.6348142689024022	1.8299018063261372	2.0890178040611342	1.448909392659747	1.629220092454115	1.4773505139677119	1.0724231624991558	0.851323403531953	1.9705862589053071	1.6309911953070317	1.4368199947861833	1.9697257009327598	1.7832472603577645	2.089233109858268	1.2428830993864286	2.4415626267251773	1.5756121161506298	0.8976235824187848	1.9043209634766531	1.0610130625120324	0.4479383617910899	1.6031109324379245	1.5651573234242977	1.4953814499885845	1.3813788026533704	2.511361416692018	0.8769864919472883	1.1932973469187684	1.473786585200478	1.5938960647702398	1.2475884032549762	1.6735394030809965	1.6385509395285813	1.7858131786754943	1.676170200141112
