	IL17.DTT.115	IL17.DTT.116	IL17.DTT.127	IL17.DTT.128	IL17.DTT.139	IL17.DTT.140	IL17.DTT.188	IL17.DTT.199	IL17.DTT.200	IL17.DTT.217	IL17.DTT.218	IL17.DTT.25	IL17.DTT.26	IL17.DTT.103	IL17.DTT.104	IL17.DTT.49	IL17.DTT.50	IL17.DTT.85	IL17.DTT.86	TKO.DTT.1	TKO.DTT.2	TKO.DTT.43	TKO.DTT.44	TKO.DTT.31	TKO.DTT.32	TKO.DTT.19	TKO.DTT.20	TKO.DTT.55	TKO.DTT.56	TKO.DTT.73	TKO.DTT.74	TKO.DTT.91	TKO.DTT.92	TKO.DTT.103	TKO.DTT.104	TKO.DTT.109	TKO.DTT.110	TKO.DTT.127	TKO.DTT.128	TKO.DTT.139	TKO.DTT.140	TKO.DTT.151	TKO.DTT.152
IL17.DTT.50	1.8866465484925388	0.5657341092496546	2.012060649142411	1.4071676943612965	1.850260584213001	2.272507271392843	1.934739733411007	0.9328742379558446	1.2348005137082763	2.261500437847219	0.4340933425336143	3.193362679347193	1.5123950480076744	1.9932796469504106	0.9700863892193851	2.0315429571023436	0.0	1.127017514991786	0.599033162174716	0.3614093977272349	1.5213568642948543	2.218016845590585	2.4058726276147833	2.4174650830466278	2.5566102732455835	2.5851873615050467	2.9230351948196036	1.810185641992626	2.849526974516535	2.974087425510117	2.732192074369109	2.3960674791219496	2.8975759976990894	2.0706265262707286	2.1538840548494025	2.9695744880572574	2.3336950501257987	2.478957331585045	2.121918797195051	2.327421409361026	2.5117043155329264	3.211784182027989	2.8171548176526566
IL17.DTT.85	0.7691770676900237	1.3107790357989522	0.899921310030038	2.362291312419918	0.9331812696368634	1.5521600260952406	2.0180206525587567	1.864042381625995	2.194259671726893	1.6646188870682908	1.2982723574814743	2.0692462356072925	1.4165872139602287	0.8813398666269214	0.9111025317196638	0.9525328832703863	1.127017514991786	0.0	1.3735364556173908	1.1906288565985046	1.0664847449290027	1.2273905208950369	2.4210633018208196	1.9141089834119323	2.59412207910684	2.002406872816772	2.7265874018282092	1.4203815798419506	2.607796700114839	2.1835328214315295	2.2551174142676595	1.4864430350201308	2.4356577507138817	1.151704465212762	1.7152616901706654	1.927884498995872	1.8015423400654422	1.4615152648743464	2.0936381827097676	1.3062364153658939	2.118019745286217	2.269965548217929	2.5470323079620196
IL17.DTT.86	2.11771354373151	0.06678287833885459	2.1787514166878776	1.0020659964055094	1.84778331725076	2.0990053005681295	1.4061797571864167	0.5138244129720657	0.8298800150704666	2.732284344564415	0.1732469737008244	3.3437523861034264	1.119813349842748	2.145956591404415	0.780342956096186	2.3259007651444814	0.599033162174716	1.3735364556173908	0.0	0.7560544614274448	2.0066503699485874	2.235303852963879	1.8894550984309866	2.1013505192066564	2.025048820808477	2.304559399976616	2.4605643494383016	1.4910717325705019	2.4021816896012966	2.7910707569150066	2.397572544602037	2.3166071534880346	2.5402232295178453	2.0166582371085693	1.8264517120659645	2.9790810685852263	2.057465455574092	2.4918006170588094	1.624332134996771	2.3641458865174676	2.149501106748552	3.1245615398772597	2.378442340384257
TKO.DTT.1	1.904629443031596	0.738788577804071	2.0214513219876995	1.445247473572004	1.9825795781381743	2.426900267819901	2.0495687721925075	0.993711689217161	1.2966162106249337	2.123194885052952	0.5902780587072498	3.2408061899817007	1.6775714305303266	2.011834408960781	1.1679244802548632	2.053254923276312	0.3614093977272349	1.1906288565985046	0.7560544614274448	0.0	1.4039918215766412	2.3410768525137264	2.569521031785805	2.563655233511475	2.7116445972986667	2.7405762799766173	3.095017563508748	1.9160061704288247	3.0144069665269146	3.118281342721938	2.9029249087528344	2.5106567950710548	3.0586158941010333	2.1651141554210027	2.296335566502181	3.06663408205944	2.5061497908645234	2.5875988245010118	2.2655681892948003	2.443696780067268	2.6818156710079073	3.3358179075274363	2.9753450923673728
TKO.DTT.2	1.211554080525518	1.9588811905985062	1.4187552051322958	2.845442215361236	1.905546441146768	2.5656653011883868	2.961756711852739	2.376311124135588	2.693058750511783	0.7413635771421161	1.8628308915246676	2.432796958379227	2.421788821448533	1.455750105997168	1.874014908293379	1.1603370049460153	1.5213568642948543	1.0664847449290027	2.0066503699485874	1.4039918215766412	0.0	2.090034841156399	3.4287391233865696	2.949167809202438	3.5940181554467276	3.0313287406678446	3.7726429741474488	2.4257979325814487	3.652145945245815	3.131847772348268	3.300940454468248	2.395223247773494	3.4751483928516724	2.0752350305157656	2.753295363241973	2.633057043746273	2.8507226437358173	2.2591809407487276	3.0895214249892775	2.1152583140702115	3.170048420856	3.0934254943855106	3.5882846649064892
TKO.DTT.43	0.9519706863979234	2.1753932418298563	0.8337344960535062	3.188222829507784	0.3877291705185786	0.7237923872145059	2.1060872002585405	2.7332355574845253	3.030482991876617	2.41707656632424	2.240789755660036	1.270774147757619	1.552276619551417	0.7704533940197937	1.4769698502641577	1.1401638193690329	2.218016845590585	1.2273905208950369	2.235303852963879	2.3410768525137264	2.090034841156399	0.0	2.2630613778184068	1.2949970942565618	2.427442357323427	1.2226368549754705	2.2505036579192854	1.285455552129865	2.1100865132676656	1.0876562045545268	1.5343663727597137	0.40530020162351205	1.7064445509110615	0.39587763837022805	1.2803463286774068	0.7667507130319205	1.1459245414498516	0.2737691329254716	2.006053882652846	0.14314817127206314	1.5479820629862713	1.0552160658554428	2.036284111688477
TKO.DTT.44	2.826128583289495	1.8883060304031045	2.7283822445938952	2.184918051781909	2.025279948260595	1.6036364440140194	0.5949910251625663	2.048276396473533	2.1245605626644095	4.040587385577313	2.0482666884927134	3.4690097721791626	1.011967389840676	2.665520019945746	1.6070867198677223	3.10622751089681	2.4058726276147833	2.4210633018208196	1.8894550984309866	2.569521031785805	3.4287391233865696	2.2630613778184068	0.0	1.1088348770361505	0.18483742350320068	1.3138009040429866	0.6640297293073223	1.1401349850230427	0.6779178494527623	1.9547994499258654	1.1325877996804414	2.0386709560546223	1.1405029663335045	1.995399397665685	1.014376370114112	2.7368243810411563	1.2129349050904281	2.410746317740778	0.3604460390727074	2.394414278955638	0.8994141165119505	2.5193823199574332	0.7059533257516681
TKO.DTT.31	2.040246481566556	2.067349873727527	1.8914282836100857	2.7874882903571656	1.1889070308312195	0.5871198321044377	1.176224344761633	2.468721910809263	2.674775620535482	3.43268565119111	2.2022453984642913	2.4113609585323896	0.9937527048146391	1.8248842440355018	1.453152993497713	2.310655243726472	2.4174650830466278	1.9141089834119323	2.1013505192066564	2.563655233511475	2.949167809202438	1.2949970942565618	1.1088348770361505	0.0	1.2384058748142215	0.2580842463422635	0.9799080230230933	0.686943168265901	0.8301734290145597	0.8847719524548858	0.39039957701726224	0.987626493425917	0.5314153213799325	1.057266413428223	0.2786346459191955	1.6438006009600512	0.2604742085147336	1.3766223737110952	0.9477150471738861	1.404255903778733	0.30865981616350524	1.4227133084200896	0.7489505908754411
TKO.DTT.32	2.99486921608023	2.028023729798409	2.8910745600024925	2.252585971064682	2.197358447631221	1.7578785224281528	0.7017491857966238	2.1506712710810483	2.2058811096376294	4.204602100703865	2.187155149133339	3.6193999729282735	1.184392027636558	2.8286511783559005	1.7790850319378078	3.278148553361566	2.5566102732455835	2.59412207910684	2.025048820808477	2.7116445972986667	3.5940181554467276	2.427442357323427	0.18483742350320068	1.2384058748142215	0.0	1.4365410023524698	0.6549937454430035	1.294692347802317	0.6986836782809567	2.069366924183602	1.2335393140130535	2.188736119181179	1.2128798234947895	2.154181493902088	1.1644490321742005	2.87806629355583	1.3604945862150282	2.5665193365372563	0.5098864601345149	2.5568691152770704	1.020341765743921	2.6407749258426674	0.7389899689989261
TKO.DTT.19	2.0508787371435817	2.2666537864359237	1.896052564783075	3.020837289524995	1.1903503666229858	0.5177289495572578	1.4283085948798653	2.6908750550656335	2.9027246881051423	3.481911018892153	2.397640841615207	2.2836933287118164	1.2095542436189064	1.8289901601408656	1.618528029555632	2.3038845187632617	2.5851873615050467	2.002406872816772	2.304559399976616	2.7405762799766173	3.0313287406678446	1.2226368549754705	1.3138009040429866	0.2580842463422635	1.4365410023524698	0.0	1.0801462950276406	0.9042661085280337	0.9355333063338864	0.646389623010043	0.32835250648616104	0.892151890065334	0.4857310249626262	1.0480379355661464	0.5133116532250213	1.4823931452376886	0.2784936416661921	1.2676355593217625	1.1874979363429876	1.3158782726111053	0.42773395618696414	1.2061657733849591	0.8593169782977902
