	Mouse1B.DTT15	Mouse5A.DTT27	Mouse4A.DTT19	Mouse6A.DTT31	Mouse1B.DTT13	Mouse4A.DTT21	Mouse5A.DTT25	Mouse7A.DTT39	Mouse6A.DTT33	Mouse7A.DTT37	Mouse10A.DTT109	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.DTT111	Mouse8A.DTT85	Mouse8A.DTT87
Mouse1B.DTT15	0.0	0.8915555357435101	1.035697427121681	1.1426492661669543	0.6549445239557642	1.4277320517779284	1.012431908699713	0.8053154355855022	0.9120051289019443	2.078426665859036	2.565218430354874	1.9377184574656563	1.4175107441176718	1.2041117093135405	1.3111653727749424	2.1612401886585757
Mouse5A.DTT27	0.8915555357435101	0.0	0.2545420677149944	1.5469577287657788	1.4928940055288311	0.6605497800589524	0.20556427050545167	0.6381301052851367	0.8174550155402176	2.4541120125273954	3.42017535504481	2.364042099875119	2.097610032027197	2.0571295661076254	2.1859344150177793	2.5837311487129027
Mouse4A.DTT19	1.035697427121681	0.2545420677149944	0.0	1.749645167137059	1.6604855830028051	0.4204080505312785	0.08080939547324739	0.8388474599820809	0.9793093493966162	2.642333844873311	3.587636867503125	2.3535273478380505	2.153493641910221	2.2230931620106156	2.3267102055409374	2.554723529558947
Mouse6A.DTT31	1.1426492661669543	1.5469577287657788	1.749645167137059	0.0	0.8947670318379637	2.1272411762730044	1.6820105807358225	0.9425041496401655	0.8560345871475209	0.9603362692914893	2.289976465332571	2.9985138350555247	2.333684267218397	1.1728078907103148	1.7077845648964083	3.222317856455865
Mouse1B.DTT13	0.6549445239557642	1.4928940055288311	1.6604855830028051	0.8947670318379637	0.0	2.0561777715640797	1.6250429614761128	1.1697027714119368	1.1926216396506168	1.6917484384136947	1.928850575027905	2.1701074190465186	1.4560502429318187	0.5647550696200176	0.8849187827463048	2.3831483224290424
Mouse4A.DTT21	1.4277320517779284	0.6605497800589524	0.4204080505312785	2.1272411762730044	2.0561777715640797	0.0	0.47029388955422347	1.2064511122976778	1.310878917969623	2.983766491648685	3.9757969660505896	2.526430638825826	2.4338122368621287	2.614658275234513	2.7002956961623172	2.7010130318391594
Mouse5A.DTT25	1.012431908699713	0.20556427050545167	0.08080939547324739	1.6820105807358225	1.6250429614761128	0.47029388955422347	0.0	0.7644067611608696	0.9037776935684186	2.569470296765421	3.553049254683673	2.4006163804485823	2.175698684772859	2.1888945068632593	2.3130078338410818	2.6047011601934202
Mouse7A.DTT39	0.8053154355855022	0.6381301052851367	0.8388474599820809	0.9425041496401655	1.1697027714119368	1.2064511122976778	0.7644067611608696	0.0	0.23929101921485835	1.8202872486567236	3.0260370680705764	2.670972309255841	2.216266618646292	1.7037804570066701	2.005633768432343	2.8975740214704255
Mouse6A.DTT33	0.9120051289019443	0.8174550155402176	0.9793093493966162	0.8560345871475209	1.1926216396506168	1.310878917969623	0.9037776935684186	0.23929101921485835	0.0	1.6746378617097561	2.9944403201250327	2.8112964175198436	2.3270400041538752	1.7003494394335894	2.0602831080630204	3.0266863669210564
Mouse7A.DTT37	2.078426665859036	2.4541120125273954	2.642333844873311	0.9603362692914893	1.6917484384136947	2.983766491648685	2.569470296765421	1.8202872486567236	1.6746378617097561	0.0	2.2872752926677453	3.861465097743189	3.1325536209362594	1.6935107767534885	2.3255224275514497	4.070234799204679
Mouse10A.DTT109	2.565218430354874	3.42017535504481	3.587636867503125	2.289976465332571	1.928850575027905	3.9757969660505896	3.553049254683673	3.0260370680705764	2.9944403201250327	2.2872752926677453	0.0	3.2198576655490188	2.4305376428394623	1.364915506244805	1.50023434050041	3.353896533162394
Mouse9A.DTT99	1.9377184574656563	2.364042099875119	2.3535273478380505	2.9985138350555247	2.1701074190465186	2.526430638825826	2.4006163804485823	2.670972309255841	2.8112964175198436	3.861465097743189	3.2198576655490188	0.0	0.8151987881456696	2.3430610308316067	1.8208256651930217	0.29284162382131235
Mouse9A.DTT97	1.4175107441176718	2.097610032027197	2.153493641910221	2.333684267218397	1.4560502429318187	2.4338122368621287	2.175698684772859	2.216266618646292	2.3270400041538752	3.1325536209362594	2.4305376428394623	0.8151987881456696	0.0	1.5446799467369252	1.0095188274614313	1.0034275164613138
Mouse10A.DTT111	1.2041117093135405	2.0571295661076254	2.2230931620106156	1.1728078907103148	0.5647550696200176	2.614658275234513	2.1888945068632593	1.7037804570066701	1.7003494394335894	1.6935107767534885	1.364915506244805	2.3430610308316067	1.5446799467369252	0.0	0.6417754454360746	2.5339547480079143
Mouse8A.DTT85	1.3111653727749424	2.1859344150177793	2.3267102055409374	1.7077845648964083	0.8849187827463048	2.7002956961623172	2.3130078338410818	2.005633768432343	2.0602831080630204	2.3255224275514497	1.50023434050041	1.8208256651930217	1.0095188274614313	0.6417754454360746	0.0	2.0058199982814475
Mouse8A.DTT87	2.1612401886585757	2.5837311487129027	2.554723529558947	3.222317856455865	2.3831483224290424	2.7010130318391594	2.6047011601934202	2.8975740214704255	3.0266863669210564	4.070234799204679	3.353896533162394	0.29284162382131235	1.0034275164613138	2.5339547480079143	2.0058199982814475	0.0
