feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Desulfobacterota
TL1a_FP_140	150413	19355	401	19413	0	866
TL1a_FP_207	39672	20093	556	16839	0	0
TL1a_FP_65	83015	6728	9632	89956	0	1418
TL1a_FP_64	51962	1824	2193	11765	0	286
TL1a_FP_209	1100	12762	3303	191965	1	1
TL1a_FP_206	46056	10765	359	16309	0	0
TL1a_FP_242	63185	4663	1	908	0	0
TL1a_FP_77	14240	7045	39157	23418	0	588
TL1a_FP_245	39941	16492	706	117862	114	176
TL1a_FP_76	12578	10141	22886	22516	0	495
TL1a_FP_102	58649	36509	483	3092	0	600
TL1a_FP_98	55918	4125	1406	11651	0	581
TL1a_FP_75	46025	10170	3690	13292	0	1375
TL1a_FP_173	33899	8505	314	46059	46	279
TL1a_FP_141	48346	3893	954	6631	0	896
TL1a_FP_174	51561	10905	2227	27491	14	257
TL1a_FP_144	73048	8160	1873	5045	3	1628
TL1a_FP_142	47712	12618	402	1053	8	368
TL1a_FP_62	65321	6946	1767	13673	0	1111
TL1a_FP_74	48869	10619	1203	7496	0	967
TL1a_FP_172	27074	4403	30	232	4	71
TL1a_FP_171	127226	18190	1560	8958	0	3843
TL1a_FP_66	47204	14551	19126	73787	0	1253
TL1a_FP_143	64101	13847	1023	2863	6	932
TL1a_FP_100	48874	17808	6387	4638	0	653
TL1a_FP_99	42888	4860	1229	6249	0	930
TL1a_FP_246	29008	10500	149	128887	26	90
TL1a_FP_78	57102	10900	3515	47416	0	2433
TL1a_FP_210	54053	7344	96	13013	22	0
TL1a_FP_208	2393	15368	1535	177843	0	0
TL1a_FP_101	35521	73486	676	1082	0	8
TL1a_FP_244	57499	7411	67	97035	3	68
TL1a_FP_63	51190	7519	1918	22703	0	1427
TL1a_FP_243	68304	4789	0	870	0	0
TL1a_FP_170	55562	5160	2377	3774	0	1861
TL1a_FP_205	39405	6139	943	19422	0	0
TL1a_FP_73	34329	7149	2285	8976	0	1093
TL1a_FP_139	48430	5533	539	3686	0	1394
TL1a_FP_169	37273	5207	1271	14770	0	1803
TL1a_FP_61	47764	16161	2197	10034	0	2153
TL1a_FP_241	55499	3354	0	1099	0	0
TL1a_FP_97	35244	4636	718	11712	0	1248
TL1A_FP_641	2615	2401	3755	14918	6	31
TL1A_FP_689	2554	2250	5390	23003	0	23
TL1A_FP_638	5723	3164	244	4716	0	79
TL1A_FP_640	705	1621	1532	21881	0	34
TL1A_FP_685	10875	3304	424	1529	0	116
TL1A_FP_686	25564	3210	435	4512	0	255
TL1A_FP_639	9717	3605	407	5169	0	196
TL1A_FP_687	15679	8545	275	2519	0	139
TL1A_FP_637	15834	2375	274	6504	0	193
TL1A_FP_688	2776	2588	2206	13179	6	14
