# Constructed from biom file
#OTU ID	TL1a_FP_162	TL1a_FP_234	TL1a_FP_198	TL1a_FP_132	TL1a_FP_90	TL1a_FP_288	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_FP_270	TL1a_DTT_270_Repeat	TL1a_DTT_234	TL1A_FP_678	TL1A_FP_630	TL1A_DTT_630	taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	46.0	25.0	6.0	0.0	698.0	0.0	0.0	21.0	0.0	1.0	0.0	15.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus;s__muris	0.0	7.0	23.0	0.0	0.0	76.0	0.0	0.0	5.0	56.0	6.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	105674.0	471.0	15420.0	5049.0	3680.0	1707.0	33.0	754.0	55675.0	532.0	264.0	100.0	1832.0	5899.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	23.0	308.0	63.0	28896.0	446.0	2476.0	512.0	1121.0	0.0	835.0	247.0	53.0	332.0	84.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	183.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__nordii	430.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	48.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__salyersiae	1146.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	152.0	273.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	20904.0	28.0	11680.0	0.0	792.0	0.0	0.0	0.0	10117.0	9.0	41.0	20.0	618.0	1931.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__vulgatus	6724.0	2.0	43.0	816.0	168.0	1409.0	26.0	26.0	16.0	66.0	0.0	7.0	141.0	412.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	2.0	0.0	2.0	302.0	6.0	196.0	9.0	103.0	0.0	41.0	0.0	0.0	110.0	38.0
