#OTU ID,TL1a_FP_140,TL1a_FP_207,TL1a_FP_206,TL1a_FP_242,TL1a_DTT_169_Re_extracted,TL1a_FP_98,TL1a_FP_75,TL1a_FP_141,TL1a_FP_62,TL1a_FP_74,TL1a_FP_171,TL1a_FP_99,TL1a_FP_63,TL1a_FP_243,TL1a_FP_170,TL1a_FP_205,TL1a_DTT_139,TL1a_DTT_171,TL1a_FP_73,TL1a_DTT_74,TL1a_FP_139,TL1a_DTT_141,TL1a_DTT_241,TL1a_DTT_243,TL1a_DTT_205,TL1a_DTT_206,TL1a_DTT_62,TL1a_DTT_242,TL1a_DTT_73,TL1a_DTT_63,TL1a_DTT_207,TL1a_DTT_75,TL1a_DTT_97,TL1a_FP_169,TL1a_FP_61,TL1a_FP_241,TL1a_DTT_140,TL1a_DTT_99,TL1a_DTT_98,TL1a_FP_97,TL1a_DTT_170,TL1A_FP_638,TL1A_FP_685,TL1A_FP_686,TL1A_FP_639,TL1A_FP_687,TL1A_DTT_638,TL1A_FP_637,TL1A_DTT_639,TL1A_DTT_687,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,123623,39663,46039,63099,9565,47803,34937,43482,47516,31767,109510,37776,43235,68161,45089,39366,47724,42270,27186,35838,45048,59860,47083,62136,125245,28929,63419,54439,35884,31989,46795,18296,42462,32027,34521,55484,37601,48865,35817,31830,36552,4132,7497,18070,6939,10989,2842,11125,16917,4997,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,224,0,0,0,181,74,83,56,155,111,101,65,101,0,80,0,92,86,68,77,39,131,0,0,0,0,108,0,90,73,0,66,151,45,111,0,144,141,102,52,71,40,42,67,45,47,23,62,167,42,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,6,9,17,59,21905,86,953,59,22,3427,12,0,8,113,504,34,17,32,65,18,14,14,322,27,18,89,4,17,44,11,158,10,16,223,27,13,38,217,44,38,275,101,0,5,0,0,44,3,8,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0,0,0,0,423,0,11,5,3,61,0,0,0,0,0,5,0,4,0,3,0,0,7,0,1,0,2,3,4,0,0,0,0,4,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,1,0,0,0,5008,45,586,16,3,1552,1,0,2,30,27,0,4,0,15,45,3,0,31,3,1,0,0,0,0,0,6,0,2,36,2,2,0,134,24,0,270,11,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,24693,0,0,0,19,6868,7578,3639,15268,9907,15162,3958,5304,0,8276,0,6670,7297,5837,6207,1434,9486,11,0,0,0,13047,0,8106,6641,0,3296,5273,3168,10671,0,4006,7343,5306,1899,4984,678,2222,4571,1394,3238,708,2049,2674,1161,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,0,2,0,11,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,520,0,0,0,1232,181,272,230,418,736,516,118,397,0,237,0,445,130,146,411,166,518,46,4,0,6,330,0,300,213,16,165,543,371,450,0,467,562,273,302,227,142,181,411,228,241,85,472,477,101,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,0,0,0,0,0,8,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
