KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
K00248	0.947754368936	0.974676832266	2.03222817876e-56	0.979244303977	5.24979564349e-60	0.0131338361646	0.0115440404224
K00634	0.982688461698	0.991312396324	8.70689318899e-76	0.953596648893	1.47495758585e-45	0.017761954097	0.0205031513628
K00929	0.980238676618	0.990129182448	1.81367475111e-73	0.963163183006	1.10263587366e-49	0.0184816244987	0.0230404252369
K01667	0.965179648752	0.982792118405	2.14813185822e-63	0.799952827964	2.51868911289e-20	0.0273841263733	0.0414333888845
