Sample	Label
Itg.10.DTT455.S49	0
Vil1.06B.DTT70	1
Itg.24.DTT530.S25	1
Vil1.04B.DTT43	0
Vil1.07B.DTT79	0
Lyz2.04B.DTT246.S87	1
Lyz2.01B.DTT207.S47	0
Lyz2.06B.DTT270.S112	1
Itg.16.DTT482.S77	1
Lyz2.04B.DTT243.S84	0
Vil1.04B.DTT46	1
Itg.02.DTT407.S99	0
Lyz2.08B.DTT291.S133	0
Itg.24.DTT527.S22	0
Itg.26.DTT539.S35	0
Vil1.09B.DTT106	1
Vil1.06B.DTT67	0
Itg.06.DTT434.S27	1
Itg.22.DTT518.S13	1
Vil1.03B.DTT34	1
Itg.12.DTT467.S61	0
Lyz2.02B.DTT219.S59	0
Lyz2.01B.DTT210.S50	1
Itg.18.DTT491.S86	0
Vil1.05B.DTT58	1
Itg.06.DTT431.S24	0
Lyz2.05B.DTT255.S96	0
Itg.12.DTT470.S64	1
Itg.02.DTT410.S2	1
Lyz2.07B.DTT279.S121	0
Itg.08.DTT446.S39	1
Vil1.01B.DTT10	1
Itg.26.DTT542.S38	1
Vil1.05B.DTT55	0
Vil1.010B.DTT118	1
Lyz2.05B.DTT258.S99	1
Lyz2.06B.DTT267.S108	0
Itg.16.DTT479.S73	0
Itg.04.DTT422.S14	1
Itg.20.DTT503.S98	0
Itg.22.DTT515.S10	0
Vil1.013B.DTT151	0
Lyz2.07B.DTT282.S124	1
Vil1.02B.DTT19	0
Itg.08.DTT443.S36	0
Lyz2.02B.DTT222.S62	1
Vil1.02B.DTT22	1
Itg.10.DTT458.S52	1
Vil1.010B.DTT115	0
Vil1.08B.DTT91	0
Vil1.014B.DTT163	0
Vil1.08B.DTT94	1
Vil1.09B.DTT103	0
Itg.20.DTT506.S1	1
Lyz2.03B.DTT234.S74	1
Vil1.07B.DTT82	1
Vil1.013B.DTT154	1
Lyz2.03B.DTT231.S71	0
Itg.18.DTT494.S89	1
Lyz2.08B.DTT294.S136	1
Itg.04.DTT419.S11	0
LYZdtt342	1
LYZdtt351	0
SLCdtt022	1
LYZdtt366	1
SLCdtt019	0
SLCdtt070	1
LYZdtt354	1
LYZdtt330	1
LYZdtt306	1
SLCdtt004	1
SLCdtt112	1
SLCdtt076	1
LYZdtt318	1
LYZdtt363	0
LYZdtt315	0
SLCdtt052	1
SLCdtt109	0
SLCdtt001	0
LYZdtt303	0
SLCdtt130	1
LYZdtt339	0
LYZdtt327	0
SLCdtt067	0
SLCdtt163	0
SLCdtt145	0
SLCdtt148	1
SLCdtt166	1
