Sample	Label
Itg.18.DTT496.S91	1
Itg.10.DTT455.S49	0
Lyz2.05B.DTT260.S101	1
Vil1.06B.DTT72	1
Vil1.04B.DTT43	0
Vil1.07B.DTT79	0
Lyz2.06B.DTT272.S114	1
Lyz2.01B.DTT207.S47	0
Itg.20.DTT508.S3	1
Lyz2.04B.DTT243.S84	0
Lyz2.03B.DTT236.S76	1
Lyz2.02B.DTT224.S64	1
Itg.02.DTT407.S99	0
Lyz2.08B.DTT291.S133	0
Itg.24.DTT527.S22	0
Itg.26.DTT539.S35	0
Vil1.02B.DTT24	1
Lyz2.07B.DTT284.S126	1
Vil1.06B.DTT67	0
Itg.02.DTT412.S4	1
Itg.12.DTT467.S61	0
Lyz2.02B.DTT219.S59	0
Itg.04.DTT424.S16	1
Vil1.08B.DTT96	1
Itg.18.DTT491.S86	0
Itg.06.DTT431.S24	0
Lyz2.05B.DTT255.S96	0
Vil1.010B.DTT120	1
Lyz2.07B.DTT279.S121	0
Vil1.05B.DTT60	1
Vil1.05B.DTT55	0
Lyz2.04B.DTT248.S89	1
Lyz2.06B.DTT267.S108	0
Vil1.01B.DTT12	1
Vil1.013B.DTT156	1
Vil1.07B.DTT84	1
Itg.16.DTT479.S73	0
Itg.26.DTT544.S40	1
Itg.16.DTT484.S79	1
Itg.20.DTT503.S98	0
Itg.22.DTT515.S10	0
Vil1.013B.DTT151	0
Vil1.04B.DTT48	1
Itg.06.DTT436.S29	1
Vil1.02B.DTT19	0
Lyz2.08B.DTT296.S139	1
Itg.22.DTT520.S15	1
Itg.08.DTT443.S36	0
Lyz2.01B.DTT212.S52	1
Vil1.010B.DTT115	0
Vil1.08B.DTT91	0
Vil1.014B.DTT163	0
Vil1.014B.DTT168	1
Vil1.09B.DTT103	0
Vil1.09B.DTT108	1
Lyz2.03B.DTT231.S71	0
Itg.04.DTT419.S11	0
LYZdtt351	0
LYZdtt308	1
SLCdtt019	0
SLCdtt114	1
LYZdtt356	1
LYZdtt368	1
SLCdtt024	1
LYZdtt344	1
SLCdtt096	1
LYZdtt332	1
LYZdtt363	0
LYZdtt320	1
LYZdtt315	0
SLCdtt078	1
SLCdtt109	0
SLCdtt054	1
SLCdtt006	1
SLCdtt132	1
SLCdtt001	0
LYZdtt303	0
LYZdtt339	0
LYZdtt327	0
SLCdtt067	0
SLCdtt163	0
SLCdtt145	0
SLCdtt150	1
SLCdtt168	1
