Sample	Label
Itg.10.DTT455.S49	1
Vil1.06B.DTT70	0
Itg.24.DTT530.S25	0
Vil1.04B.DTT43	1
Vil1.07B.DTT79	1
Lyz2.04B.DTT246.S87	0
Lyz2.01B.DTT207.S47	1
Lyz2.06B.DTT270.S112	0
Itg.16.DTT482.S77	0
Lyz2.04B.DTT243.S84	1
Vil1.04B.DTT46	0
Itg.02.DTT407.S99	1
Lyz2.08B.DTT291.S133	1
Itg.24.DTT527.S22	1
Itg.26.DTT539.S35	1
Vil1.09B.DTT106	0
Vil1.06B.DTT67	1
Itg.06.DTT434.S27	0
Itg.22.DTT518.S13	0
Vil1.03B.DTT34	0
Itg.12.DTT467.S61	1
Lyz2.02B.DTT219.S59	1
Lyz2.01B.DTT210.S50	0
Itg.18.DTT491.S86	1
Vil1.05B.DTT58	0
Itg.06.DTT431.S24	1
Lyz2.05B.DTT255.S96	1
Itg.12.DTT470.S64	0
Itg.02.DTT410.S2	0
Lyz2.07B.DTT279.S121	1
Itg.08.DTT446.S39	0
Vil1.01B.DTT10	0
Itg.26.DTT542.S38	0
Vil1.05B.DTT55	1
Vil1.010B.DTT118	0
Lyz2.05B.DTT258.S99	0
Lyz2.06B.DTT267.S108	1
Itg.16.DTT479.S73	1
Itg.04.DTT422.S14	0
Itg.20.DTT503.S98	1
Itg.22.DTT515.S10	1
Vil1.013B.DTT151	1
Lyz2.07B.DTT282.S124	0
Vil1.02B.DTT19	1
Itg.08.DTT443.S36	1
Lyz2.02B.DTT222.S62	0
Vil1.02B.DTT22	0
Itg.10.DTT458.S52	0
Vil1.010B.DTT115	1
Vil1.08B.DTT91	1
Vil1.014B.DTT163	1
Vil1.08B.DTT94	0
Vil1.09B.DTT103	1
Itg.20.DTT506.S1	0
Lyz2.03B.DTT234.S74	0
Vil1.07B.DTT82	0
Vil1.013B.DTT154	0
Lyz2.03B.DTT231.S71	1
Itg.18.DTT494.S89	0
Lyz2.08B.DTT294.S136	0
Itg.04.DTT419.S11	1
LYZdtt342	0
LYZdtt351	1
SLCdtt022	0
LYZdtt366	0
SLCdtt019	1
SLCdtt070	0
LYZdtt354	0
LYZdtt330	0
LYZdtt306	0
SLCdtt004	0
SLCdtt112	0
SLCdtt076	0
LYZdtt318	0
LYZdtt363	1
LYZdtt315	1
SLCdtt052	0
SLCdtt109	1
SLCdtt001	1
LYZdtt303	1
SLCdtt130	0
LYZdtt339	1
LYZdtt327	1
SLCdtt067	1
SLCdtt163	1
SLCdtt145	1
SLCdtt148	0
SLCdtt166	0
