"","Bifidobacterium","Enterorhabdus","Bacteroides","Odoribacter","Muribaculaceae (f)","Muribaculum","Alloprevotella","Paraprevotella","Prevotellaceae_UCG.001","Alistipes","Millionella","Rikenellaceae_RC9_gut_group","Parabacteroides","Tumebacillus","Lactobacillus"," (f)","Christensenellaceae (f)","Candidatus_Arthromitus","Clostridium_sensu_stricto_1","Clostridiales_vadinBB60_group (f)","Eubacterium","Family_XIII (f)","Family_XIII_UCG.001","Lachnospiraceae (f)","Acetatifactor","Anaerostipes","Blautia","Cuneatibacter","Eisenbergiella","GCA.900066575","Hungatella","Lachnoclostridium","Lachnospiraceae_FCS020_group","Lachnospiraceae_ND3007_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.006","Lachnospiraceae_UCG.010","Lactonifactor","Marvinbryantia","Roseburia","Sellimonas","Shuttleworthia","Tyzzerella","UC5.1.2E3","Peptococcaceae (f)","Romboutsia","Ruminococcaceae (f)","Anaerotruncus","Angelakisella","Butyricicoccus","Faecalibacterium","Flavonifractor","GCA.900066225","Harryflintia","Intestinimonas","Negativibacillus","Oscillibacter","Ruminiclostridium","Ruminiclostridium_5","Ruminiclostridium_9","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.004","Ruminococcaceae_UCG.005","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","UBA1819","Erysipelotrichaceae (f)","Candidatus_Stoquefichus","Dielma","Dubosiella","Erysipelatoclostridium","Faecalibaculum","Holdemania","Turicibacter","Phascolarctobacterium","Bilophila","Desulfovibrio","Parasutterella","Escherichia.Shigella","Klebsiella","Acinetobacter","Akkermansia"
"Luminal",0,0,40965,63,231,4,87,5105,3,252,3,28,1079,0,9,1,20,21,1,15,10,25,13,787,2,45,410,4,54,51,11,1185,2,20,1085,1,1,1,0,4,8,673,7,0,185,9,1,14,37,9,0,0,1007,45,15,0,1,20,7,14,17,11,0,66,2,1,0,150,85,163,8,2,52,3,79,35,1097,833,2,944,69,4,0,9016
"Mucosal",8,1,40683,77,1033,21,241,4011,1,286,0,114,824,7,31,1,13,27,1,22,5,48,15,1189,52,25,1072,4,92,52,9,1100,6,42,1771,23,14,3,1,4,3,179,8,2,307,17,3,43,53,32,2,2,406,45,8,3,11,11,15,21,53,41,1,64,2,3,2,54,29,498,7,2,54,37,80,117,423,215,5,525,413,8,7,10274
