	observed_features
BioGeo-Vil1-14B-FP166_merged_R1_001.fastq_profiled_metagenome	57
BioGeo-Vil1-14B-FP164_merged_R1_001.fastq_profiled_metagenome	231
BioGeo-Vil1-13B-FP154-REP1_S47_R1_001.fastq_profiled_metagenome	25
BioGeo-Vil1-13B-FP152_merged_R1_001.fastq_profiled_metagenome	24
BioGeo-Vil1-10B-FP118-REP1_S45_R1_001.fastq_profiled_metagenome	83
BioGeo-Vil1-10B-FP116-REP1_S44_R1_001.fastq_profiled_metagenome	172
BioGeo-Vil1-09B-FP106_merged_R1_001.fastq_profiled_metagenome	78
BioGeo-Vil1-09B-FP104_merged_R1_001.fastq_profiled_metagenome	230
BioGeo-Vil1-08B-FP94-REP1_S42_R1_001.fastq_profiled_metagenome	76
BioGeo-Vil1-08B-FP92-REP1_S41_R1_001.fastq_profiled_metagenome	232
BioGeo-Vil1-07B-FP83_merged_R1_001.fastq_profiled_metagenome	117
BioGeo-Vil1-07B-FP79_merged_R1_001.fastq_profiled_metagenome	245
BioGeo-Vil1-06B-FP67_merged_R1_001.fastq_profiled_metagenome	268
BioGeo-Vil1-05B-FP59-REP1_S37_R1_001.fastq_profiled_metagenome	155
BioGeo-Vil1-05B-FP55_merged_R1_001.fastq_profiled_metagenome	188
BioGeo-Vil1-04B-FP47_merged_R1_001.fastq_profiled_metagenome	98
BioGeo-Vil1-04B-FP43-Rep1_S88_R1_001.fastq_profiled_metagenome	257
BioGeo-Vil1-03B-FP35-REP1_S38_R1_001.fastq_profiled_metagenome	180
BioGeo-Vil1-03B-FP31_merged_R1_001.fastq_profiled_metagenome	206
BioGeo-Vil1-02B-FP23_merged_R1_001.fastq_profiled_metagenome	91
BioGeo-Vil1-02B-FP19_merged_R1_001.fastq_profiled_metagenome	179
BioGeo-Vil1-01B-FP11_merged_R1_001.fastq_profiled_metagenome	96
BioGeo-Vil1-01B-FP07-Rep1_S107_R1_001.fastq_profiled_metagenome	213
BioGeo-SLCFP131-REP1_S33_R1_001.fastq_profiled_metagenome	99
BioGeo-SLCFP095_merged_R1_001.fastq_profiled_metagenome	106
BioGeo-SLCFP091-REP1_S29_R1_001.fastq_profiled_metagenome	188
BioGeo-SLCFP077_merged_R1_001.fastq_profiled_metagenome	116
BioGeo-SLCFP071-REP1_S27_R1_001.fastq_profiled_metagenome	87
BioGeo-SLCFP023-REP1_S26_R1_001.fastq_profiled_metagenome	136
BioGeo-SLCFP019a_merged_R1_001.fastq_profiled_metagenome	170
BioGeo-SLCFP005-REP1_S24_R1_001.fastq_profiled_metagenome	115
BioGeo-SLCFP001_merged_R1_001.fastq_profiled_metagenome	196
BioGeo-Lyz2-08B-FP295-S93_merged_R1_001.fastq_profiled_metagenome	99
BioGeo-Lyz2-08B-FP291-S89_merged_R1_001.fastq_profiled_metagenome	223
BioGeo-Lyz2-07B-FP283-S81_merged_R1_001.fastq_profiled_metagenome	87
BioGeo-Lyz2-07B-FP279-S77_merged_R1_001.fastq_profiled_metagenome	193
BioGeo-Lyz2-06B-FP271-S69_merged_R1_001.fastq_profiled_metagenome	107
BioGeo-Lyz2-06B-FP267-S64_merged_R1_001.fastq_profiled_metagenome	236
BioGeo-Lyz2-05B-FP259-S56_merged_R1_001.fastq_profiled_metagenome	91
BioGeo-Lyz2-05B-FP255-S52_merged_R1_001.fastq_profiled_metagenome	211
BioGeo-Lyz2-04B-FP243-S92_merged_R1_001.fastq_profiled_metagenome	176
BioGeo-Lyz2-03B-FP235-S83_merged_R1_001.fastq_profiled_metagenome	77
BioGeo-Lyz2-03B-FP231-S79_merged_R1_001.fastq_profiled_metagenome	227
BioGeo-Lyz2-02B-FP223-S71_merged_R1_001.fastq_profiled_metagenome	90
BioGeo-Lyz2-02B-FP219-S67_merged_R1_001.fastq_profiled_metagenome	211
BioGeo-Lyz2-01B-FP211-S59_merged_R1_001.fastq_profiled_metagenome	68
BioGeo-Lyz2-01B-FP207-S55_merged_R1_001.fastq_profiled_metagenome	243
BioGeo-LYZFP355_merged_R1_001.fastq_profiled_metagenome	65
BioGeo-LYZFP351-Rep1_S106_R1_001.fastq_profiled_metagenome	196
BioGeo-LYZFP339_merged_R1_001.fastq_profiled_metagenome	201
BioGeo-LYZFP327-Rep1_S105_R1_001.fastq_profiled_metagenome	149
BioGeo-LYZFP319_merged_R1_001.fastq_profiled_metagenome	115
BioGeo-LYZFP315_merged_R1_001.fastq_profiled_metagenome	216
BioGeo-LYZFP307_merged_R1_001.fastq_profiled_metagenome	149
BioGeo-LYZFP303_merged_R1_001.fastq_profiled_metagenome	229
