	TL1a_FP_162	TL1a_FP_88	TL1a_FP_230	TL1a_FP_89	TL1a_FP_234	TL1a_FP_128	TL1a_FP_129	TL1a_FP_287	TL1a_FP_86	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_197	TL1a_FP_159	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_195	TL1a_FP_158	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_269	TL1a_FP_288	TL1a_FP_87	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_194	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1a_FP_285	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_FP_157	TL1a_FP_283	TL1a_FP_229	TL1A_FP_626	TL1A_FP_677	TL1A_FP_674	TL1A_FP_678	TL1A_FP_625	TL1A_FP_630	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627
TL1a_FP_162	0.0	3.9666042216265445	4.2347810338297025	1.3830884319633714	3.7184991441745683	4.025647607909422	3.834282845005012	2.899589779231213	4.309794625350772	1.6235728571654975	0.6319270080196239	3.13090959804888	2.0672507240043996	4.039574865121512	3.6312037898189056	1.288676269034778	2.331445619286106	3.579988526239427	3.328492396237153	4.230100017298133	3.74696572112522	3.422017315935261	1.6675658875783819	2.897041187850166	4.5083692745582296	3.3505558209487574	3.1689212211507516	1.3637218372252442	2.311777069245021	3.161922754026745	3.031942959068278	2.944522661226325	2.743380336643999	2.3683748562624607	4.043497665856062	3.939201996155087	4.089703201983759	3.135178317774205	2.9216334571963083	3.543259272933086	4.166011914564434	4.271484217299246	3.26803188621183	2.1918972719583745	3.3272222606921265	2.6123720032520596	3.3916982454233615	2.6826233571937554	3.740771508140063	3.6227046441626314	3.3264958984224173
TL1a_FP_88	3.9666042216265445	0.0	0.44429472487540916	3.809628531280288	1.6244791444106539	2.540921669817709	2.1430166320457404	1.4898656230811675	0.3679705854750928	2.6924638178630853	3.361297296495439	1.8969663404387618	2.254405935531323	2.306532819860207	2.4767687579722786	2.7282133121939176	1.7360910066002941	2.5914800090700947	2.1964113150478553	0.3183280074129495	0.8366642097957088	1.7905049299721976	2.624955015012938	1.1250994965698444	0.6791592136996993	2.0644657259439017	1.1456231166860633	2.64071361715884	2.1889222319654307	1.9622899659860398	1.0016513315772897	1.0289152830677977	1.735728038474011	2.5012021516792564	0.32039111336784176	0.23033317195762162	1.9309454678203624	1.9821213082342075	1.9614739142778406	1.8547949500559162	0.7626340163943345	0.6493658403385014	0.8598976656977753	2.035492386307549	0.8530134122335891	1.5663264611252714	1.1309304575049755	1.7997481627877927	1.0243997033179666	0.38687418330649437	0.7882791456620408
TL1a_FP_230	4.2347810338297025	0.44429472487540916	0.0	3.9681346752164672	1.6050785733396535	2.851885402311419	2.4721122827572684	1.9112632724415326	0.3401323952445515	3.0502537010873976	3.616189217863831	2.3138346087704167	2.6249500357905995	2.596774481219799	2.8400857157561785	2.973720652479738	1.957683287530308	2.9687745008952144	2.566724879218386	0.3076771844223284	1.0441924316011255	2.181406959503321	2.933529682738011	1.441532664540322	0.2878273586524087	2.459440210692713	1.4818770398084358	2.945817718834054	2.5882606475417074	2.404345892314873	1.3758178130288485	1.308332852966042	1.8993915979827074	2.908824206408325	0.3978702822214162	0.3286948555364778	2.2467102081191843	2.4242587894208856	2.3945010847960155	2.2196351093322613	0.9210789002677253	0.49425821601359526	1.0161716211608398	2.1830671859793007	1.0687196677289656	1.7068737930178928	1.1960771922439066	1.943612078517301	0.9712581816715843	0.6322513451565055	0.9383823196270165
TL1a_FP_89	1.3830884319633714	3.809628531280288	3.9681346752164672	0.0	3.691171658099962	3.9555922483932973	3.7841421121741123	3.105702509670091	4.093209834975456	2.347577782446175	1.2675649097987172	3.3406041513809734	2.6329370872904923	3.904956064507903	3.7080974663362714	1.5523599814646272	2.3264196238404886	3.725292707752268	3.387872344607051	4.000908103143542	3.799362797695367	3.5015359696933244	2.3297859251148534	2.94640081412439	4.234474988079711	3.4895996985504625	3.025360564098817	1.8341973009836008	2.6975107319845106	3.558327652757081	3.0225008972117453	2.826358241527346	2.826153907412814	2.8252280365781135	3.783886074724555	3.7378913404366196	4.030510810652365	3.5438841586559673	3.2797053849617535	3.5511940529023467	3.9039259125309704	4.113590849081882	3.11014702603705	1.8739989453782802	3.2883058353891186	2.353246361299485	3.2929880830178515	2.712268836352756	3.5789114513678233	3.43395762501435	3.1447125687568835
TL1a_FP_234	3.7184991441745683	1.6244791444106539	1.6050785733396535	3.691171658099962	0.0	3.9399613067657486	3.5289100647977945	2.29178291251471	1.8439452859571972	2.713412175701197	3.1132823954135507	2.9346719322363355	2.3342823669171406	3.744706613589384	3.738528690006337	2.476920674048904	1.555192250545032	3.804687773116475	3.3880971784517686	1.8157832526831073	1.0095398548285948	3.018989374769054	2.3013651840464076	1.4318757304203769	1.683114982944041	3.234504728921384	2.270726925541323	2.5997689079569684	2.751989640771037	2.808413209731284	1.8189984996487067	1.5979690723727555	0.9899945699256889	3.1353999318240175	1.8224587280438758	1.4670198590948094	3.4045478398338433	2.8066920634774317	2.777064512272964	3.155970655306244	2.3608392620710887	1.250223597524627	1.1388762078949737	1.8910432013824874	1.0221100363207074	1.5182222542478634	0.6583406951031635	1.0438196965286195	0.664230752984941	1.4805849567112312	1.1970592194161045
TL1a_FP_128	4.025647607909422	2.540921669817709	2.851885402311419	3.9555922483932973	3.9399613067657486	0.0	0.4169692358875082	1.8930435661585066	2.6113086160121686	2.9315179998418612	3.659621888405267	1.319724684878281	2.7536802315133078	0.29428858001302516	0.5228201095579983	3.347817828369105	3.014679023758136	0.6879831967360519	0.7798733204730627	2.5805022645164395	3.0821960947853784	1.0201262516010905	3.3540729413373516	2.6247451144825864	3.050877008136403	0.9520441660665254	1.7219526559678686	3.0049455735332935	2.0342514786394	1.7841331818884436	2.165833790473275	2.4491415275598385	3.477971524053316	1.9308432834324385	2.4602614195043793	2.7135438033677843	0.6901561221067118	1.813069062327945	1.7331203340220402	0.8172562820990026	1.975996384600909	3.18545551328285	2.863765939229522	3.1351290617513796	2.920214233327178	2.9881650571621776	3.3194202841917035	3.51780545527313	3.409887009271992	2.5509688909432073	2.8142338957255753
TL1a_FP_129	3.834282845005012	2.1430166320457404	2.4721122827572684	3.7841421121741123	3.5289100647977945	0.4169692358875082	0.0	1.5106535529849046	2.234594236279346	2.653091555830891	3.4248933164941433	0.9861821706574981	2.4293066813964446	0.3250470022124058	0.4876465193930115	3.0604497415066367	2.650391048439149	0.6757334160503378	0.5443096512500709	2.202201574021688	2.6658250018618426	0.6380142087268261	3.0349996739927936	2.224318146288449	2.678901825437587	0.6519681329025836	1.3366299717913919	2.7268628181594576	1.7467132977817312	1.459650815511397	1.7636900788162568	2.059096823510011	3.086556462804802	1.7059284082241226	2.0815586891143107	2.3180439418127565	0.3923772878348081	1.490859159753564	1.4101020318693502	0.41972119442511613	1.6240719245813473	2.7877400359381426	2.4644652366257223	2.8082901062292898	2.510236011912004	2.6279505471972646	2.9139489558572595	3.1317854434097643	3.00518785370767	2.1513660654806164	2.416110680115562
TL1a_FP_287	2.899589779231213	1.4898656230811675	1.9112632724415326	3.105702509670091	2.29178291251471	1.8930435661585066	1.5106535529849046	0.0	1.7989740130992562	1.4409364416277024	2.3932700461620673	0.6654644009489451	1.055383209841056	1.8060287628917415	1.5448713971414567	1.8961446010181011	1.3575498925775382	1.5664032497177793	1.1976483555400896	1.7495151286567647	1.5432724086506533	0.8871503407038908	1.6586386405371538	0.9055313270748417	2.1679646606274705	1.0116807377531516	0.7775383211456524	1.5727196692224121	0.7381238812271288	0.6761534266893626	0.6256447422410175	0.9677841813239332	1.703868477151873	1.0271671201940946	1.6229025119801974	1.6092973373725719	1.5441498328753365	0.680566306018022	0.5375784772393577	1.0912014156579373	1.5914994302638055	2.0058330728720755	1.3918144893484008	1.7423239395537478	1.3359762662795533	1.5282251677218996	1.7370540183230057	1.7763945120583549	1.951683610035756	1.346671585856884	1.3967620155704645
TL1a_FP_86	4.309794625350772	0.3679705854750928	0.3401323952445515	4.093209834975456	1.8439452859571972	2.6113086160121686	2.234594236279346	1.7989740130992562	0.0	3.0492863381972932	3.7039793595703308	2.1318495682056318	2.6134662869759318	2.358717267698042	2.614813232050273	3.073545528923021	2.0821107461055015	2.744691952120657	2.3700677505878684	0.09529289374901988	1.1139765180392371	1.9701312701419271	2.991959624725763	1.490858048720333	0.4578788505721329	2.2518602754548502	1.388852414003533	2.9918620169639727	2.506271505618114	2.2258617314919076	1.33899158357588	1.3665595496806655	2.0699143272161575	2.7997185178839086	0.327342662528168	0.44834346117011764	1.9784843385575286	2.2493535663406323	2.241342574643737	2.0011012576707383	0.6855632706595834	0.6773983913911127	1.1794267866210766	2.340534055323993	1.1940324792073038	1.8726600991932423	1.4131691558355595	2.128141610136348	1.2319526685057163	0.7046178517718708	1.1009181185770327
TL1a_FP_198	1.6235728571654975	2.6924638178630853	3.0502537010873976	2.347577782446175	2.713412175701197	2.9315179998418612	2.653091555830891	1.4409364416277024	3.0492863381972932	0.0	1.2369751824816733	1.7507111947003726	0.4917361707962103	2.931257987572505	2.47763195467127	1.0121747986386755	1.3966739407542894	2.418371598253439	2.1542565575603714	2.987069981179798	2.4245860520384954	2.1029671140166246	0.6079593006753113	1.6276720222326972	3.3155738421888477	2.0605553515755	1.9730087652084414	0.5629713464554646	0.9107229992470656	1.6245153394143683	1.730872075011334	1.793726669135557	1.7782811443089697	1.077732317749334	2.8405160173711383	2.7252585707169157	2.827447367945599	1.5940537170936393	1.431306435038374	2.2873364288449403	2.9372065863824917	3.0421126868036614	2.161357247162433	1.668566966020911	2.1172899822940603	1.8114759131526514	2.3241379131002793	1.804031057556906	2.666907296113986	2.4258743138430874	2.2186806245942465
