index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia
Luminal,294.0,12476.0,18.0,97.0,68100.0,1994.0,50.0,437.0
Mucosal,68.0,9715.0,21.0,200.0,43131.0,3362.0,16.0,59.0
