"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Cyanobacteria","k__Bacteria.p__Deferribacteres","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Tenericutes","k__Bacteria.p__Verrucomicrobia"
"Jejunum_L",348,10588,14,71,79293,2327,39,600
"Ileum_L",304,11181,19,80,72550,1749,55,431
"Duodenum_L",227,15845,19,144,51463,1895,57,269
"Duodenum_M",79,10787,21,47,44726,3494,11,48
"Ileum_M",51,9556,28,494,46646,3103,28,54
"Jejunum_M",78,8869,16,38,37920,3506,9,76
