"","Bifidobacterium","Eggerthellaceae (f)","DNF00809","Enterorhabdus","Parvibacter","Bacteroides","Odoribacter","Muribaculaceae (f)","Muribaculum","Alistipes","Rikenella","Rikenellaceae_RC9_gut_group","Parabacteroides"," (f)","Mucispirillum","Listeria","Staphylococcus","Enterococcus","Lactobacillus","Streptococcus"," (f)","Christensenellaceae (f)","Christensenellaceae_R.7_group","Candidatus_Arthromitus","Clostridiales_vadinBB60_group (f)","Defluviitaleaceae_UCG.011","Anaerofustis","Family_XIII (f)","Family_XIII_AD3011_group","Family_XIII_UCG.001","Lachnospiraceae (f)","A2","ASF356","Acetatifactor","Blautia","GCA.900066575","Lachnoclostridium","Lachnospiraceae_FCS020_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.006","Lachnospiraceae_UCG.010","Marvinbryantia","Roseburia","Shuttleworthia","Tyzzerella","Peptococcaceae (f)","Ruminococcaceae (f)","Anaerotruncus","Butyricicoccus","Faecalibacterium","Flavonifractor","GCA.900066225","Intestinimonas","Oscillibacter","Ruminiclostridium","Ruminiclostridium_5","Ruminiclostridium_6","Ruminiclostridium_9","Ruminococcaceae_NK4A214_group","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","Ruminococcaceae_UCG.014","Erysipelotrichaceae (f)","Candidatus_Stoquefichus","Faecalibaculum","Turicibacter"," (f)","Mitochondria (f)","Bilophila","Desulfovibrio","Parasutterella","Escherichia.Shigella","Anaeroplasma","Akkermansia"
"Mucosal",24,6,26,7,1,629,213,6531,360,291,48,66,173,89,17007,87,417,262,11715,25,33,7,4,128,126,5,3,9,3,34,11307,248,212,248,44,58,7993,129,2874,785,10,1514,3,415,441,20,6,130,381,166,253,12,3,14,216,365,225,113,25,401,16,36,27,2,71,18,12,3573,1298,17,1,68,652,222,2893,71,148
"Luminal",177,9,55,21,2,463,293,13739,709,551,84,125,117,57,58,22,112,10,21465,85,20,10,8,58,145,8,8,23,4,31,3340,139,140,166,18,74,870,108,1953,365,10,1828,3,287,278,17,6,101,408,95,171,4,2,8,238,338,160,83,37,294,30,34,16,9,168,31,17,9811,2345,12,36,40,658,379,63,59,394
