index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Jejunum,20.0,30806.0,16011.0,7491.0,56820.0
Proximal_Colon,0.0,57425.0,7599.0,1548.0,9162.0
Cecum,0.0,49920.0,9085.0,2157.0,9248.0
Distal_Colon,0.0,36093.0,6026.0,1853.0,8637.0
Ileum,3.0,27981.0,8274.0,4362.0,38913.0
Duodenum,10.0,52975.0,14200.0,4821.0,42680.0
