#OTU ID,TILC-IL22-DTT-982,TILC-IL22-DTT-1047,TILC-IL22-DTT-940,TILC-IL22-DTT-939,TILC-IL22-DTT-961,TILC-IL22-DTT-966,TILC-IL22-DTT-1004,TILC-IL22-DTT-937,TILC-IL22-DTT-1078,TILC-IL22-DTT-962,TILC-IL22-DTT-914,TILC-IL22-DTT-933,TILC-IL22-DTT-1083,TILC-IL22-DTT-1040,TILC-IL22-DTT-1081,TILC-IL22-DTT-932,TILC-IL22-DTT-1039,TILC-IL22-DTT-979,TILC-IL22-DTT-1014,TILC-IL22-DTT-964,TILC-IL22-DTT-918,TILC-IL22-DTT-1042,TILC-IL22-DTT-980,TILC-IL22-DTT-1080,TILC-IL22-DTT-1010,TILC-IL22-DTT-1046,TILC-IL22-DTT-1050,TILC-IL22-DTT-1006,TILC-IL22-DTT-983,TILC-IL22-DTT-1048,TILC-IL22-DTT-934,TILC-IL22-DTT-1044,TILC-IL22-DTT-1008,TILC-IL22-DTT-1045,TILC-IL22-DTT-1007,TILC-IL22-DTT-965,TILC-IL22-DTT-1082,TILC-IL22-DTT-1003,TILC-IL22-DTT-1077,TILC-IL22-DTT-1005,TILC-IL22-DTT-1009,TILC-IL22-DTT-917,TILC-IL22-DTT-1049,TILC-IL22-DTT-984,TILC-IL22-DTT-931,TILC-IL22-DTT-1085,TILC-IL22-DTT-935,TILC-IL22-DTT-981,TILC-IL22-DTT-1076,TILC-IL22-DTT-1079,TILC-IL22-DTT-1075,TILC-IL22-DTT-915,TILC-IL22-DTT-913,TILC-IL22-DTT-1043,TILC-IL22-DTT-1041,TILC-IL22-DTT-1012,TILC-IL22-DTT-938,TILC-IL22-DTT-936,TILC-IL22-DTT-1011,TILC-IL22-DTT-963,TILC-IL22-DTT-1084,TILC-IL22-DTT-1013
4b1bf8fe8218ca009042cc3beafc3e45,53358,10,66257,8,2442,46677,1044,837,58022,518,193,50,1889,394,788,52,2231,1504,53109,66326,47928,53353,55,49928,147,40,20792,43713,65765,45351,41254,50775,28523,126,44434,62710,140,518,540,1264,596,56240,48256,9647,372,57306,64726,55,163,49501,460,80,844,57949,139,40859,111,20630,109,8,45876,43467
b0d5a4ec8e74ac4c6cb4ecb9406183d8,115,4,21,0,106,44,1211,49,1327,115,212,3,94,915,421,7,325,1195,156,67,18,781,8,1033,546,55,328,537,11,337,67,72,467,186,78,207,118,551,184,1362,985,30,250,205,27,982,52,4,318,2498,861,7,231,198,63,749,17,205,311,13,855,267
f03dffd2e63efb9a0dbc61f7ffa6fe0a,3310,3,1124,32,590,26,882,9544,565,603,738,46,408,249,3755,926,455,2806,115,16,0,46,1133,1155,968,66,3071,102,1170,1684,1233,168,350,786,130,75,1294,486,382,431,436,113,1877,11634,3047,1883,840,47,1196,1255,6021,55,505,100,5,538,3010,10831,210,22,1655,243
df45ff114fca650e2150e761e33d947f,246,9,156,25,229,14,2756,2859,152,116,655,25,549,866,3555,646,281,479,144,10,0,120,802,463,915,151,2160,489,261,1029,365,255,1047,859,345,25,1652,1273,536,1463,697,124,2864,2577,922,2322,738,18,924,612,3906,74,575,491,30,250,1097,6334,262,18,948,210
2e1a0c95b8b627148e4efc1a2e2124d3,430,33,238,24,1824,31,15519,6197,230,927,2251,38,930,4575,9073,1159,1482,1425,304,34,7,659,842,1330,6703,358,7766,1050,141,3372,808,1207,6291,2883,1343,74,2692,5833,1656,8706,4514,154,3791,5785,1899,3083,568,24,2826,924,12874,149,1936,2137,99,1015,2166,5605,1708,104,1839,1726
9b7049743d73cc2d4831205504518215,156,16,252,48,303,12,2783,4605,383,172,499,91,1613,278,7985,1187,719,718,38,20,3,54,945,561,1078,142,2339,140,38,277,731,73,1276,831,166,70,3589,954,965,1289,959,23,341,7345,1391,1096,644,35,1487,301,5287,60,577,74,17,109,1748,7464,404,40,1475,219
7d1e0ce268d40f6d52cffecca53434ea,1164,11,249,21,818,13,4417,3705,278,446,1058,28,341,1226,2893,824,604,898,150,19,0,155,1040,930,2906,185,3643,570,332,1333,1067,406,2503,1042,737,49,937,1618,749,1983,888,59,2220,2981,1720,2377,314,24,929,1468,7156,76,713,575,26,527,1204,6240,658,44,926,732
3b482b3f9da81db80a221a66031aa159,88,4,88,12,23,3,1117,1799,38,7,381,20,203,268,1108,323,259,166,101,0,0,24,183,153,573,40,829,158,49,323,202,56,523,229,147,4,479,570,224,611,378,41,637,839,662,1074,326,6,395,184,1395,35,296,93,13,181,650,3139,158,5,286,233
54f3fa8080e96ee8c48b77627ac0ae3a,199,2,0,0,0,0,0,0,329,0,0,0,30,9,146,0,0,42,0,0,0,249,44,757,0,6,132,0,69,321,0,57,0,0,0,0,33,0,33,0,3,0,182,240,0,214,0,3,104,535,334,0,0,124,0,0,0,0,0,0,274,0
8c29c0ac4bed029ebbeb22b3935cc8bb,23,0,0,0,0,0,0,2,22,0,11,0,2,14,18,0,0,10,5,0,0,43,8,75,14,0,18,0,7,14,0,38,0,4,0,0,3,0,9,0,15,0,7,78,0,12,0,0,11,45,21,0,0,32,5,12,0,0,5,0,20,12
bfe6aadce0fc4f802938cb633f5e0364,0,892,7,195,29,0,46,5,0,463,70,1403,1564,53,34,152,139,394,0,5,0,0,14,0,119,180,4,0,0,7,18,0,0,3,0,0,178,43,2915,271,39,0,0,3,82,0,0,443,136,0,23,361,69,0,3113,28,49,3,719,1656,4,0
addf1e3d60f6910392223e40dcfa898b,36,0,3,5,77,0,19,19,21,38,105,16,40,31,47,60,82,135,8,2,0,6,95,6,65,5,15,7,14,6,13,2,24,7,0,0,25,185,68,19,129,3,30,259,180,22,4,9,67,18,29,26,15,3,0,31,12,99,26,15,31,22
5ae7a7dc77ef076f56192e3fb6a7a9a1,3,109,9,3,2,0,34,238,0,6,85,53,34,650,21,293,121,729,0,0,0,2,236,0,2,782,21,0,0,16,3,2,0,54,0,0,135,67,15,117,3,0,2,16,170,0,0,22,25,0,8,32,73,0,171,0,182,3,0,2,4,0
56a2cf2ce53f62923ca9c6771095dbe3,82,2,33,3,60,0,362,734,38,65,87,0,29,94,176,202,134,207,7,0,0,0,55,76,114,6,500,21,26,178,81,23,103,81,15,2,74,107,36,102,109,2,222,811,178,129,105,4,238,63,709,4,98,15,3,39,208,1094,34,15,108,21
58cd4c9e99b146bb0248067242fd2428,0,7,0,0,64,0,269,107,0,84,235,20,59,629,48,434,46,76,0,0,0,0,134,0,686,118,0,3,0,2,0,0,0,36,6,0,721,1888,672,733,71,0,0,0,159,0,0,3,1636,0,230,20,20,0,31,5,205,2,71,8,2,0
0bb1c8431343726b5826ba41bceb2deb,218,0,27,3,275,163,1059,868,55,141,165,10,194,38,631,92,1221,711,5,44,0,3,174,66,295,17,773,5,31,163,69,9,27,205,16,41,93,143,47,150,351,15,102,2048,87,110,23,10,134,30,433,11,133,0,0,58,281,1976,58,11,253,105
71d66ceaddb03115b1c894ff4284735c,269,2,55,5,196,2,447,555,95,177,167,9,125,71,917,176,152,279,25,6,5,8,158,86,107,12,514,62,61,134,172,26,136,116,60,14,306,142,89,158,78,42,521,597,417,774,125,3,258,214,1328,14,179,52,6,28,154,1894,41,21,343,17
2743127cd8d1e4ad474b21e83ea2a7b1,0,0,0,0,71,0,0,199,0,130,0,0,19,58,148,21,31,225,0,0,0,0,133,0,99,85,2,0,0,3,0,0,0,0,0,0,259,5,33,4,60,0,0,18,27,0,0,2,369,0,77,0,0,0,3,0,168,4,19,22,9,0
d0e5f3f7fa0a80fa6c8f281392a405d6,9,2,15,2,2,1,126,176,1,3,49,2,24,29,125,39,39,87,13,0,3,1,34,28,74,7,83,25,21,54,45,10,69,41,34,1,95,82,49,89,110,0,133,144,25,118,29,2,70,27,177,11,72,17,0,38,100,575,41,0,54,31
