"","(Intercept)","Sequencing_Run2014-September","Sequencing_Run2015-September","Sequencing_Run2017-April","GenotypeTCR_KO","GenotypeRAGROR","SiteProximal_Colon","SiteCecum","SiteIleum","SiteJejunum","SiteDuodenum","GenotypeTCR_KO:SiteProximal_Colon","GenotypeRAGROR:SiteProximal_Colon","GenotypeTCR_KO:SiteCecum","GenotypeRAGROR:SiteCecum","GenotypeTCR_KO:SiteIleum","GenotypeRAGROR:SiteIleum","GenotypeTCR_KO:SiteJejunum","GenotypeRAGROR:SiteJejunum","GenotypeTCR_KO:SiteDuodenum","GenotypeRAGROR:SiteDuodenum"
"TILCIL22DTT932",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1039",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT979",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT1014",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT964",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT918",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1042",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT980",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1080",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1010",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1046",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1050",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1006",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT983",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT1048",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT934",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT1044",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1008",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1045",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT1007",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT965",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT1082",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1003",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT1077",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT1005",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT1009",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT917",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT1049",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT984",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT931",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT1085",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT935",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT981",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT1076",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT1079",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT1075",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT915",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT913",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCIL22DTT1043",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCIL22DTT1041",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT1012",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT938",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCIL22DTT936",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCIL22DTT1011",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT963",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCIL22DTT1084",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCIL22DTT1013",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
