#OTU ID,TILC-DTT-590,TILC-DTT-425,TILC-DTT-554,TILC-DTT-296,IL17-DTT-201,IL17-DTT-54,IL17-DTT-28,TILC-DTT-446,TILC-DTT-23,TILC-DTT-506,IL17-DTT-188,TILC-DTT-24,TILC-DTT-394,TILC-DTT-396,TILC-DTT-476,TILC-DTT-558,TILC-DTT-616,IL17-DTT-218,IL17-DTT-85,IL17-DTT-52,IL17-DTT-132,TILC-DTT-647,TILC-DTT-300,TILC-DTT-353,TILC-DTT-556,TILC-DTT-265,TILC-DTT-421,IL17-DTT-104,IL17-DTT-90,TILC-DTT-646,IL17-DTT-143,TILC-DTT-379,TILC-DTT-510,TILC-DTT-352,TILC-DTT-422,TILC-DTT-395,TILC-DTT-571,TILC-DTT-648,IL17-DTT-26,TILC-DTT-618,TILC-DTT-266,IL17-DTT-142,TILC-DTT-603,TILC-DTT-392,IL17-DTT-27,TILC-DTT-449,IL17-DTT-144,IL17-DTT-219,TILC-DTT-381,TILC-DTT-478,TILC-DTT-645,IL17-DTT-29,TILC-DTT-480,TILC-DTT-572,IL17-DTT-129,TILC-DTT-270,TILC-DTT-594,IL17-DTT-199,IL17-DTT-202,TILC-DTT-555,IL17-DTT-200,TILC-DTT-269,TILC-DTT-617,TILC-DTT-424,TILC-DTT-19,IL17-DTT-116,TILC-DTT-268,TILC-DTT-508,IL17-DTT-25,IL17-DTT-203,TILC-DTT-475,TILC-DTT-614,TILC-DTT-576,TILC-DTT-479,TILC-DTT-393,TILC-DTT-602,IL17-DTT-130,IL17-DTT-86,IL17-DTT-141,TILC-DTT-553,TILC-DTT-615,IL17-DTT-53,TILC-DTT-613,TILC-DTT-644,TILC-DTT-448,IL17-DTT-117,TILC-DTT-391,TILC-DTT-295,IL17-DTT-115,TILC-DTT-557,IL17-DTT-89,TILC-DTT-450,TILC-DTT-505,TILC-DTT-426,TILC-DTT-20,IL17-DTT-220,IL17-DTT-105,IL17-DTT-222,IL17-DTT-221,IL17-DTT-49,IL17-DTT-51,TILC-DTT-589,TILC-DTT-592,IL17-DTT-131,IL17-DTT-139,TILC-DTT-354,TILC-DTT-575,TILC-DTT-445,TILC-DTT-350,TILC-DTT-351,TILC-DTT-267,IL17-DTT-88,TILC-DTT-21,IL17-DTT-189,TILC-DTT-509,TILC-DTT-605,TILC-DTT-384,TILC-DTT-297,TILC-DTT-591,IL17-DTT-87,IL17-DTT-120,TILC-DTT-606,IL17-DTT-140,TILC-DTT-380,TILC-DTT-593,TILC-DTT-423,TILC-DTT-22,TILC-DTT-574,TILC-DTT-573,TILC-DTT-382,TILC-DTT-383,IL17-DTT-119,IL17-DTT-30,TILC-DTT-349,TILC-DTT-299,TILC-DTT-643,TILC-DTT-601,IL17-DTT-128,TILC-DTT-477,IL17-DTT-217,IL17-DTT-127,IL17-DTT-118,TILC-DTT-507,IL17-DTT-50,TILC-DTT-298,IL17-DTT-106,IL17-DTT-103
4b1bf8fe8218ca009042cc3beafc3e45,531.0,68760.0,398.0,127.0,48.0,250.0,139019.0,302.0,60936.0,76.0,12.0,42465.0,52816.0,63116.0,402.0,38921.0,99147.0,5.0,19.0,109108.0,211.0,143882.0,52022.0,90928.0,92451.0,978.0,5730.0,5.0,39.0,144387.0,24681.0,2669.0,58489.0,88842.0,937.0,70694.0,428.0,1939.0,140.0,25910.0,1299.0,111432.0,1202.0,380.0,316.0,58691.0,35665.0,29.0,294.0,59403.0,16186.0,76584.0,81434.0,195.0,28344.0,61417.0,62250.0,22.0,105379.0,172.0,23.0,66636.0,32152.0,63502.0,543.0,3.0,77494.0,130723.0,162.0,46692.0,554.0,210.0,47847.0,73118.0,15331.0,958.0,51.0,12.0,39.0,4019.0,666.0,16398.0,3317.0,348.0,64207.0,5.0,108.0,4162.0,175.0,54805.0,160.0,81059.0,1238.0,48518.0,233.0,32477.0,6.0,812.0,959.0,70.0,88.0,543.0,120684.0,269.0,47.0,68862.0,86498.0,8926.0,907.0,2872.0,695.0,84368.0,96.0,5.0,77026.0,86550.0,82490.0,795.0,1116.0,51.0,4.0,36676.0,9.0,1222.0,111165.0,317.0,69243.0,103523.0,610.0,79146.0,78566.0,61.0,490.0,2580.0,69685.0,575.0,3993.0,23.0,1377.0,7.0,433.0,759.0,798.0,25.0,86504.0,4057.0,10.0
b0d5a4ec8e74ac4c6cb4ecb9406183d8,1671.0,422.0,913.0,114.0,1751.0,173.0,1211.0,420.0,1701.0,33.0,71.0,590.0,2109.0,200.0,281.0,1286.0,685.0,2254.0,1448.0,1652.0,10637.0,299.0,20.0,760.0,375.0,378.0,455.0,865.0,3510.0,1395.0,0.0,496.0,241.0,709.0,785.0,201.0,399.0,2820.0,253.0,525.0,854.0,344.0,405.0,925.0,476.0,193.0,92.0,1201.0,103.0,174.0,1836.0,2738.0,386.0,556.0,8648.0,69.0,1781.0,984.0,170.0,164.0,857.0,103.0,39.0,1296.0,6019.0,2782.0,1251.0,386.0,336.0,4034.0,260.0,140.0,1377.0,99.0,1989.0,126.0,7939.0,533.0,1709.0,1433.0,230.0,1310.0,631.0,435.0,167.0,2924.0,375.0,371.0,4254.0,1231.0,3793.0,99.0,327.0,1511.0,728.0,11003.0,1330.0,4267.0,2666.0,1762.0,1917.0,2815.0,218.0,6621.0,1178.0,1791.0,603.0,1129.0,1421.0,2575.0,131.0,913.0,591.0,327.0,284.0,544.0,124.0,73.0,4913.0,1505.0,1698.0,728.0,1020.0,88.0,1095.0,167.0,4330.0,204.0,214.0,228.0,167.0,4055.0,5629.0,1443.0,445.0,2405.0,212.0,3000.0,414.0,239.0,2788.0,6403.0,108.0,1160.0,107.0,4967.0,823.0
f03dffd2e63efb9a0dbc61f7ffa6fe0a,5208.0,632.0,6004.0,2251.0,3421.0,486.0,25.0,2022.0,1055.0,428.0,2068.0,955.0,120.0,528.0,4432.0,8736.0,1500.0,3628.0,14948.0,3425.0,9378.0,4648.0,4.0,2.0,983.0,2201.0,876.0,7039.0,12107.0,2831.0,0.0,4001.0,4753.0,2.0,1980.0,586.0,8582.0,25571.0,5904.0,4522.0,3595.0,114.0,8413.0,814.0,4972.0,1328.0,1815.0,2087.0,201.0,291.0,4774.0,51.0,674.0,2981.0,12242.0,2401.0,2276.0,3051.0,97.0,302.0,3528.0,837.0,49.0,162.0,6867.0,4754.0,385.0,143.0,12273.0,2.0,4372.0,2095.0,8506.0,77.0,821.0,9386.0,6887.0,6127.0,9709.0,6496.0,2853.0,2042.0,5881.0,5299.0,638.0,6231.0,1757.0,3913.0,4511.0,11410.0,2894.0,763.0,1693.0,2417.0,775.0,4384.0,8570.0,3011.0,2961.0,10081.0,9328.0,10721.0,13.0,12373.0,14726.0,15.0,3932.0,5630.0,236.0,475.0,122.0,4083.0,108.0,3781.0,920.0,4662.0,18.0,180.0,10636.0,5699.0,18542.0,10570.0,11953.0,970.0,882.0,118.0,2046.0,1335.0,301.0,9.0,9.0,13699.0,216.0,1320.0,22.0,4684.0,14156.0,4352.0,195.0,404.0,2077.0,6991.0,217.0,11523.0,936.0,2892.0,3100.0
df45ff114fca650e2150e761e33d947f,1594.0,150.0,721.0,744.0,1837.0,0.0,0.0,736.0,772.0,326.0,1853.0,370.0,64.0,254.0,409.0,720.0,356.0,2958.0,1505.0,566.0,2090.0,1126.0,3.0,2.0,221.0,500.0,227.0,1562.0,2015.0,282.0,0.0,1902.0,917.0,3.0,477.0,269.0,1634.0,3657.0,1174.0,1307.0,631.0,38.0,2154.0,462.0,1015.0,381.0,0.0,1489.0,99.0,58.0,1341.0,0.0,180.0,555.0,3524.0,699.0,362.0,1186.0,49.0,65.0,2069.0,325.0,12.0,14.0,1204.0,1415.0,71.0,91.0,1623.0,39.0,439.0,720.0,1269.0,41.0,623.0,2612.0,1387.0,1114.0,2209.0,876.0,1198.0,504.0,1780.0,1603.0,160.0,1546.0,224.0,712.0,1132.0,840.0,687.0,192.0,377.0,634.0,213.0,1587.0,1103.0,989.0,1497.0,1395.0,1657.0,2620.0,21.0,3720.0,3033.0,3.0,733.0,966.0,579.0,461.0,25.0,1392.0,56.0,2136.0,249.0,1401.0,5.0,65.0,2495.0,1377.0,2424.0,1790.0,3810.0,288.0,201.0,37.0,487.0,270.0,78.0,0.0,0.0,3007.0,0.0,1835.0,53.0,665.0,2948.0,632.0,81.0,207.0,152.0,2699.0,125.0,1516.0,330.0,1177.0,691.0
2e1a0c95b8b627148e4efc1a2e2124d3,4989.0,486.0,4373.0,2574.0,6832.0,276.0,30.0,2056.0,3161.0,2954.0,10114.0,5595.0,1165.0,2232.0,2088.0,8153.0,4461.0,29420.0,16309.0,4510.0,30261.0,7638.0,0.0,4.0,771.0,1339.0,1748.0,22031.0,24977.0,4258.0,160.0,10579.0,7403.0,7.0,2998.0,1112.0,12628.0,34783.0,12792.0,15724.0,2306.0,106.0,5191.0,5340.0,13231.0,418.0,3363.0,15376.0,353.0,156.0,9571.0,167.0,818.0,5843.0,23181.0,1983.0,1844.0,4675.0,127.0,253.0,7701.0,450.0,161.0,97.0,12140.0,8170.0,475.0,427.0,13254.0,586.0,2331.0,9631.0,11651.0,50.0,6111.0,7508.0,12238.0,13268.0,16014.0,5526.0,14393.0,2782.0,23506.0,14447.0,224.0,9769.0,2153.0,3934.0,7222.0,11125.0,7847.0,205.0,2321.0,2728.0,2055.0,15306.0,14197.0,9184.0,13696.0,21417.0,25819.0,10704.0,17.0,23846.0,21714.0,28.0,4456.0,3615.0,1381.0,1403.0,75.0,5933.0,400.0,11737.0,3486.0,5528.0,15.0,232.0,6188.0,14009.0,16133.0,7667.0,32661.0,1432.0,1337.0,193.0,4694.0,1224.0,343.0,5.0,10.0,36361.0,257.0,5790.0,16.0,5129.0,7411.0,6074.0,393.0,1599.0,2835.0,16371.0,732.0,27255.0,253.0,4799.0,6005.0
9b7049743d73cc2d4831205504518215,1621.0,323.0,2625.0,489.0,1494.0,14.0,4.0,1868.0,137.0,556.0,728.0,543.0,89.0,770.0,720.0,2505.0,1245.0,2172.0,2010.0,717.0,2967.0,1206.0,0.0,2.0,287.0,513.0,751.0,954.0,1558.0,681.0,0.0,2824.0,1242.0,2.0,1445.0,270.0,2851.0,5705.0,1277.0,3769.0,860.0,12.0,3286.0,845.0,954.0,864.0,93.0,1498.0,173.0,65.0,2842.0,36.0,243.0,1039.0,1417.0,464.0,605.0,1006.0,45.0,185.0,1510.0,81.0,22.0,80.0,1611.0,1419.0,26.0,99.0,2118.0,164.0,783.0,1367.0,1611.0,70.0,1057.0,3344.0,1357.0,1102.0,2125.0,2429.0,2761.0,1241.0,4063.0,2519.0,188.0,1693.0,411.0,758.0,1367.0,1064.0,687.0,346.0,1007.0,1536.0,313.0,1901.0,753.0,1494.0,1470.0,1507.0,1517.0,2762.0,14.0,1788.0,3350.0,11.0,516.0,2033.0,347.0,399.0,34.0,1301.0,95.0,835.0,288.0,1013.0,18.0,54.0,2607.0,1141.0,4315.0,3254.0,3128.0,416.0,155.0,87.0,361.0,252.0,116.0,0.0,0.0,4114.0,26.0,1404.0,30.0,11630.0,4259.0,712.0,183.0,258.0,221.0,1693.0,341.0,1514.0,236.0,460.0,526.0
7d1e0ce268d40f6d52cffecca53434ea,1354.0,422.0,984.0,910.0,2449.0,218.0,0.0,1534.0,796.0,397.0,2624.0,941.0,215.0,897.0,1200.0,2754.0,501.0,7303.0,4727.0,1014.0,8270.0,1745.0,0.0,4.0,354.0,523.0,726.0,3478.0,4691.0,819.0,0.0,4880.0,3987.0,5.0,996.0,518.0,3528.0,9659.0,2671.0,3849.0,700.0,23.0,2816.0,1009.0,2569.0,627.0,438.0,4372.0,150.0,78.0,1481.0,0.0,664.0,1645.0,4499.0,1072.0,1155.0,1718.0,19.0,68.0,2726.0,261.0,29.0,49.0,1643.0,2101.0,171.0,179.0,2146.0,0.0,1259.0,1678.0,4800.0,35.0,1263.0,4205.0,2107.0,2544.0,4370.0,1137.0,2704.0,1132.0,4801.0,2598.0,388.0,2541.0,534.0,1772.0,1519.0,6329.0,1540.0,426.0,607.0,1928.0,242.0,3530.0,2314.0,3557.0,4164.0,3732.0,4584.0,2439.0,5.0,7793.0,6960.0,8.0,1917.0,2234.0,312.0,523.0,24.0,2148.0,55.0,3120.0,1136.0,4048.0,11.0,84.0,1592.0,3249.0,5540.0,5979.0,7545.0,791.0,888.0,79.0,270.0,379.0,114.0,0.0,2.0,11643.0,0.0,1960.0,4.0,1132.0,4006.0,945.0,166.0,459.0,329.0,3463.0,115.0,5165.0,106.0,1130.0,1116.0
3b482b3f9da81db80a221a66031aa159,1217.0,137.0,694.0,443.0,796.0,51.0,4.0,923.0,433.0,197.0,788.0,257.0,63.0,350.0,345.0,898.0,738.0,1928.0,1818.0,400.0,2064.0,1120.0,7.0,2.0,153.0,133.0,335.0,1351.0,1404.0,547.0,0.0,1542.0,481.0,4.0,540.0,159.0,1796.0,4747.0,1874.0,3045.0,226.0,2.0,1588.0,428.0,1838.0,371.0,0.0,1322.0,79.0,42.0,2025.0,0.0,147.0,693.0,2164.0,254.0,304.0,551.0,33.0,69.0,863.0,83.0,37.0,39.0,960.0,958.0,26.0,42.0,1495.0,9.0,390.0,1465.0,1433.0,31.0,622.0,1848.0,1222.0,1105.0,2870.0,758.0,2406.0,443.0,3248.0,2192.0,153.0,1271.0,285.0,539.0,854.0,998.0,560.0,194.0,313.0,712.0,153.0,918.0,1060.0,1205.0,813.0,1437.0,1722.0,1770.0,9.0,1934.0,3890.0,4.0,482.0,756.0,349.0,303.0,14.0,1043.0,31.0,883.0,213.0,914.0,5.0,40.0,1649.0,1246.0,2079.0,1589.0,4829.0,248.0,88.0,29.0,395.0,210.0,83.0,2.0,3.0,2239.0,7.0,937.0,102.0,1021.0,2188.0,710.0,78.0,177.0,816.0,1092.0,66.0,1573.0,134.0,880.0,519.0
42e858067b53775bf5ea544c85671999,0.0,0.0,3.0,0.0,11.0,0.0,558.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,6.0,0.0,0.0,20.0,2.0,2.0,6.0,0.0,0.0,5.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,3.0,0.0,35.0,6.0,0.0,101.0,16.0,0.0,3.0,0.0,0.0,43.0,2001.0,11.0,0.0,6.0,0.0,14.0,4.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,58.0,236.0,2.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,32.0,9.0,0.0,28.0,0.0,9.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,4.0,32.0,0.0,0.0,100.0,5.0,72.0,3.0,0.0,0.0,0.0,26.0,92.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,247.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,6.0,2.0,24.0,721.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,100.0,7.0
54f3fa8080e96ee8c48b77627ac0ae3a,7.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,55.0,6.0,175.0,11.0,16.0,3.0,0.0,21.0,0.0,222.0,6.0,95.0,0.0,0.0,0.0,690.0,117.0,0.0,0.0,26.0,1439.0,0.0,0.0,0.0,40.0,75.0,0.0,0.0,94.0,0.0,2.0,77.0,0.0,62.0,515.0,0.0,2.0,0.0,2.0,79.0,0.0,0.0,3.0,0.0,0.0,72.0,0.0,0.0,37.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,33.0,309.0,5.0,53.0,0.0,0.0,0.0,0.0,118.0,0.0,3.0,341.0,0.0,14.0,284.0,345.0,0.0,0.0,3.0,0.0,0.0,331.0,9.0,27.0,149.0,30.0,1907.0,0.0,48.0,0.0,5.0,771.0,19.0,1254.0,754.0,0.0,2.0,0.0,0.0,0.0,208.0,548.0,128.0,66.0,46.0,95.0,0.0,6.0,0.0,653.0,49.0,1091.0,120.0,0.0,0.0,7.0,616.0,1352.0,174.0,3.0,0.0,0.0,66.0,54.0,9.0,9.0,22.0,1376.0,0.0,151.0,0.0,582.0,713.0,0.0,0.0,34.0,18.0,9680.0,6.0,7.0,2.0,356.0,75.0
