	TL1a_DTT_169_Re_extracted	TL1a_FP_205	TL1a_DTT_139	TL1a_FP_73	TL1a_FP_139	TL1a_DTT_241	TL1a_DTT_205	TL1a_DTT_73	TL1a_DTT_97	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_685	TL1A_FP_637
TL1a_DTT_169_Re_extracted	0.0	3.3357395678387105	3.8543565718048067	3.810280736618089	3.8689865203942637	2.839322721947345	5.004306347667126	3.7505844970565145	3.997934968381108	3.447987681259036	4.536178592494316	3.2811917496144165	3.539651186501359	3.218364304354329	2.95493460893572
TL1a_FP_205	3.3357395678387105	0.0	1.4007199078852388	1.6996557375550485	1.6228520357893201	0.5976825787834102	2.1714252528285294	1.452636116853879	1.5745711519107455	1.2749375494658233	2.037765383255039	0.5420922567325919	1.74708861314374	2.130727551558537	1.870619879342435
TL1a_DTT_139	3.8543565718048067	1.4007199078852388	0.0	0.41642520878475375	0.2646282160449406	1.8480059989349709	3.2369755118855124	0.16551494434323505	0.25959538471552696	0.4116688836768033	0.7627127839695762	0.9195312888471454	0.6249152407846847	1.2364668227755948	1.1889736754782008
TL1a_FP_73	3.810280736618089	1.6996557375550485	0.41642520878475375	0.0	0.17298339497527948	2.0753029251334216	3.5807974435519005	0.2876193163747158	0.32571183931433034	0.5290086524196325	0.7414951551052288	1.1784195598386582	0.35563520588196124	0.9146063829566102	0.9610723698776437
TL1a_FP_139	3.8689865203942637	1.6228520357893201	0.2646282160449406	0.17298339497527948	0.0	2.032222980023176	3.4782407673042974	0.17744105500591584	0.22298527310310326	0.4823730852003087	0.6834686616133057	1.1152890638190167	0.4454453456265011	1.049960426833908	1.0671952888690723
TL1a_DTT_241	2.839322721947345	0.5976825787834102	1.8480059989349709	2.0753029251334216	2.032222980023176	0.0	2.3364668003835907	1.8587401938240469	2.021943072562663	1.6172493241352126	2.530548450792636	0.9292891342795158	2.045386553810269	2.2854809986793736	1.9781632815820218
TL1a_DTT_205	5.004306347667126	2.1714252528285294	3.2369755118855124	3.5807974435519005	3.4782407673042974	2.3364668003835907	0.0	3.348888026447487	3.3318298440995675	3.3020533477459497	3.5545115734319594	2.6467508558328077	3.7558695538442244	4.2136676451848	3.9951740874833805
TL1a_DTT_73	3.7505844970565145	1.452636116853879	0.16551494434323505	0.2876193163747158	0.17744105500591584	1.8587401938240469	3.348888026447487	0.0	0.28263434028067735	0.3260179088963984	0.8139359481438919	0.9415444223026244	0.46669591187203696	1.0723046868327677	1.0318594442531168
TL1a_DTT_97	3.997934968381108	1.5745711519107455	0.25959538471552696	0.32571183931433034	0.22298527310310326	2.021943072562663	3.3318298440995675	0.28263434028067735	0.0	0.5992649084862286	0.5565160526359745	1.0999164787839122	0.652277788622957	1.2342860612685587	1.2462958013778926
TL1a_FP_169	3.447987681259036	1.2749375494658233	0.4116688836768033	0.5290086524196325	0.4823730852003087	1.6172493241352126	3.3020533477459497	0.3260179088963984	0.5992649084862286	0.0	1.13927515115789	0.7418268895697053	0.48781490290583773	1.0059429463795144	0.8658463995534649
TL1a_FP_61	4.536178592494316	2.037765383255039	0.7627127839695762	0.7414951551052288	0.6834686616133057	2.530548450792636	3.5545115734319594	0.8139359481438919	0.5565160526359745	1.13927515115789	0.0	1.6140617367476102	1.068770628198261	1.5932194775491897	1.6949142724304789
TL1a_FP_241	3.2811917496144165	0.5420922567325919	0.9195312888471454	1.1784195598386582	1.1152890638190167	0.9292891342795158	2.6467508558328077	0.9415444223026244	1.0999164787839122	0.7418268895697053	1.6140617367476102	0.0	1.206296213162281	1.603949949372131	1.3645021782294569
TL1a_FP_97	3.539651186501359	1.74708861314374	0.6249152407846847	0.35563520588196124	0.4454453456265011	2.045386553810269	3.7558695538442244	0.46669591187203696	0.652277788622957	0.48781490290583773	1.068770628198261	1.206296213162281	0.0	0.6244858202247924	0.6491819575952029
TL1A_FP_685	3.218364304354329	2.130727551558537	1.2364668227755948	0.9146063829566102	1.049960426833908	2.2854809986793736	4.2136676451848	1.0723046868327677	1.2342860612685587	1.0059429463795144	1.5932194775491897	1.603949949372131	0.6244858202247924	0.0	0.34388044233014087
TL1A_FP_637	2.95493460893572	1.870619879342435	1.1889736754782008	0.9610723698776437	1.0671952888690723	1.9781632815820218	3.9951740874833805	1.0318594442531168	1.2462958013778926	0.8658463995534649	1.6949142724304789	1.3645021782294569	0.6491819575952029	0.34388044233014087	0.0
