index,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacterota
Ileum,30666.0,14818.0,809.0,8.0,3226.0,1019.0,50.0,77.0
Proximal_Colon,27381.0,12882.0,229.0,25.0,866.0,273.0,34.0,444.0
Jejunum,34895.0,18352.0,1001.0,222.0,4086.0,1388.0,470.0,81.0
Distal_Colon,29915.0,10821.0,240.0,136.0,666.0,264.0,49.0,1745.0
Cecum,25999.0,16790.0,393.0,265.0,1016.0,643.0,17.0,469.0
Duodenum,32387.0,12804.0,1675.0,210.0,5049.0,1475.0,1278.0,33.0
