OTU.ID,TL1a_DTT_268_Repeat,TL1a_DTT_269_Repeat,TL1a_DTT_127_Repeat,TL1a_DTT_157_Repeat,TL1a_DTT_130_Repeat,TL1a_DTT_196_Repeat,TL1a_DTT_90_Repeat,TL1a_DTT_198_Repeat,TL1a_DTT_88_Repeat,TL1a_DTT_89_Re_extracted,TL1a_DTT_197_Repeat,TL1a_DTT_270_Repeat,TL1a_DTT_284,TL1a_DTT_231,TL1a_DTT_267,TL1a_DTT_160,TL1a_DTT_234,TL1a_DTT_158,TL1a_DTT_129,TL1a_DTT_265,TL1a_DTT_285,TL1a_DTT_159,TL1a_DTT_287,TL1a_DTT_233,TL1a_DTT_195,TL1a_DTT_85,TL1a_DTT_86,TL1a_DTT_193,TL1a_DTT_286,TL1a_DTT_230,TL1a_DTT_128,TL1a_DTT_283,TL1a_DTT_194,TL1a_DTT_229,TL1a_DTT_87,TL1a_DTT_266,TL1a_DTT_232,TL1A_DTT_673,TL1A_DTT_675,TL1A_DTT_626,TL1A_DTT_629,TL1A_DTT_674,TL1A_DTT_627,TL1A_DTT_630,TL1A_DTT_628,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,27,0,12,0,0,12,0,0,0,28,0,0,1,7,0,7,1,0,3,0,49,0,34,8,0,9,0,1,40,0,0,52,11,0,18,43,28,0,0,3,0,0,2,0,13,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,17,1,0,0,2,56,0,0,0,3,15,56,1,1,10,4,6,0,4,3,22,0,21,0,1,0,0,2,11,0,0,5,12,0,9,4,8,0,0,0,0,2,0,0,4,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,632,31,12238,8879,203,198,571,1901,218,10599,176,1442,1174,10998,12053,11988,552,3265,6587,1074,7660,14405,499,234,7159,6538,3117,17653,5211,1920,6780,5481,14657,35434,6396,7825,44,3926,631,692,18572,601,419,8790,2004,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,27,0,402,211,16,0,9,103,0,2,10,41,50,0,210,80,0,17,313,65,77,105,80,0,18,197,98,19,98,0,269,140,16,47,367,43,0,29,95,72,100,56,151,66,68,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,19780,5904,7257,2122,19284,40586,2527,21011,2181,5947,8406,27165,5785,5443,11380,6572,30937,484,5958,1543,17124,2832,4773,40236,8476,20460,13690,14449,8171,6179,7058,28195,21637,839,12460,6408,26549,1746,8410,5952,50,5942,2787,2021,6007,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,113,114,107,67,110,180,97,134,66,100,52,68,91,55,39,614,12,53,47,4,306,99,26,22,41,121,199,54,49,11,47,568,135,3,113,363,31,21,73,0,1,38,0,5,6,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,12,0,1723,2766,148,24,425,0,369,672,61,272,6547,488,2370,3182,3,1286,1127,415,14100,4529,588,36,1461,9151,6458,2675,66,275,1089,8773,3672,54,11588,2069,1,116,215,163,0,175,34,0,43,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,0,0,10,135,0,0,43,0,0,0,0,7,0,0,0,263,0,25,0,48,0,226,0,0,0,51,6,16,0,0,0,0,0,4735,0,785,0,493,0,29,5740,4,23,1925,509,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,0,0,0,48,34,0,29,0,0,0,5,0,0,1,0,0,0,0,0,0,8,0,316,193,0,3,48,0,0,10,0,216,17,1,10,8,44,0,6,28,6,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,14,271,1431,484,28,11,134,0,30,362,0,193,252,456,1082,228,122,100,717,620,77,373,227,149,273,1896,926,260,618,786,556,606,441,418,3005,355,32,116,113,299,905,98,185,398,282,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,0,0,0,0,0,24,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,14,19,0,96,106,0,0,16,0,0,0,0,214,0,0,0,20,15,1,22,44,16,23,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,45,1,2112,1830,38,4,0,376,17,353,26,2024,22,113,6125,880,31,245,1185,1194,1335,3275,0,398,103,0,0,900,1768,284,1005,1744,1234,186,0,723,1,0,0,0,0,0,0,47,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,23,0,19,0,0,0,7,0,14,410,0,4,24,20,102,38,0,4,8,52,134,58,0,0,15,189,66,76,6,3,0,68,76,1173,188,400,0,547,29,62,3805,23,73,947,252,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,58,3,29,62,25,17,18,0,47,419,0,0,0,0,0,0,1,0,0,26,0,0,14,19,0,45,0,1,0,0,0,7,0,0,30,0,0,72,3,0,0,4,0,16,96,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,7289,1100,214,100,5540,5272,21,665,102,399,574,9699,77,36,1077,103,2199,14,315,431,1047,94,503,8996,1107,294,66,221,4519,234,262,1730,1392,6,291,72,72573,43,3,5,0,7,2,10,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,17,13,0,0,0,4,0,26,0,0,0,7,1,39,0,0,4,8,26,6,6,0,0,3,10,10,1,0,5,0,18,15,0,5,16,1,0,6,14,0,11,50,0,26,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,4,7,0,0,0,0,0,0,0,0,6,11,0,3,4,0,0,0,18,44,3,0,4,0,3,27,0,5,11,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,4680,6952,33,1060,12,11,9,79,1486,40,5,558,52,4,47,4,2,12,4,70,5309,88,4254,36,2,53,3,4,6765,6,8,35,5,17,77,8,2,28,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,76,78,26,0,402,0,0,0,0,23,0,427,0,6,84,3,205,0,44,0,6,0,0,106,7,64,0,0,7,3,11,0,7,0,0,0,96,0,0,0,1,0,0,16,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,51,0,1100,234,77,11,153,264,42,112,9,222,2082,2042,621,163,103,82,1896,173,503,317,77,490,306,1606,1448,217,211,1202,1653,532,304,159,5329,97,16,24,26,85,0,32,343,8,45,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0,2,0,0,7,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,9,11,37,61,0,6,61,0,1,38,0,30,44,29,119,47,7,19,91,52,50,118,0,17,20,36,8,14,10,22,20,52,9,25,68,50,2,4,3,10,10,21,29,20,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,0,45,0,0,0,0,0,0,0,0,0,139,237,83,0,1,0,49,0,60,0,52,7,0,0,0,3,5,131,66,97,14,47,0,72,1,13,10,17,4,12,191,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,196,472,3047,2598,215,111,470,1474,384,379,248,2400,4750,3013,5140,1249,1098,1377,4004,1754,3274,2513,335,601,4927,806,862,2015,1325,1429,2838,4140,1380,552,1945,2403,106,123,159,197,94,227,526,151,349,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,34,15,688,189,0,7,9,298,15,343,66,374,3619,1484,855,62,42,81,1103,255,1656,234,175,107,1559,0,3,437,141,303,820,1947,168,93,41,317,13,52,90,52,1,161,115,58,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,6,0,8,123,0,0,0,0,0,214,0,14,0,112,0,23,81,0,0,0,0,2,0,0,0,9,0,3,0,0,0,8,0,305,2,51,5,32,0,0,56,0,0,86,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella,0,0,0,0,0,0,0,0,0,105,0,6,0,21,0,0,64,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,0,12,0,17,0,0,0,0,0,9,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,12,0,86,216,0,0,13,170,69,67,3,84,1766,26,305,63,102,39,62,94,600,131,54,76,38,134,238,40,110,16,36,316,54,59,272,122,0,21,29,5,4,12,134,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,15,0,0,13,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,362,30,394,706,657,68,100,413,205,583,196,993,2952,925,1980,501,448,452,768,960,1667,631,221,475,709,181,194,545,156,1033,700,1110,266,1614,495,1416,58,189,65,85,179,151,308,185,130,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,23,0,153,311,20,7,12,296,8,28,86,133,1167,33,399,127,0,174,155,413,734,173,42,0,5226,45,32,1918,26,31,101,1199,1129,16,96,116,0,4,1,19,0,0,12,0,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,0,0,0,18,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,899,248,7159,1483,746,244,6718,8755,5213,432,90,20345,59241,94636,83477,1459,972,2002,8369,6661,3860,1864,2983,4309,96396,21723,42401,12623,1891,10765,6088,4710,4648,2684,41069,11473,425,2264,4245,5078,3494,3702,10694,1580,1514,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,326,314,11,0,0,0,0,0,0,38,0,3614,33111,0,13146,0,4,0,2,1338,581,0,375,0,1,0,0,0,27,0,9,360,0,39,0,3374,0,0,5,0,0,5,4,35,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,52,0,52,149,2,0,41,67,0,25,3,387,1143,322,622,104,14,151,89,170,584,346,48,61,174,51,63,52,35,397,6,175,57,18,49,323,8,3,21,18,0,22,40,12,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,0,641,163,25,15,43,185,63,0,18,18,2,15,17,49,9,61,599,3,0,54,0,0,583,16,46,196,9,12,626,14,118,0,134,7,0,0,1,0,0,3,0,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,18,32,0,0,4,0,0,0,0,0,8,7,17,0,0,6,18,0,25,14,0,0,9,19,2,0,4,3,18,3,0,0,0,7,0,7,2,2,0,6,12,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,1,0,0,3,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,55,1867,351,0,115,3,0,0,0,774,0,454,176,286,355,0,239,0,340,96,83,0,72,416,0,0,0,0,47,412,303,54,19,27,0,175,154,4,0,0,0,0,5,0,29,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,11,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,100,75,3,0,0,39,0,7,12,84,373,45,221,13,0,29,200,61,62,38,26,0,12,0,0,13,18,22,187,60,5,0,0,143,0,3,3,1,0,0,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,0,157,87,0,3,0,0,32,34,0,37,272,72,120,55,0,33,81,2,237,53,36,10,26,6,8,40,16,13,88,132,30,203,21,109,0,59,8,33,0,25,80,14,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,7,0,0,4,0,0,8,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,0,121,73,0,8,0,96,0,0,4,0,133,0,93,32,0,56,56,30,74,41,0,0,158,45,70,106,23,0,69,93,56,0,43,114,0,13,17,31,0,40,50,6,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,71,0,9,3,9,0,14,0,0,0,0,0,0,0,0,82,0,4,0,0,0,2,0,0,0,13,0,0,0,3,0,0,0,103,0,21,31,30,0,0,0,3,0,6,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,32,96,639,336,14,7,55,60,111,52,9,165,625,117,668,40,6,38,707,135,275,128,0,87,539,144,110,77,91,180,1046,400,202,73,393,136,2,17,108,38,0,209,169,19,23,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,16,0,2,64,0,0,0,0,7,7,0,0,13,4,14,60,16,31,14,16,36,43,14,6,88,0,7,15,3,6,0,11,87,6,6,15,0,18,0,3,39,0,16,14,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,0,55,0,0,0,0,0,12,0,0,0,17,54,8,2,8,0,45,0,29,0,0,1,0,0,4,0,26,0,0,8,0,0,36,0,0,3,3,0,8,0,0,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,0,65,0,13,0,7,0,4,0,0,55,31,32,27,2,31,0,9,65,22,0,0,35,0,0,3,6,18,0,75,23,0,0,2,1,0,4,6,0,0,28,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,0,0,0,14,0,0,0,0,0,135,0,0,0,6,0,13,3,0,0,0,0,12,0,0,0,0,0,79,0,0,0,0,0,357,0,85,0,40,0,0,0,0,0,16,20,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,0,0,0,0,0,0,0,27,0,0,0,16,0,0,8,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,39,0,11,0,0,0,0,17,0,0,3,2,
