	TILCDTT841	TILCDTT735	TILCDTT848	TILCDTT734	TILCDTT807	TILCDTT771	TILCDTT590	TILCDTT554	TILCDTT296	TILCDTT446	TILCDTT506	TILCDTT476	TILCDTT265	TILCDTT421	TILCDTT379	TILCDTT422	TILCDTT571	TILCDTT266	TILCDTT603	TILCDTT392	TILCDTT381	TILCDTT645	TILCDTT572	TILCDTT555	TILCDTT19	TILCDTT475	TILCDTT614	TILCDTT393	TILCDTT602	TILCDTT553	TILCDTT615	TILCDTT613	TILCDTT644	TILCDTT391	TILCDTT295	TILCDTT505	TILCDTT20	TILCDTT589	TILCDTT445	TILCDTT350	TILCDTT351	TILCDTT267	TILCDTT21	TILCDTT591	TILCDTT380	TILCDTT573	TILCDTT349	TILCDTT643	TILCDTT601	TILCDTT477	TILCDTT507	TILCIL22DTT961	TILCIL22DTT1004	TILCIL22DTT937	TILCIL22DTT962	TILCIL22DTT914	TILCIL22DTT933	TILCIL22DTT1083	TILCIL22DTT1040	TILCIL22DTT1081	TILCIL22DTT932	TILCIL22DTT1039	TILCIL22DTT979	TILCIL22DTT980	TILCIL22DTT1010	TILCIL22DTT1046	TILCIL22DTT1045	TILCIL22DTT1082	TILCIL22DTT1003	TILCIL22DTT1077	TILCIL22DTT1005	TILCIL22DTT1009	TILCIL22DTT931	TILCIL22DTT1076	TILCIL22DTT1075	TILCIL22DTT913	TILCIL22DTT1041	TILCIL22DTT938	TILCIL22DTT1011	TILCIL22DTT963
TILCDTT841	0.0	0.3618818380526831	0.8524322996871171	0.7727766110105665	1.1863231691730578	1.2263502072431722	0.8283231612985947	0.8289113074998903	1.2833538700476694	1.2725404740248136	0.8124550623320375	1.5035433334559554	1.0346473858093619	1.0901375197181598	1.5351748441352444	0.9258613371356594	1.2185946906165666	1.3878903495998502	1.2731836070714464	2.0302804350083616	2.6322150189217433	2.31228629143662	0.6729783245605786	1.537475945577017	0.6704136159122199	1.2732410411702295	1.0758790352813008	2.7674302089240883	0.8497459460018162	1.0471572710680181	2.1025632657984428	2.4560062805454805	1.112694646061901	1.3473180053568734	1.0832316259874375	1.3806606499522813	1.356195751599107	0.5569930614064937	1.4105694663456865	2.372753440138915	2.128513522231026	2.2938381145689326	1.4943618409059487	0.9962179319408772	1.6315362765505226	2.102068238260561	1.0738963833703132	0.8832277069210599	0.8838591682691899	2.061919633076259	2.057058193742477	2.129079799880629	1.9430813959926267	1.9893536395917653	2.043410881930382	2.000822652459224	2.517500640939133	2.10470197827987	0.7703427174296692	2.012131446744674	1.1070748378189461	2.470974693843389	1.7210446209064627	1.0473580697825733	0.8697433305977662	2.7394953434530307	1.2285605175068097	0.7594286728751002	2.3753108431751566	1.4616245987894354	1.5142421101438752	1.5975093621467014	1.075805465768024	2.0198338934918145	2.3217004778313393	1.9961973941518392	1.8524922809006943	1.0482065689394637	2.1624596553002307	1.6133102463069142
TILCDTT735	0.3618818380526831	0.0	1.1268405907147132	0.4760345162891164	1.2771253987374422	1.5471292477651268	0.846442564568634	1.1690195385020528	1.4265795567254207	1.555893898032895	0.8532467199495866	1.423122093281145	1.157972340632853	1.1701777293604736	1.859750283565265	0.9158073516731289	1.5456503280284049	1.5132415693740409	1.457092618805299	2.0394946480610825	2.8375044453054596	2.6015408977935657	0.888981061568697	1.780498953356863	0.7461235597602992	1.1611185159469979	1.3844918718686698	2.9374877810882434	0.8978566926296511	1.402669395422935	2.4393833591768526	2.815364129831204	1.3813620584609907	1.683644847551522	1.4225298054612143	1.702304321418393	1.0827571478422824	0.8557845329243591	1.771916442930819	2.194992502568416	2.083973715525584	2.460758838041092	1.4982875231034956	1.209866515295476	1.7873092385213578	2.3574226599323556	1.0399001135830208	1.2147767749511296	1.241112587803267	2.1419648922023735	2.2630660843587322	2.4861603861678523	2.061015530477424	2.1391922842468407	2.3860584987722033	2.3608073715692983	2.5076039957328033	2.453685119064905	0.45369378171911784	2.262546184655819	1.0914507616705897	2.8313765426262436	1.9004201262796796	0.78292331722493	1.2185334592474029	2.5204167399841535	1.4816841688983409	1.119494727669295	2.0176345807158214	1.10039102872421	1.293153196521299	1.9482783299779614	1.0717793589212417	1.704508286197753	2.3137174899444637	2.3577752054202565	1.9840298810179795	1.03282687726345	2.4867159823162606	1.8928820964931177
TILCDTT848	0.8524322996871171	1.1268405907147132	0.0	1.5150758958268213	0.7057713051255515	1.1495691748072345	0.7343672017736949	0.3902164582371083	0.6589994160680845	0.4290766715309924	0.6797375913861265	1.3437524699228571	0.5487677419855559	0.6865030433103518	0.7870208896446346	0.8211311281041339	1.3025694516853958	0.780996167125784	0.5442641626409117	1.566832417095729	1.8038417601685972	1.4747212135832035	0.2890878300700809	0.6944586314306423	1.4180089924103578	1.246793102305679	0.3013870344163897	1.9715746232275047	0.68088125181018	0.6187176169536207	1.3786841108928005	2.061946411971206	0.26101824551118824	0.6710094434964969	0.5180891353559899	0.6234495973972827	1.686153000909576	0.3384963644378299	1.099541911506837	2.3230391678887354	1.7746673180363832	1.5140300896191394	1.1315711341102144	0.2672487450454303	0.9037097116741203	1.252275881772382	0.9564527316480378	1.0623045419671044	0.8547997009903263	1.4377232517576313	1.232381362691564	1.5528481985455485	2.5113923593244967	2.503697777715547	1.3518884398412887	1.4775771380430036	2.0588264979382958	1.4497845530909406	1.4746760476319134	2.2868783578170353	0.9718370172064316	1.9415478924820844	0.9692278392000737	1.4244132883961622	0.44279930059977823	2.76375461826159	1.605058979410329	0.6014653714814401	3.075384983627296	2.134048856862703	2.3607886658181547	0.9993870397607805	0.9393587787619592	2.825370869726846	3.0490061943274727	1.5779431877867738	1.1699956580094708	1.8381410011770085	1.3900657351959034	0.8539379576425778
TILCDTT734	0.7727766110105665	0.4760345162891164	1.5150758958268213	0.0	1.5662993108772154	1.7662781854637795	1.1311206656298027	1.5807230850532488	1.7134434072359443	1.9373583932689191	1.160895427242383	1.5411308265769983	1.4610038006019297	1.4461258795421243	2.2572253901764485	1.191460408077488	1.877384169728399	1.782703998895767	1.7813945101445885	2.21942533362397	3.154266451032774	2.973626097202763	1.2838835797728134	2.1319819543264837	0.9817705969840954	1.281829325689284	1.764997317410051	3.2339764063021876	1.1743881169257868	1.792228190632287	2.8253552007491676	3.1758226515044043	1.7661233757399184	2.081246592796522	1.7755070550988643	2.084263727379581	1.0120597975867034	1.2826005382971528	2.1310532680041647	2.164147133200437	2.2149982757612707	2.755276584882959	1.70311297962564	1.5895602573966092	2.0952289060372986	2.705211907393105	1.2306663771423598	1.5105513713222094	1.589820261061252	2.4013010924579627	2.604471572041686	2.8435726250853537	2.1753098216067035	2.2618584435029367	2.75134401462607	2.7239343188355623	2.6408643082602175	2.8352111217318714	0.11934091043919894	2.4767119193260827	1.2386858788061295	3.177373481952574	2.1839431265850173	0.785002355994702	1.6086980781922118	2.454008732098826	1.7151711275771175	1.4822668332105857	1.6848327926979785	0.8118687445603308	1.128745823832475	2.3397346799737546	1.221105124684192	1.3387034148734114	2.2697327796711924	2.6990687973637795	2.23606783897575	1.0279701130292584	2.868843108038715	2.1937753126907595
TILCDTT807	1.1863231691730578	1.2771253987374422	0.7057713051255515	1.5662993108772154	0.0	1.7443021098278961	0.45054898068493315	1.090107818936331	0.26521495548635254	0.8606353480121456	0.4320799521446981	0.6929874743394256	0.18395469534715692	0.12639844758335225	1.3081295103808037	0.44143965018353687	1.9899040050953767	0.2956607956886538	0.3866870386039081	0.8899885686842375	1.6382884898062813	1.6852355735818958	0.6075079406377134	0.8063083732098253	1.8415001115790512	0.6944396683965044	0.9187391185217226	1.6858670097823876	0.3926153359722145	1.3207978062801529	1.8477833372401968	2.7128995326855616	0.7200546360399088	1.2825092875812103	1.1675568487202466	1.165418148993444	1.2964715428319662	0.883754819003111	1.7953172150492296	1.6567929793362288	1.0721316302862653	1.2141089298234435	0.42752988552796994	0.4813118391307841	0.555186598934406	1.3247622230229328	0.4544535897713337	1.706279913701691	1.5347959676981455	0.8792273720418644	1.1002943076656153	2.1286619272963296	3.079001725305944	3.0987622610524572	1.8490302049065979	2.092598655639689	1.3928354270176766	1.9833071515117937	1.481719029413961	2.9574590274293997	0.5041649760496392	2.5244056595928317	0.7280771872457401	1.1336267988619193	1.1463037488913737	2.1106156000551834	2.2324847237153773	1.2740594973897041	2.897529991586141	1.9887980468496411	2.5595203619801516	1.6161990265197452	0.508396329643104	2.825231836491778	3.5079474749744826	2.22627192507222	0.7392139130931229	2.225719125044318	1.785995905844656	1.1251125282686454
TILCDTT771	1.2263502072431722	1.5471292477651268	1.1495691748072345	1.7662781854637795	1.7443021098278961	0.0	1.661429523637921	0.94046080330502	1.6322537625443603	1.2557350424091833	1.6336394595579113	2.259052304535622	1.5654839176497073	1.685315235339423	1.2301460654160088	1.7843691951358351	0.8562977848010641	1.738284991093941	1.5492616843520741	2.5359795207422504	2.517041075893854	1.9448056255090282	1.298462108580342	1.5313034615565273	1.4194449891702914	2.1353862897718012	1.038325998812757	2.7600614314243757	1.6010835641804355	0.7931862519642896	1.5286866679025068	1.6134624106089854	1.2563198666114905	1.0524436895605727	0.7498666797901883	1.1022078164626508	2.4077342867563676	1.130820078919325	0.7454529214698679	3.189116593412506	2.737138994422318	2.349747673938625	2.122346458816426	1.402837149412105	1.881496415351767	1.8860264547336016	1.8529652519874513	0.5921394488338644	0.6158961181866633	2.440538395542934	2.0777098487827708	1.3048238336653075	1.9787957808647667	1.8772768320727775	1.3645435165015516	1.198936033236001	2.97537520507285	1.434659626519845	1.8029675998694121	1.5463324508837155	1.7775986158358148	1.5498762139466993	1.7956222876482022	2.124100646613516	0.8216227512783155	3.6385826928335194	1.0328425048079657	0.6725178456362442	3.4408371449403674	2.5698555352049106	2.39704960626867	1.07819541924893	1.7246648674786584	2.9523697608020623	2.5748503925766686	1.0931878048486159	2.0409690648942567	1.597460922483733	1.6440426166937332	1.232259964767478
TILCDTT590	0.8283231612985947	0.846442564568634	0.7343672017736949	1.1311206656298027	0.45054898068493315	1.661429523637921	0.0	1.0442973626979386	0.6552121803365241	1.0697412533476116	0.06514229852197553	0.7138898591503148	0.39033137526742107	0.34638112837341567	1.4939575177700304	0.12667666867484997	1.8428634389949272	0.7153405765024714	0.7399783219221625	1.212332632327961	2.0798020329017723	2.033317655077915	0.4859357458993008	1.146281355075532	1.477298649864307	0.5389399324235125	1.0234947511328127	2.136243570070977	0.1061867803473331	1.3123484003598138	2.077350315022465	2.78782939771187	0.8890920715163566	1.4026949060083935	1.2122449369060855	1.3341331457338863	0.9692928867698576	0.7284430613881848	1.787889210427373	1.6588411795903557	1.3043224789645167	1.663743363506158	0.671131924826244	0.6254265430261714	0.9983285201423745	1.7088704153006198	0.28680300168289763	1.524197331380783	1.4065389579538523	1.297645683325386	1.526038382212547	2.2799665612309776	2.7660623055133526	2.807866236259672	2.058186606713021	2.209219704088048	1.7005309215476643	2.1716579354179975	1.043528390163556	2.757541841541011	0.40216531101490466	2.668828054190863	1.147592534256451	0.7430776773135201	1.1090460604278183	2.0730836102722794	1.994020189166166	1.1646877096974442	2.4878709963824894	1.5629796640488836	2.116493652290461	1.7335115815035902	0.39995048017833407	2.3817497034570874	3.12797853931195	2.2973116893414707	1.1754252775691933	1.8378011177962206	2.05537146655091	1.3872666049283187
TILCDTT554	0.8289113074998903	1.1690195385020528	0.3902164582371083	1.5807230850532488	1.090107818936331	0.94046080330502	1.0442973626979386	0.0	1.045395611620405	0.5947009387642076	0.9901965537091008	1.7069564369314283	0.9316854049525051	1.0645676058110645	0.7213735160541296	1.137495583205313	0.9240177459229749	1.16688611179717	0.9155809469731732	1.9545557360902972	2.0440750747025804	1.5508523012615192	0.5614549250463264	0.9456622820445211	1.2352877680061813	1.579595347276505	0.3742236504713711	2.2501573909443393	1.0088975203154076	0.2870797549745475	1.2814042205409497	1.761992116357122	0.5214941255118527	0.5245595741352113	0.3852008526690201	0.594854942697494	1.9374804896661415	0.3593991499133722	0.7619898452896354	2.682193996508286	2.1613220742826074	1.8167284399417931	1.5144797299934512	0.6353018635076881	1.2560425656319472	1.4282182013924227	1.297154773751066	0.7486900907869455	0.5093942166029287	1.8031768768366083	1.490244669922193	1.3546990287149179	2.1946253271191822	2.1738673174689445	1.240876985256321	1.239691507161637	2.446750081045653	1.2913694398548778	1.5660501490816245	1.9172820796392027	1.3155554372577054	1.7216287872207545	1.3002763887076814	1.6500619352494896	0.12723271921768364	3.1094770104251426	1.2713811496833445	0.30904763822867154	3.1805427891338702	2.2510982323799418	2.2762757074702984	0.7863505679258836	1.2794116287152733	2.8471329793976508	2.795669855022139	1.3009953928453202	1.5296680734273103	1.6678392762490788	1.3509573059503275	1.0002832905335095
TILCDTT296	1.2833538700476694	1.4265795567254207	0.6589994160680845	1.7134434072359443	0.26521495548635254	1.6322537625443603	0.6552121803365241	1.045395611620405	0.0	0.7062428223050087	0.6325288206817206	0.8807207701040425	0.2773279872771825	0.3257405898733939	1.1484506546764597	0.6792144430337659	1.9505100340703008	0.12244739915181967	0.19263829935222143	0.9317963758337664	1.446445770565107	1.4722750526543853	0.6695421079115219	0.5955588159291616	1.9367455754483396	0.9179271706480614	0.7961623359825032	1.5249357232208234	0.5709229958530458	1.2331960720448867	1.6548524491448846	2.562656770214663	0.6061231540090436	1.1462986380225333	1.0378864465360285	1.002116147428618	1.5237693562159813	0.91868151478627	1.6849353165549876	1.8211372675574191	1.1652587725410746	1.0448286665755395	0.5835473410777283	0.458262622679514	0.3935108609221388	1.1035144386622278	0.6656935433323284	1.6729798620933318	1.4866296221285855	0.8445635756433971	0.9196771543257996	1.9416203823129188	3.120325993337803	3.120057403866703	1.6469705773364363	1.9233347303945614	1.4086099041086706	1.798181105600614	1.6396471933776458	2.9253947826042452	0.6455672964876313	2.334140315221224	0.492638572733469	1.3554852246678748	1.079015171849914	2.2942366387898523	2.2277221602453365	1.2241447902031195	3.1155051421903535	2.200156645357548	2.7195385516041943	1.468132147980999	0.6337866155512625	3.0079391342437947	3.588189718072383	2.0667339586437197	0.5705408512313237	2.3137989994833092	1.582235463921867	0.8799736000290554
TILCDTT446	1.2725404740248136	1.555893898032895	0.4290766715309924	1.9373583932689191	0.8606353480121456	1.2557350424091833	1.0697412533476116	0.5947009387642076	0.7062428223050087	0.0	1.0162373756541419	1.5496926112431864	0.7602785983338601	0.8962524427279663	0.449812417760596	1.1334301865405936	1.4453609958062819	0.80342249431889	0.5224238454702297	1.5773321077208646	1.4502238256351638	1.0457253584868094	0.6948983393617669	0.3596163642465257	1.7957369790098519	1.5200140530679893	0.24912078276466837	1.6614715494059655	1.00298147874177	0.6646206380762897	1.010382137596352	1.8719799537717112	0.18827759629710522	0.4535467995664161	0.5150815340963079	0.3140211076312165	2.03876101192437	0.7382980687764915	1.0642174712978614	2.5109300025264134	1.8381977402926786	1.2396687028370479	1.2614137034042845	0.45889335961636746	0.7654070668890364	0.8486639305594229	1.2356667389312992	1.2870824453042322	1.040803635917266	1.3364892306375873	0.9056122161655926	1.2788146595544658	2.782077792943619	2.749816236788884	1.0090890314890961	1.2452795236467962	2.036046041954761	1.1269600969882239	1.8960931423103429	2.4331663110862736	1.2357063010381755	1.6761150690685478	0.7728003427354286	1.8007574672843139	0.6076367991894732	2.9695338924485695	1.8375691978284798	0.8280395197458985	3.4905843555098124	2.549521836711586	2.778600166295982	0.7711562530636498	1.207146325559384	3.2535458379263216	3.38344895201441	1.406536549566763	1.03400211607542	2.2179916471372447	0.9886240780965677	0.5595424890923408
