,Itg.10.DTT455.S49,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Vil1.04B.DTT43,Vil1.07B.DTT79,Vil1.06B.FP67,Lyz2.01B.DTT207.S47,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Lyz2.04B.DTT243.S84,Vil1.04B.FP43,Vil1.09B.FP106,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Lyz2.08B.FP291.S89,Vil1.06B.DTT67,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.12.DTT467.S61,Vil1.07B.FP79,Lyz2.02B.DTT219.S59,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.03B.FP231.S79,Itg.18.DTT491.S86,Itg.06.DTT431.S24,Lyz2.05B.DTT255.S96,Itg.08.FP443.S44,Lyz2.07B.DTT279.S121,Vil1.08B.FP94,Vil1.05B.DTT55,Itg.16.FP479.S81,Vil1.05B.FP55,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Itg.12.FP467.S69,Vil1.14B.FP166,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Vil1.013B.DTT151,Itg.02.FP407.S7,Itg.04.FP419.S19,Vil1.02B.DTT19,Lyz2.01B.FP207.S55,Itg.08.DTT443.S36,Vil1.13B.FP154,Vil1.03B.FP31,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.09B.DTT103,Itg.10.FP455.S57,Lyz2.03B.DTT231.S71,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Itg.04.DTT419.S11,Vil1.10B.FP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145
b3111baca54677926264de26b4a9bf7a,41,86,230,3,0,126,968,17,74,527,11,15,74,54,97,36,67,0,174,34,46,41,40,796,70,16,72,47,22,66,16,91,9,0,29,47,241,34,66,8,20,13,32,249,6,14,38,7,652,32,0,28,0,0,212,0,27,396,42,450,32,250,38,28,9,29,34,4,35,55,133,167,26,1695,128,46,60,57,25,480,104,36,115,69,69,4,350,2,154
87c1f25ee57f851893eda4c10a460604,430,198,1639,25,0,226,177,125,362,2515,62,0,508,392,1284,29,18,0,718,7,76,59,8,23,297,12,898,122,198,323,74,515,8,0,291,237,1053,167,76,0,140,162,140,597,14,125,427,83,11,289,0,208,0,0,230,0,80,432,63,0,305,0,1288,36,123,48,12,68,156,0,6,381,38,1180,988,997,1512,402,69,397,187,261,5,6,222,4581,640,19,7
e8ed0e081283c5963ce9860944f651c6,263,130,80,67,0,146,76,29,190,87,153,14,80,134,251,59,70,0,123,48,54,307,56,67,157,21,82,213,12,86,58,203,92,0,29,756,474,48,312,0,123,62,39,617,5,41,101,26,118,68,0,89,0,0,92,13,129,117,160,97,85,67,170,18,20,72,40,87,42,26,202,76,33,983,199,244,73,64,28,1195,102,110,48,48,74,218,207,68,29
b3ef12a80d40902556c2fd4de5924438,5,27,30,0,0,28,7,8,12,21,12,34,2,3,0,3,18,0,28,3,22,2,61,14,9,3,56,9,6,0,3,4,29,0,29,43,4,11,16,29,0,11,4,11,0,0,4,0,19,0,0,17,0,0,22,0,10,4,4,24,0,38,21,7,0,7,12,3,3,7,24,31,0,50,0,52,46,0,0,81,0,0,0,9,4,1,15,4,6
a30dd65fa0f17c9ffe88b70cc66d024b,4,6,4,9,0,6,0,5,0,0,15,0,2,3,5,3,4,0,5,5,6,0,8,4,7,9,4,0,3,0,0,2,11,0,3,9,3,0,8,3,3,0,9,8,0,3,7,0,0,0,0,7,0,0,0,0,4,0,8,10,0,13,4,0,0,10,13,6,6,3,8,15,0,10,0,26,20,0,0,12,0,4,0,0,0,0,24,10,2
4c8288bfbd76958c0c094d87b97650f8,413,9,9,3401,16523,12,570,0,0,900,0,0,683,642,239,114,10,15076,16,5,6,112,12,83,4,3,9,84,107,1209,6,3737,10,25282,5,32,90,662,0,44,462,226,0,4,2364,4,0,329,0,4592,84,14,18039,21515,2223,20483,0,642,0,0,964,14,295,0,16,0,668,0,0,148,339,447,0,488,5170,379,411,34,450,41549,147,0,2613,975,303,4,2,6,7
fbbeae3dceada6928b2cdc472f5d9901,0,452,0,264,50,0,55,0,0,0,2511,841,293,113,0,34,0,83,260,0,0,0,0,0,0,0,0,0,0,97,0,455,515,50,0,717,0,69,0,737,0,61,0,0,1156,0,0,32,0,827,9177,1377,166,82,1150,218,178,0,0,0,362,1668,1,7418,4,3,1,1,40,285,1,1,6,8,1679,1,1,42,5,6476,25,91,48,2,1124,50,471,1,2297
f9130f059b9380b9961aef118b3a529e,185,214,144,151,0,342,240,97,84,231,314,8,172,52,182,86,73,0,188,88,242,213,138,502,238,57,162,194,65,62,174,100,106,0,111,521,206,141,257,4,115,62,161,225,11,52,143,16,249,43,0,177,0,5,96,6,257,147,252,393,110,65,740,57,24,238,226,77,91,154,366,575,42,756,226,876,385,71,15,2585,115,96,58,127,24,196,213,252,101
f0deb5bac19f248fce27d93d918d3464,11,6,28,10,0,15,8,16,3,9,23,5,6,2,10,21,13,0,9,25,17,10,10,11,20,27,9,8,24,3,18,9,15,0,10,15,3,9,17,2,15,12,29,8,0,10,6,0,6,3,0,13,0,0,2,11,13,0,45,21,0,15,15,10,0,80,0,10,0,10,0,46,6,12,0,10,27,19,4,22,13,40,0,27,7,68,3,83,9
ad4e760fa406db6470c29766422a47d2,263,148,695,36,0,820,198,155,84,273,313,6,59,14,158,87,302,0,284,364,357,213,838,249,224,393,419,92,136,39,174,79,10,1,452,1667,107,208,332,1,103,134,519,307,21,161,838,18,1226,27,0,221,8,1,37,8,332,61,191,1017,98,60,1940,34,0,59,3749,25,50,61,1595,1537,24,1682,791,6109,1918,10,0,3706,67,44,218,948,10,375,6,44,63
