,metadata,feature,value,coef,stderr,N,N.not.0,pval,qval,Site
1,Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,3.458342044,0.480328979,86,57,3.27E-10,1.10E-07,Duodenum
2,Type,c42634f8d1aad4956aa9638465e86565,Mucosal,-1.228407644,0.154437688,86,86,9.58E-10,1.61E-07,Duodenum
3,Type,b3ef12a80d40902556c2fd4de5924438,Mucosal,-1.306519689,0.193789307,86,29,3.08E-08,2.59E-06,Duodenum
4,Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-1.1624076,0.174087168,86,56,4.39E-08,2.95E-06,Duodenum
5,Type,028e2c1b650e2e2b5847154a153e0166,Mucosal,1.69284225,0.293324429,86,27,9.09E-07,5.09E-05,Duodenum
6,Type,f5fb42e8863737981eb6e04a3de22e29,Mucosal,-0.864116779,0.196872831,86,84,7.13E-05,0.002048946,Duodenum
7,Type,49e9cee41713f4c00f8b171ecaff09b5,Mucosal,-0.703117704,0.162225844,86,12,8.51E-05,0.002048946,Duodenum
8,Type,eca7ea65dbc52bdbc9ade7f98e109a1e,Mucosal,1.096177579,0.252713218,86,40,8.54E-05,0.002048946,Duodenum
9,Type,37e0f2e7c7ab2a2f738b92a61085aec0,Mucosal,-0.616908324,0.143423129,86,52,9.37E-05,0.002099899,Duodenum
10,Type,6d5171bbc6ef97262119e6d152d82164,Mucosal,1.369040847,0.329027321,86,52,0.000148646,0.00312157,Duodenum
11,Type,a5641950b2a3a47827849d91242f0ead,Mucosal,-0.802306887,0.199528892,86,46,0.000210628,0.003724794,Duodenum
12,Type,235c319ab46f87d377a28a34ba10bfa1,Mucosal,-0.667424681,0.166366947,86,82,0.000240526,0.00388309,Duodenum
13,Type,b3111baca54677926264de26b4a9bf7a,Mucosal,-0.795740388,0.205593652,86,25,0.000380316,0.004914852,Duodenum
14,Type,a30dd65fa0f17c9ffe88b70cc66d024b,Mucosal,-0.62127209,0.171918468,86,10,0.000776992,0.009323902,Duodenum
16,Type,5ae5ad642b9c2cc68c4fc59e4902ff63,Mucosal,-0.766822397,0.253400573,86,81,0.004232219,0.03025586,Duodenum
17,Type,2ce5f984c303607afe63f839e492f57b,Mucosal,-0.710351897,0.243282782,86,78,0.005404914,0.035608842,Duodenum
18,Type,292a57429f3bed0adc53c07dc4c62c9f,Mucosal,0.539173988,0.190877642,86,34,0.007034723,0.044597491,Duodenum
NA,NA,762fd96b2d1336974fba68fedd33fefa,NA,0,NA,NA,NA,NA,100,Duodenum
23,Type,861fb4882b4c65b68e5998bb89ad59e8,Mucosal,0.400218018,0.186460687,86,16,0.037441517,0.131045311,Duodenum
22,Type,76d6be90e19a660c9a84b35fa31d801c,Mucosal,0.582809871,0.255375229,86,66,0.027411497,0.107096082,Duodenum
29,Type,6f0b4058c92e83c77533a218739a0e38,Mucosal,0.404987794,0.245442014,86,31,0.10609329,0.28291544,Duodenum
20,Type,a172874a13d3e6df1391f0797d95d6bc,Mucosal,0.539904197,0.19880593,86,23,0.009433519,0.053723093,Duodenum
26,Type,bbf6f74f140636ff3f33ef2bc3d892a3,Mucosal,-0.479319012,0.243721998,86,42,0.055615324,0.165369458,Duodenum
28,Type,c8433912bf1d2d7d9dd177739211ae41,Mucosal,0.45130615,0.266518012,86,29,0.094380763,0.25578383,Duodenum
32,Type,f0deb5bac19f248fce27d93d918d3464,Mucosal,-0.295072873,0.197844451,86,12,0.143154139,0.340816256,Duodenum
45,Type,2f65298490e0fe48b880145471ec54eb,Mucosal,-0.058251641,0.172934598,86,86,0.737929503,0.852078155,Duodenum
25,Type,f7040b791e2687141adc7be4ad81afd4,Mucosal,-0.352151354,0.17249935,86,50,0.047734944,0.147146249,Duodenum
34,Type,f5bf4e20e8a4c371b702c2cf491f56e8,Mucosal,0.260092456,0.208011018,86,18,0.217880069,0.425572047,Duodenum
33,Type,204736c3bd4a4c1f840e9fc99a5155d2,Mucosal,0.217609447,0.152468522,86,40,0.160950355,0.35886298,Duodenum
NA.2,NA,b92f84c206887ecd667f142dd3606ac3,NA,0,NA,NA,NA,NA,100,Duodenum
41,Type,89c209abd89a5232343a4c87c93cb4ea,Mucosal,0.283155428,0.281957152,86,70,0.320765073,0.5309215,Duodenum
27,Type,eee9bab26577ab7978a3c7bb4a082922,Mucosal,-0.571306227,0.293045167,86,33,0.05778802,0.170322585,Duodenum
NA.3,NA,178d4eb06bd14fca2d3c300f9f05e384,NA,0,NA,NA,NA,NA,100,Duodenum
44,Type,9ff8565480eb4d1ae1feec02a0dfce35,Mucosal,-0.173845793,0.297484136,86,75,0.562095637,0.755456536,Duodenum
NA.4,NA,ad4e760fa406db6470c29766422a47d2,NA,0,NA,NA,NA,NA,100,Duodenum
NA.6,NA,87ab9c664033e00f6b64f2afc71a6d90,NA,0,NA,NA,NA,NA,100,Duodenum
35,Type,6f06d4c3412c12274598b1a4bc468d3a,Mucosal,-0.308400646,0.250145853,86,10,0.224567223,0.432977359,Duodenum
19,Type,48082d1ff66a9207ede6bf05e9846d6e,Mucosal,-0.515906525,0.189410797,86,82,0.00932749,0.053723093,Duodenum
NA.7,NA,5167710b7280856d9e512a4f58068687,NA,0,NA,NA,NA,NA,100,Duodenum
43,Type,2e11ee45d4ccab0775222da825d3bd42,Mucosal,0.157587201,0.194878338,86,63,0.421179577,0.612624839,Duodenum
NA.9,NA,dcd0c235615b718f89bb8cc76b5a627f,NA,0,NA,NA,NA,NA,100,Duodenum
NA.10,NA,9558d82710beac18e454f983c9db7cca,NA,0,NA,NA,NA,NA,100,Duodenum
24,Type,cb48af0355580e3a4cfe6d22f05b6b14,Mucosal,-0.499419783,0.23882437,86,79,0.042385254,0.136196531,Duodenum
30,Type,e8ed0e081283c5963ce9860944f651c6,Mucosal,-0.334372407,0.222016191,86,35,0.139116475,0.338718375,Duodenum
NA.11,NA,7186c67c129c329bce7d6c988267b231,NA,0,NA,NA,NA,NA,100,Duodenum
NA.12,NA,46864a6aa122ecb439eb59a3c0542ee6,NA,0,NA,NA,NA,NA,100,Duodenum
NA.13,NA,1e65ef9ba16ebcd3b8413c31e58cada1,NA,0,NA,NA,NA,NA,100,Duodenum
38,Type,f9130f059b9380b9961aef118b3a529e,Mucosal,-0.197897667,0.172604378,86,60,0.257747701,0.460655466,Duodenum
21,Type,f745d265f36ea7eac26d97280e690796,Mucosal,0.747304971,0.297842699,86,52,0.016183664,0.07443754,Duodenum
39,Type,5adc2daa2981bc07e21b14d53496ff67,Mucosal,0.414258616,0.366544983,86,23,0.264365802,0.465062353,Duodenum
46,Type,fbbeae3dceada6928b2cdc472f5d9901,Mucosal,-0.062866784,0.376768518,86,44,0.86791371,0.937681693,Duodenum
110,Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,3.720401114,0.429246771,91,61,3.03E-13,1.04E-10,Jejunum
210,Type,c42634f8d1aad4956aa9638465e86565,Mucosal,-1.852279558,0.185917956,91,91,9.02E-13,1.55E-10,Jejunum
37,Type,b3ef12a80d40902556c2fd4de5924438,Mucosal,-1.829491722,0.188124557,91,37,1.74E-12,1.99E-10,Jejunum
48,Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-1.575664098,0.201912253,91,62,6.78E-10,5.82E-08,Jejunum
111,Type,028e2c1b650e2e2b5847154a153e0166,Mucosal,1.608117008,0.294493769,91,35,1.79E-06,5.59E-05,Jejunum
51,Type,f5fb42e8863737981eb6e04a3de22e29,Mucosal,-1.421792939,0.185757988,91,89,9.97E-10,6.84E-08,Jejunum
211,Type,49e9cee41713f4c00f8b171ecaff09b5,Mucosal,-0.744807567,0.195625038,91,10,0.000424826,0.00539687,Jejunum
NA1,NA,eca7ea65dbc52bdbc9ade7f98e109a1e,NA,0,NA,NA,NA,NA,100,Jejunum
101,Type,37e0f2e7c7ab2a2f738b92a61085aec0,Mucosal,-0.827309958,0.146382827,91,49,1.25E-06,4.29E-05,Jejunum
81,Type,6d5171bbc6ef97262119e6d152d82164,Mucosal,1.972352944,0.331985456,91,67,3.91E-07,1.68E-05,Jejunum
251,Type,a5641950b2a3a47827849d91242f0ead,Mucosal,-0.601445941,0.187637376,91,39,0.002476169,0.020715268,Jejunum
381,Type,235c319ab46f87d377a28a34ba10bfa1,Mucosal,0.400067128,0.234344475,91,82,0.094702639,0.306957265,Jejunum
91,Type,b3111baca54677926264de26b4a9bf7a,Mucosal,-1.222636261,0.217845305,91,23,1.25E-06,4.29E-05,Jejunum
131,Type,a30dd65fa0f17c9ffe88b70cc66d024b,Mucosal,-1.027283083,0.194629925,91,16,3.44E-06,9.08E-05,Jejunum
141,Type,5ae5ad642b9c2cc68c4fc59e4902ff63,Mucosal,-1.348496307,0.256030531,91,86,4.05E-06,9.85E-05,Jejunum
231,Type,2ce5f984c303607afe63f839e492f57b,Mucosal,-0.7708651,0.230889344,91,84,0.001670684,0.015487694,Jejunum
