	TL1a_FP_89	TL1a_FP_287	TL1a_FP_161	TL1a_FP_197	TL1a_DTT_269_Repeat	TL1a_FP_269	TL1a_FP_131	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_FP_233	TL1a_DTT_287	TL1a_DTT_233	TL1A_DTT_629	TL1A_FP_677
TL1a_FP_89	0.0	3.653318225680416	1.6749588571382372	3.3646600935099418	2.58740210900199	3.5104955343938613	3.132889188520741	2.806783675474004	2.9814725917577065	3.0931159451646164	3.0886702434207844	3.688960357549175	1.8141572189136825	1.8646999750194182
TL1a_FP_287	3.653318225680416	0.0	2.2682471782740676	0.6636261661627888	3.0126699897092073	3.8906182472211324	1.708813567190911	0.9715020407308705	1.2482807553844393	1.2300279139688977	1.6049551755389386	1.2567029297709134	2.453343836503353	1.9487810612521141
TL1a_FP_161	1.6749588571382372	2.2682471782740676	0.0	1.9462033471668263	2.720500543751451	3.6554805258466043	2.527208995088282	1.618738398881593	2.128024414702998	2.1475839088408244	2.437197587784713	2.78537659787872	0.8817049451185827	1.2864934467050892
TL1a_FP_197	3.3646600935099418	0.6636261661627888	1.9462033471668263	0.0	2.7375251042070916	3.4848319564408397	1.7892846895584928	0.7156923263834654	1.3225201292657147	1.0514345683239732	1.7673075063003547	1.6242705375337039	2.361815679978408	1.7342209478388781
TL1a_DTT_269_Repeat	2.58740210900199	3.0126699897092073	2.720500543751451	2.7375251042070916	0.0	1.3730538916646027	1.6709584698249174	2.148595801335441	1.916735545040729	1.8150412456780227	1.8926273962201452	2.4851897824891296	3.1678689141134946	1.6164139308104224
TL1a_FP_269	3.5104955343938613	3.8906182472211324	3.6554805258466043	3.4848319564408397	1.3730538916646027	0.0	2.7905162428075774	3.088320178209762	3.013894191463404	2.694566482405333	3.066724505001328	3.515229065715396	4.285609350686863	2.7916438634879484
TL1a_FP_131	3.132889188520741	1.708813567190911	2.527208995088282	1.7892846895584928	1.6709584698249174	2.7905162428075774	0.0	1.2444534841503438	0.5289311412243116	0.8545675795184517	0.31065895561074786	0.8287961347929548	2.707039610214879	1.3605642060848626
TL1a_DTT_89_Re_extracted	2.806783675474004	0.9715020407308705	1.618738398881593	0.7156923263834654	2.148595801335441	3.088320178209762	1.2444534841503438	0.0	0.7625494777696559	0.6289192119883859	1.2145034829686865	1.3444084068649997	1.9998826401420162	1.0506155066049183
TL1a_DTT_197_Repeat	2.9814725917577065	1.2482807553844393	2.128024414702998	1.3225201292657147	1.916735545040729	3.013894191463404	0.5289311412243116	0.7625494777696559	0.0	0.592055011064957	0.4583283151126898	0.7642702359107217	2.318817656536099	1.1309293035386303
TL1a_FP_233	3.0931159451646164	1.2300279139688977	2.1475839088408244	1.0514345683239732	1.8150412456780227	2.694566482405333	0.8545675795184517	0.6289192119883859	0.592055011064957	0.0	0.9704807636352198	1.1113682887408962	2.5428664299330044	1.2604584149112579
TL1a_DTT_287	3.0886702434207844	1.6049551755389386	2.437197587784713	1.7673075063003547	1.8926273962201452	3.066724505001328	0.31065895561074786	1.2145034829686865	0.4583283151126898	0.9704807636352198	0.0	0.707995535235592	2.526616253096694	1.3269062268865963
TL1a_DTT_233	3.688960357549175	1.2567029297709134	2.78537659787872	1.6242705375337039	2.4851897824891296	3.515229065715396	0.8287961347929548	1.3444084068649997	0.7642702359107217	1.1113682887408962	0.707995535235592	0.0	2.8520033761716377	1.8726615764501808
TL1A_DTT_629	1.8141572189136825	2.453343836503353	0.8817049451185827	2.361815679978408	3.1678689141134946	4.285609350686863	2.707039610214879	1.9998826401420162	2.318817656536099	2.5428664299330044	2.526616253096694	2.8520033761716377	0.0	1.6100407820922724
TL1A_FP_677	1.8646999750194182	1.9487810612521141	1.2864934467050892	1.7342209478388781	1.6164139308104224	2.7916438634879484	1.3605642060848626	1.0506155066049183	1.1309293035386303	1.2604584149112579	1.3269062268865963	1.8726615764501808	1.6100407820922724	0.0
