	Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT18	Mouse3A.FP16	Mouse7A.FP40	Mouse1A.FP05	Mouse3A.FP17	Mouse2A.FP11	Mouse3A.FP18	Mouse5A.DTT30	Mouse5A.DTT28	Mouse4A.FP22	Mouse4A.FP23	Mouse6A.FP35	Mouse7A.DTT41	Mouse4A.DTT22	Mouse1A.FP06	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse5A.FP30	Mouse4A.FP24	Mouse4A.DTT24	Mouse1B.DTT17	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT40	Mouse9A.DTT100	Mouse9A.DTT101	Mouse8A.DTT90	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse10A.FP113	Mouse9A.FP102	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.FP89	Mouse9A.FP100	Mouse8A.FP88
Mouse5A.DTT29	0.0	1.12913820124696	0.3835229388340068	2.1847211535557656	0.8694300926146721	1.8514940265578854	0.5875306217258878	1.970372433292011	0.6355116589177608	2.292062853883377	0.25164004185814987	1.9221227296100514	1.2594257149314727	1.12945177512812	1.2329561774530011	0.45136481756630253	0.905950122685808	0.5477119615160253	0.8166784272520347	1.1272894920694156	0.512811552192038	0.19751012045459665	0.5424473086797632	0.020020048174347802	0.3427472858074782	0.5643961610529463	2.104057583895295	0.24276651091393084	0.6010840204662944	0.20316167942892893	0.9058772693299011	0.9820306318863068	2.400964030193337	0.35213143523990276	0.5205856326349094	1.7733550053793001	2.639106285876489	2.441852400639058	2.20023704547985	1.3478485750939795	2.429888625302779	2.573716585659659	2.800158721299213	1.4016620050296407	3.2153914116475746	2.852862386157603	3.1801718037247197	1.6970832195320789	2.2108321201623378	1.5128432218017118	1.5701046624559554	2.4851839683294155	2.41088954283524	1.5559942225857015
Mouse5A.FP28	1.12913820124696	0.0	1.4406005932604506	2.9079029775857412	1.7383016608514272	2.714136930630611	1.6270397704632986	2.813406644549538	1.070177688854784	3.0774899270283202	1.3745303731785765	2.7382126256074693	0.7255502475856808	0.6463075523800528	2.264268123063791	0.6965271785842257	0.3160990274598419	0.6360954990342322	1.7459548917940708	2.0124717533185565	1.356635261633673	1.1446540605950872	0.9494987524015069	1.1222337270101832	1.1413217823566513	0.6920201741715064	2.832335148945667	1.3133056411294433	0.7471729157935019	1.0564654030777165	0.6115334267323068	1.9105230015784227	3.116116196404773	0.8552073432085573	1.2003359468581882	2.647070945500458	3.5282367614806605	3.391997409843905	3.295269228538798	2.4442263022878605	3.380136378515148	3.4310232696581497	3.611765914033453	2.5233485637026307	4.25878756227903	3.8549535352325712	3.9198599094360818	2.6407491127169656	3.271165386877063	2.6146264887021777	2.5065904077491994	3.5440899673936355	3.365135715991225	2.543299003582642
Mouse6A.DTT35	0.3835229388340068	1.4406005932604506	0.0	1.8332670169191834	0.5569071270505137	1.4871036852636197	0.22592604844432615	1.6014469542809266	0.977479037549491	1.928674935768314	0.21320395027996022	1.5610086277031092	1.40328079181573	1.2875882894265973	0.8603879383515116	0.7990401572797847	1.1878211760418214	0.8346523494116226	0.46489701547280365	0.7782042836860356	0.31068291168100176	0.5303536047449765	0.9055627361054669	0.3770341739230422	0.37226397935360117	0.7960330618692829	1.7542609413815748	0.3089416274121884	0.9634987126671279	0.5758079841483457	1.0823419218803578	0.6162447644204306	2.050070914146659	0.7165310760371671	0.4677657716375912	1.4027417909869158	2.5933273428205066	2.3449670108076344	1.8881187624639797	1.0141799903503972	2.318920168819657	2.2018785159057943	2.4280434870272254	1.0964551129696032	2.9988096574317176	2.702715979306259	2.8202677917894587	1.6696103100591995	1.8465815574116546	1.2827269770114313	1.546757975419688	2.1234033528674043	2.3291688346041406	1.490584071307698
Mouse1B.DTT18	2.1847211535557656	2.9079029775857412	1.8332670169191834	0.0	1.3528510261530786	0.5378323530441994	1.6553677107732536	0.39730269718143696	2.803291675822005	0.2423047931533452	2.0274028750082684	0.37600629569382754	2.424687048225645	2.3919194042487657	1.2346078437679073	2.493415820705759	2.6605774599679823	2.386841128075556	1.3845836702875423	1.0996079094586795	1.6968656383358682	2.35842502609175	2.7169387309748987	2.1723680784427843	1.9350468058642087	2.3185883785271866	0.09492425024843715	2.123527340115565	2.7180806708184524	2.383020384136887	2.3149616768146157	1.232534048265316	0.22792958426463086	2.480276178344437	1.808863023664211	0.5649036687090809	3.7193813081157243	3.3440677141766733	1.9908906400173154	1.5062821182284307	3.2708613868477574	0.6663919726423648	0.7324283733399195	1.7225891078098914	3.358698524277275	3.433436821350387	1.027665300775026	3.0073596259601163	1.3704794934524824	2.1539601547925273	2.923014805489596	1.5916357166561435	3.383469779853894	2.782112578012649
Mouse3A.FP16	0.8694300926146721	1.7383016608514272	0.5569071270505137	1.3528510261530786	0.0	1.0127118799120787	0.3864982515903694	1.1426875676696548	1.5009034898055478	1.454672545182436	0.7179143193766829	1.0777656285612591	1.5123071060398778	1.4151586638494036	0.6184364084587843	1.2186051513769989	1.5055847219861804	1.1309239342816435	0.1565132144891513	0.28661128627077626	0.40567128094802113	1.04416351397614	1.4114391496349306	0.8590557098472841	0.6309688108391275	1.1350768451796114	1.265888685129228	0.8644451608818475	1.4393679048808437	1.0553962030407162	1.2343076384993226	0.2462375089603045	1.5581358637763147	1.1897035676635632	0.5394704286425088	0.9536413850017484	2.9624175892587368	2.6750952332760027	1.8804938423158792	0.8959732425235061	2.642149308707962	1.7444969634061556	1.974361244415802	1.0975006499226114	3.1534746765596795	2.9558997406458745	2.3290583279597534	2.0622942667539634	1.6090095465370589	1.4774214911100143	1.959267244777438	1.9350170132894486	2.6627300341848157	1.8677215099382396
Mouse7A.FP40	1.8514940265578854	2.714136930630611	1.4871036852636197	0.5378323530441994	1.0127118799120787	0.0	1.280137863416845	0.18898432279978378	2.4617907806951567	0.505461943082484	1.6589717952064964	0.16492189156940093	2.34850445929293	2.285683495213268	0.7720166299920453	2.217434463280198	2.4697952602572557	2.132405511659756	1.0367368211372212	0.7310169159598707	1.4007356838769789	2.008653442376848	2.3895312657972014	1.8426543872640782	1.6387921368517664	2.099924760108826	0.4676132243437776	1.7822289305584909	2.4279769485199387	2.0402976927925662	2.1568743838845856	0.8734760608859063	0.6823541171061218	2.179336342296042	1.5355465842944191	0.13708668464287865	3.2962590434003154	2.937558168088331	1.6312365190162934	1.0035900959194766	2.8817378397555626	0.7320584180875197	0.9810312258702221	1.236363272078841	3.025645884395779	3.044605681934548	1.3576178220404922	2.5563331767114086	1.007862249033229	1.715200433821798	2.4849324222665805	1.3250627803433974	2.9542107956088253	2.3404937923740756
Mouse1A.FP05	0.5875306217258878	1.6270397704632986	0.22592604844432615	1.6553677107732536	0.3864982515903694	1.280137863416845	0.0	1.4037936465399132	1.1827742427411345	1.7370401559023363	0.3795872494273555	1.3638310748312537	1.5379204223846321	1.426166072867977	0.6529205817906637	1.0065958140064228	1.3811867487057516	1.0061036878225087	0.2837519420185182	0.5784550112793642	0.3436950189270418	0.7298008046761731	1.115445383515286	0.5822478598303629	0.5007911464710808	0.9902579335529011	1.5741437924916584	0.520525783169709	1.1811530187320964	0.7705869703806677	1.2229505923737454	0.4232081580437167	1.8669400927880873	0.9315991090135312	0.5302626934654462	1.2014236573927326	2.6226126881289593	2.3549938485827417	1.7609753040640979	0.8255533405142437	2.3281379646947724	1.9957227277629006	2.2327204003743755	0.9455481092747263	2.9362630697920267	2.677168902006192	2.624820660634117	1.7070869091765533	1.6542402387609119	1.2168626879485904	1.596580996348526	1.9506540613744945	2.337942703534937	1.518196586285166
Mouse3A.FP17	1.970372433292011	2.813406644549538	1.6014469542809266	0.39730269718143696	1.1426875676696548	0.18898432279978378	1.4037936465399132	0.0	2.5777012234522654	0.34963538856330634	1.7831972779856622	0.12521300687227863	2.4154507550330298	2.3614543470247003	0.8926758632025038	2.3264744433140074	2.560583703439832	2.245979956342868	1.1562272087189849	0.8611924609631945	1.5148086113327475	2.1291673686755948	2.5050968462075254	1.9607086137971075	1.7571241180407318	2.1919080470741226	0.3491164113150182	1.8907934693121806	2.535684126681651	2.163906513950774	2.2479308808975644	0.9888940384276649	0.5446498424856216	2.290274787957097	1.6528875864311205	0.20810971938779824	3.36497913154082	2.994820348564717	1.6457627686905008	1.128617905545356	2.9300125559415164	0.6232094103479586	0.8337795049518278	1.343497720296025	3.032227639387886	3.083824964700847	1.2287524793836977	2.65461671878908	1.019067058953148	1.7936285658541367	2.5801525680912927	1.291549025911941	3.0239183036063215	2.4334674370843965
Mouse2A.FP11	0.6355116589177608	1.070177688854784	0.977479037549491	2.803291675822005	1.5009034898055478	2.4617907806951567	1.1827742427411345	2.5777012234522654	0.0	2.90516308719267	0.8079767333271192	2.538441466668713	1.5039121961817612	1.382127897273215	1.786033677960633	0.5391870204675367	0.9362002100208271	0.7999923199988572	1.4369291768304084	1.7490813865829555	1.144550861967787	0.45911805212476137	0.1477703250556663	0.6483288207071825	0.9504043762416494	0.8150396801688029	2.7252923210195115	0.6930463938775937	0.34576811103523225	0.46302800820189755	1.1969960992494955	1.5934189659437314	3.0222843870419456	0.41454491884312794	1.1238112912326141	2.37789211987791	2.478165560657233	2.3707320219981414	2.533045799293258	1.8260477483019257	2.3786120617237496	3.173040808676983	3.4010493003751163	1.8056301466353009	3.3215220538306247	2.85522529691548	3.7974548119102502	1.5905275780462866	2.694489314691424	1.7491105257826447	1.4635728326367126	2.9329210279161413	2.324720770473465	1.52206562429533
Mouse3A.FP18	2.292062853883377	3.0774899270283202	1.928674935768314	0.2423047931533452	1.454672545182436	0.505461943082484	1.7370401559023363	0.34963538856330634	2.90516308719267	0.0	2.1154098703185875	0.38423779698099264	2.625555898020985	2.585205198902233	1.2419154531561556	2.6283764924801147	2.8280894088538147	2.53310644449837	1.4790138207944052	1.1824529104636268	1.8197789252594399	2.457120270489635	2.8272447648678747	2.2812917159986577	2.0609728268807683	2.4731071690637494	0.28000952659703165	2.2188839300434187	2.8453958155229815	2.4878331950834895	2.4935990363685394	1.316543719515964	0.23765916282097305	2.6027795905012847	1.9442536594209328	0.5564203534025465	3.6681307813337636	3.2882271280889555	1.8756310119153379	1.4674007398743067	3.2169134755251076	0.4261697243127053	0.5389980601235158	1.6744771022436449	3.238419337999928	3.344412209763552	0.8948177871877417	2.9881696390608465	1.206817757053943	2.1127992754704397	2.9148987444566172	1.4222029667331246	3.325925999398953	2.7655524188837397
