	TL1a_FP_162	TL1a_FP_88	TL1a_FP_89	TL1a_FP_234	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_287	TL1a_FP_77	TL1a_FP_245	TL1a_FP_198	TL1a_FP_161	TL1a_FP_76	TL1a_FP_102	TL1a_FP_197	TL1a_FP_132	TL1a_FP_130	TL1a_FP_173	TL1a_FP_90	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_172	TL1a_FP_269	TL1a_FP_288	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_196	TL1a_FP_131	TL1a_FP_246	TL1a_FP_270	TL1a_FP_160	TL1a_FP_286	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1A_FP_641	TL1A_FP_689	TL1A_FP_640	TL1A_FP_677	TL1A_FP_678	TL1A_FP_630	TL1A_FP_688
TL1a_FP_162	0.0	4.1194928323989535	0.991745111286358	3.334816222139339	1.0861711079899725	1.4554747690229282	1.6563173651451044	3.4477935440384035	1.805521875696241	2.9013472995635206	3.124568364541412	0.6456935981944638	1.8238158547880263	3.5309555550920133	2.6706987880580004	3.350838255691522	1.3214855443007736	3.2288671927057835	2.322927516270917	2.8451435876369184	0.8416737058008043	2.7260461145964534	3.2508185445087685	3.2347652079758626	3.0806004221000443	2.7276592935901363	2.4085842780821305	2.87665330545949	3.5222887835962626	3.100744324070561	2.268724573146404	2.0579591114331692	2.913302618884169	3.4313258757395477	1.1241739450807724	3.3646523414892937	1.761222037591502	4.815185137514108	1.1618899008326036	3.251669888649449	2.9019428038657087	2.911675657092381	2.4811939619437755	2.360310491131131	2.1489398857928235	1.8727448226772	2.410105172253846	2.5345876895545745	2.1897822827567253
TL1a_FP_88	4.1194928323989535	0.0	4.378432826009026	2.785686765725443	3.7523735661734214	2.7448762543876155	2.8577607096294866	1.8520442287440262	2.408498480342384	1.6853525338172761	4.519430170698312	3.4940481333578264	2.3009499213410995	1.280248295869906	2.9053956423779423	1.5794719271348825	2.830835460304145	1.5517727259031608	1.8555782729116446	1.9147400826460905	3.3616955675623172	1.5194114308537803	1.637741815190468	4.426851042146641	2.3184085255236297	2.5367947127807557	1.8493142351012795	1.3811012410668122	2.244714933432153	2.3211384724790145	2.2329664490363457	3.6234869119124884	1.8826244428928034	2.2502834168115036	3.5277661984418547	2.1474257857428944	2.903014416063689	1.0885738643539309	3.5683275999047184	2.738328436960743	2.852888784239968	2.414965856901683	1.6557531214393064	1.8048967679169992	2.0404608672905824	2.463665219274266	1.9377733808720663	1.6839205991199573	1.9550308433964143
TL1a_FP_89	0.991745111286358	4.378432826009026	0.0	3.6818348136304055	0.6449497614374079	1.7799216072145776	2.1708026011721926	3.8836969218830215	2.221676449884204	3.345066749947829	3.4601853637149005	1.276233424819855	2.2464397933888707	3.9036846329890245	3.221306118553681	3.6395430618134674	1.8242935597906556	3.7052420179274694	2.6738814228322467	3.4066500258992654	1.2040885625617093	3.177606880787499	3.5565176642615444	3.5974529990190693	3.422089208172408	2.9620600271637105	2.918170472399835	3.2515864938014705	3.88668090245141	3.291412559941372	2.783656818010446	2.4385944428850244	3.3864930350384954	3.7655702405557077	1.0371363405181098	3.7771126065922043	2.0420804823842134	5.079745869514586	1.6646494708346897	3.4297150669082233	3.263579056741493	3.3888680358953422	2.757892395360915	2.581301157498567	2.343418740648847	2.0428144183758405	2.627415932097535	2.956504804439371	2.564106028258841
TL1a_FP_234	3.334816222139339	2.785686765725443	3.6818348136304055	0.0	3.294538899564297	2.2168784490086946	1.7451152333925695	1.0732456951724112	2.7520579554280644	1.4206565836573024	1.8749005345233878	2.7880273964048152	2.341011177603776	3.299375226418902	0.9328931466791283	1.2264790179153664	2.327639686820324	1.529768767216828	1.9033598245633336	1.5722674234997998	3.0316766751650963	2.039077187758207	1.1762142258595643	1.7404428235320308	0.537828859624364	3.8882748005868923	2.151525576238437	2.678948084538019	0.5983563310943881	0.8174003426571551	1.5206374175851423	1.5516021959178539	1.237707528979205	0.5491613216822703	3.4290438639385576	0.7183920819074958	1.6682609386842058	3.8503694453705695	2.2123168949289	0.6346616785658796	0.4410377687988958	0.7479081484801002	2.1446889948156542	2.2490407972982496	2.2955609745728442	2.00473945973136	1.725182914053989	1.8895864417490886	2.0396900537550615
TL1a_FP_65	1.0861711079899725	3.7523735661734214	0.6449497614374079	3.294538899564297	0.0	1.2704220072356476	1.7906789256411635	3.3872957049723786	1.6814891328866133	2.8217956239979944	3.398343846769506	1.0179170335400471	1.7029800532215944	3.312273565528215	2.8840008784082865	3.097042813951774	1.3715616519611606	3.180638128199684	2.1072599023420127	2.9213184196646753	0.7945467295626515	2.619509416586711	3.020412944522606	3.504493835525682	2.9715089238368484	2.443057842712242	2.385445915428532	2.6591223743398142	3.425630569415103	2.8200272428034694	2.3142328703683965	2.259517567021957	2.8915089433495886	3.3034140097271503	0.5704485451916758	3.3115498086353554	1.639815568149676	4.451192924934851	1.48717053921859	3.0192645231040802	2.8984547813746238	2.966272891834983	2.155769567161523	1.9681139015735898	1.7303391329684774	1.4845144836445185	2.055381647346307	2.401369707513261	2.0001943347175017
TL1a_FP_64	1.4554747690229282	2.7448762543876155	1.7799216072145776	2.2168784490086946	1.2704220072356476	0.0	0.6756852656376849	2.1501970147121634	0.8921402260867759	1.5704701920303143	2.8007823482916807	0.8238463899774424	0.6231413889435552	2.4353760866122234	1.7530275111691997	1.9415924589476192	0.33154132548404064	1.9273882968161966	0.9220524019430028	1.6539095785042124	0.8532250896173682	1.4353958872083485	1.8507874659713535	2.834309202263608	1.8277571682493017	2.1252070667241565	1.2127343048562094	1.6849384139185093	2.2574011034047143	1.7989629526959015	1.0466845952782127	1.5615987030153244	1.6312154350177699	2.156575799442175	1.2352765078148789	2.1052465096125976	0.6904978502595962	3.563657462441764	0.9800298906250121	2.071269710688501	1.8451744595981112	1.7586340328541885	1.0947572820592166	0.9859298550068571	0.7895398503413286	0.4590010069406286	0.9555523069007957	1.1944504670057503	0.8269984655880009
TL1a_FP_209	1.6563173651451044	2.8577607096294866	2.1708026011721926	1.7451152333925695	1.7906789256411635	0.6756852656376849	0.0	1.8118449986399727	1.3261502605765618	1.3513723201543004	2.2553744702674186	1.068775715939672	0.970731366030476	2.6679339062996035	1.126943814503524	1.7770068784839277	0.6512882503963281	1.6882784299869467	1.0489516983668912	1.3438820540779763	1.3418255002636172	1.443264738736035	1.6683215762618149	2.265409678093248	1.4452581709284695	2.6215707627680938	1.239212005720068	1.9150738110716068	1.8717728216110145	1.5661470649935865	0.7176610584780745	1.0527629521089135	1.3126210777120626	1.7903782304834288	1.822746659145302	1.7087332623763498	0.5042360869509196	3.7535294697498296	0.7501629514737933	1.755202392107023	1.3428651385262698	1.2638524461623404	1.3528110192313205	1.346723198860213	1.2392684941102472	0.8565349265312402	1.0980086811308545	1.20646896525283	1.015373647599282
TL1a_FP_287	3.4477935440384035	1.8520442287440262	3.8836969218830215	1.0732456951724112	3.3872957049723786	2.1501970147121634	1.8118449986399727	0.0	2.326107409018718	0.6823561185125792	2.822582975825638	2.826721271553161	1.974597174006227	2.3780350908269567	1.2341780415114267	0.6284997639704896	2.20683953280468	0.5559182575377717	1.4454296948037555	0.8455692027643109	2.960740097210102	1.2835703107394505	0.5904273680083932	2.6941535393647027	0.7407979891182893	3.2528602230445873	1.5146852347199393	1.8897287872164645	0.5522948875734616	1.1109761470403878	1.2011579588032284	2.1899691150735623	0.567081772170028	0.6313578442309945	3.347039621663142	0.3550348262462844	1.9011285278399805	2.862399407360461	2.5092217016180167	1.360576257345568	1.2076591991124255	0.7208800191394998	1.6112017580866482	1.7935196834887084	1.9378099082330227	1.9308737035473464	1.4465541052686568	1.267505638005516	1.594112368892196
TL1a_FP_77	1.805521875696241	2.408498480342384	2.221676449884204	2.7520579554280644	1.6814891328866133	0.8921402260867759	1.3261502605765618	2.326107409018718	0.0	1.6465314606348012	3.5801008157403267	1.2636791536426255	0.4145640189858494	1.7356353218398164	2.238324913478165	2.144823863275767	0.7890214295725526	1.9110601536177634	0.9480774337791635	1.652693905154422	1.0509722247558122	1.1739677603951308	2.068560768583718	3.589644390040547	2.2805971824877327	1.2975124533486326	0.8946229512541598	1.0922451593156097	2.617240031052623	2.319605674301511	1.2949550735366897	2.3591503441619666	1.787178859068788	2.5506785035594692	1.3178882824379645	2.4155761680146273	1.5274467524536093	3.0147298132588736	1.7370486181367588	2.6830828992518168	2.448368312149156	2.1442688723522365	0.9401498733463844	0.8628013953187662	0.7723871776106256	1.0784148021489208	1.2534942311176929	1.0809289692388617	0.7729405607836818
TL1a_FP_245	2.9013472995635206	1.6853525338172761	3.345066749947829	1.4206565836573024	2.8217956239979944	1.5704701920303143	1.3513723201543004	0.6823561185125792	1.6465314606348012	0.0	2.9258031916894702	2.26536040307766	1.3083015991646907	1.8963835513477552	1.2404787156252244	0.7071190813265099	1.608761436239288	0.3730316674260926	0.7927070060743212	0.4301232850598463	2.345945767308781	0.6412678384973014	0.6166584824958937	2.8400118496746947	0.9266804816342517	2.5986312630434454	0.8479696829653401	1.291546070012956	1.0702889709699641	1.1833184154820953	0.6617270921776898	2.0262852583527047	0.23813679830491052	1.0571997478420796	2.7209236310734144	0.8449257890491022	1.4981680486809974	2.658001352874569	2.0960518979786738	1.5514752133068899	1.3378388879612235	0.8139295524955755	0.9777052031469521	1.1674122287302435	1.3113840386417728	1.387440052792325	0.9202913905572601	0.5882435875930714	0.928048572153764
TL1a_FP_198	3.124568364541412	4.519430170698312	3.4601853637149005	1.8749005345233878	3.398343846769506	2.8007823482916807	2.2553744702674186	2.822582975825638	3.5801008157403267	2.9258031916894702	0.0	2.884888634860527	3.213255641118584	4.73113005272396	1.7787244054958888	2.9766622703763606	2.8489135079776946	3.131498956193197	3.0882217201471653	2.925769434239848	3.299608793049029	3.3927400264670498	2.898158993650431	0.21935380946161315	2.2244886081851187	4.873567609002694	3.31779760358434	4.008790832769683	2.4580404922478993	2.344999315762124	2.5938541442088314	1.2430403158964947	2.7352719603364473	2.404385867546959	3.715286450685182	2.4942623834219404	2.1633715556918474	5.560243321767763	2.088825387021696	2.0219923932197057	1.6751222532226315	2.1773682970163097	3.3918413891040826	3.4126858493072434	3.3331051346721514	2.8165917349510052	2.9311894356934918	3.1810252435486928	3.140348826540749
TL1a_FP_161	0.6456935981944638	3.4940481333578264	1.276233424819855	2.7880273964048152	1.0179170335400471	0.8238463899774424	1.068775715939672	2.826721271553161	1.2636791536426255	2.26536040307766	2.884888634860527	0.0	1.2066324187912083	2.9842594071789277	2.1531264439143416	2.7136011492421512	0.6798279878973582	2.59878203044924	1.6801376141535187	2.234297170111458	0.4785584310457928	2.098321909914265	2.6143890354342005	2.961879095526927	2.486587832609002	2.3658567484911934	1.7949667632591515	2.2909797322185455	2.9231505951865757	2.511797991940716	1.6458499866430527	1.698652780371212	2.2884448000426802	2.832654993773064	0.9906432395433253	2.7597872898756797	1.2026430708544715	4.232288675487649	0.7973070384704228	2.705046918419531	2.369010809151663	2.328914775466706	1.8523792117766207	1.7431640594968985	1.5401653327532674	1.2620763882680852	1.7754965635066227	1.8963424893712515	1.5518051387242433
