#OTU ID,IL17.DTT.115,IL17.DTT.116,IL17.DTT.117,IL17.DTT.118,IL17.DTT.119,IL17.DTT.120,IL17.DTT.127,IL17.DTT.128,IL17.DTT.129,IL17.DTT.130,IL17.DTT.131,IL17.DTT.132,IL17.DTT.143,IL17.DTT.144,IL17.DTT.139,IL17.DTT.140,IL17.DTT.141,IL17.DTT.142,IL17.DTT.188,IL17.DTT.189,IL17.DTT.201,IL17.DTT.202,IL17.DTT.203,IL17.DTT.199,IL17.DTT.200,IL17.DTT.217,IL17.DTT.218,IL17.DTT.219,IL17.DTT.220,IL17.DTT.221,IL17.DTT.222,IL17.DTT.25,IL17.DTT.26,IL17.DTT.27,IL17.DTT.28,IL17.DTT.29,IL17.DTT.105,IL17.DTT.106,IL17.DTT.103,IL17.DTT.104,IL17.DTT.53,IL17.DTT.49,IL17.DTT.50,IL17.DTT.51,IL17.DTT.52,IL17.DTT.85,IL17.DTT.86,IL17.DTT.87,IL17.DTT.88,IL17.DTT.89,IL17.DTT.90,TKO.DTT.1,TKO.DTT.2,TKO.DTT.3,TKO.DTT.4,TKO.DTT.5,TKO.DTT.6,TKO.DTT.43,TKO.DTT.44,TKO.DTT.45,TKO.DTT.46,TKO.DTT.47,TKO.DTT.48,TKO.DTT.31,TKO.DTT.32,TKO.DTT.33,TKO.DTT.34,TKO.DTT.35,TKO.DTT.16,TKO.DTT.17,TKO.DTT.18,TKO.DTT.22,TKO.DTT.23,TKO.DTT.24,TKO.DTT.19,TKO.DTT.20,TKO.DTT.21,TKO.DTT.58,TKO.DTT.59,TKO.DTT.60,TKO.DTT.55,TKO.DTT.56,TKO.DTT.57,TKO.DTT.69,TKO.DTT.70,TKO.DTT.71,TKO.DTT.72,TKO.DTT.78,TKO.DTT.73,TKO.DTT.74,TKO.DTT.75,TKO.DTT.76,TKO.DTT.77,TKO.DTT.87,TKO.DTT.88,TKO.DTT.89,TKO.DTT.90,TKO.DTT.91,TKO.DTT.92,TKO.DTT.93,TKO.DTT.94,TKO.DTT.95,TKO.DTT.103,TKO.DTT.104,TKO.DTT.105,TKO.DTT.106,TKO.DTT.107,TKO.DTT.108,TKO.DTT.109,TKO.DTT.110,TKO.DTT.111,TKO.DTT.112,TKO.DTT.113,TKO.DTT.123,TKO.DTT.124,TKO.DTT.125,TKO.DTT.126,TKO.DTT.127,TKO.DTT.128,TKO.DTT.129,TKO.DTT.130,TKO.DTT.131,TKO.DTT.132,TKO.DTT.139,TKO.DTT.140,TKO.DTT.141,TKO.DTT.142,TKO.DTT.143,TKO.DTT.144,TKO.DTT.154,TKO.DTT.155,TKO.DTT.156,TKO.DTT.151,TKO.DTT.152,TKO.DTT.153,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,23,49,73,0,0,0,0,36,0,47,0,0,0,0,22,22,14,0,8,14,42,0,0,22,20,2,16,5,0,0,0,0,40,65,0,0,24,0,4,15,0,34,25,24,0,55,30,66,0,0,40,28,9,46,0,0,1,21,36,13,0,0,0,45,26,107,10,0,5,0,3,0,0,0,34,21,44,0,3,0,12,28,59,38,0,0,0,7,81,75,67,0,3,77,5,0,8,51,25,21,0,0,7,7,12,4,0,13,16,33,48,0,0,97,0,2,12,20,13,42,6,0,0,22,47,61,0,9,10,0,0,0,30,20,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,9,11,0,0,0,0,0,0,13,0,3,0,0,0,2,10,0,2,10,14,0,0,2,5,0,2,6,0,0,0,0,6,11,0,0,6,0,0,5,0,0,0,6,0,2,0,3,0,0,10,0,0,7,0,0,2,8,3,3,0,0,0,23,3,16,0,0,0,0,0,0,0,0,12,5,4,0,0,0,0,9,7,7,0,0,0,0,2,5,5,0,0,9,0,0,0,0,2,9,0,0,10,0,0,0,0,0,0,8,4,0,0,14,0,0,0,0,5,12,0,0,0,4,0,4,0,0,0,0,0,0,3,3,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,26,32,21,0,0,0,0,17,0,16,0,17,0,0,10,10,27,0,18,21,46,8,0,9,29,5,52,69,0,0,0,0,52,66,0,0,16,0,0,44,0,8,53,12,0,25,40,39,0,45,55,56,0,26,0,0,0,15,22,17,0,0,33,26,40,79,12,0,0,2,13,0,0,19,80,76,47,3,0,18,13,18,29,21,0,0,0,0,56,18,16,0,0,25,0,0,0,87,27,15,0,0,0,18,5,0,3,27,0,20,7,0,0,14,0,0,0,4,28,26,0,0,0,12,28,16,0,0,26,0,0,0,16,26,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,755,7644,9334,308,157,961,944,10875,91,9850,131,665,0,659,1847,3883,19335,29,12517,19202,12852,264,176,5253,7143,129,6513,6185,178,22,84,427,9176,17202,6,0,5729,204,1443,7070,0,954,4641,13470,16,1721,7530,8695,123,1274,6065,4430,195,8897,87,20,1131,1830,11230,33310,286,548,2479,4467,9320,18205,2234,1651,119,443,751,14,46,216,6105,8732,21686,143,139,464,9454,7116,20935,27533,34,36,555,257,4675,5754,16565,74,124,23534,917,106,124,3213,4390,6102,97,83,1902,4863,3287,1118,76,3001,782,3661,6819,81,8,15621,4,428,480,670,2794,11103,1116,239,627,942,6115,19404,65,145,681,215,93,1125,2576,12496,24424,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,30,118,105,2,0,35,96,344,34,95,3,206,0,0,8,7,19,0,10,7,456,79,45,417,345,8,489,303,21,3,43,0,71,25,0,0,10,8,31,9,0,123,215,189,5,19,38,37,12,24,5,273,7,25,19,0,133,6,24,11,4,17,0,16,0,17,6,30,0,6,0,3,4,28,8,12,10,111,51,75,452,146,201,4,0,0,1,28,129,77,35,26,7,19,3,0,0,30,13,3,2,0,0,18,0,0,0,0,149,38,38,2,31,251,0,50,95,97,242,159,84,66,240,227,231,348,47,71,603,8,0,21,5,20,15,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,0,159,100,0,0,0,20,99,0,25,4,9,0,0,42,67,32,0,117,112,230,0,0,239,306,0,56,17,0,0,0,0,48,0,0,0,22,0,28,39,0,1,118,51,0,0,2,11,0,35,50,56,3,11,0,0,0,24,96,83,0,0,0,50,112,113,21,17,0,0,13,0,0,0,54,238,77,4,11,32,36,114,93,49,0,0,3,0,71,167,33,0,2,85,2,0,0,40,45,14,0,0,15,36,13,2,0,17,4,42,23,0,0,17,0,2,0,9,70,48,0,0,0,0,33,51,0,0,30,0,0,6,38,133,49,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,151,360,695,11,9,0,35,927,0,894,0,10,0,201,114,150,375,0,866,721,585,0,0,359,482,17,1060,515,6,0,18,25,873,673,0,0,206,0,38,185,0,112,234,371,0,128,272,300,0,209,474,561,23,251,0,0,68,186,1221,685,12,23,38,385,1187,1021,75,74,2,3,16,0,8,3,518,902,879,2,0,0,137,282,305,175,3,4,0,0,582,218,281,0,3,1520,108,16,2,189,238,238,0,0,56,137,72,3,4,11,82,305,384,2,0,318,0,15,18,179,1064,883,166,18,102,206,535,683,2,7,29,2,3,44,24,330,290,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,8,0,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,14,19,20,0,0,0,0,6,0,2,0,0,0,0,8,2,5,0,19,12,9,0,0,9,8,0,7,5,9,0,3,2,23,59,0,0,15,0,0,19,0,0,19,11,0,8,3,6,0,2,0,16,0,6,0,0,13,3,19,17,3,0,0,14,25,49,18,0,0,0,5,0,0,0,29,4,9,0,0,0,32,79,48,2,0,0,0,0,5,4,4,0,0,23,0,2,0,18,2,6,0,0,8,8,4,0,0,13,0,20,42,0,0,4,0,9,17,9,18,22,0,0,3,10,27,33,3,0,0,0,0,2,12,48,22,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,68,212,145,31,57,179,7,302,53,178,23,12,0,74,61,86,168,0,201,186,411,13,51,294,442,198,1368,285,84,113,85,26,353,273,0,0,164,5,45,280,0,37,167,112,0,218,738,447,5,265,1465,464,11,79,13,0,126,131,490,334,43,87,663,316,535,482,347,275,59,111,175,7,34,187,261,315,186,18,32,66,139,198,83,172,4,15,156,5,190,258,81,10,17,175,99,18,11,208,182,105,4,14,312,197,73,27,27,208,123,188,219,6,6,79,0,15,8,73,189,179,67,46,86,132,194,166,42,23,78,3,6,126,161,512,184,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,0,52,45,0,0,0,0,67,0,49,0,13,0,0,39,29,72,0,148,95,54,7,0,53,76,0,134,62,38,0,2,0,125,76,0,0,66,0,16,151,0,20,41,37,0,95,110,51,0,58,94,419,14,212,6,2,165,52,160,149,17,0,49,136,238,247,64,30,3,8,28,0,5,25,163,177,107,6,8,36,334,301,107,15,6,0,0,0,57,30,16,0,0,50,4,0,0,94,129,62,0,0,59,23,18,10,7,80,14,40,38,0,0,160,0,19,33,21,160,150,0,0,23,19,50,53,0,2,25,0,0,12,28,82,36,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,892,7470,10645,92,124,424,904,8657,60,8484,39,457,0,310,252,559,1068,0,1913,1099,8537,84,28,6497,11058,151,6106,6805,104,46,111,114,2617,1003,6,0,3266,25,596,2874,0,822,2753,3567,11,721,5344,2086,29,190,1364,4682,281,3508,96,12,2687,1139,10080,10266,145,564,4062,6183,9311,17137,2735,1787,67,198,855,8,5,84,3775,6789,5955,50,32,203,4007,6097,7479,9284,15,93,422,284,2677,10383,3154,86,170,19007,1520,182,314,2519,2850,2204,35,110,1397,3449,1054,1038,64,1638,484,2480,2205,51,5,5315,2,234,568,153,2418,1034,348,132,532,525,3080,2893,2,108,672,200,93,1112,1439,6986,9370,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,2,522,665,0,0,0,0,0,0,0,0,81,0,2,150,0,0,0,0,0,185,1856,951,0,252,995,0,0,0,0,0,0,12,3,4,11,0,0,429,1370,1591,680,453,5,3,23,0,13,7,433,1274,842,41,26,162,1306,1775,1732,1137,9,11,390,75,422,2789,903,49,34,7,6,20,6,176,539,235,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,96,25,412,564,1045,2831,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,39,220,246,39,255,163,139,242,107,364,13,373,0,0,109,23,62,0,180,202,285,3,16,154,224,0,183,156,28,11,35,32,220,322,0,0,202,0,87,228,0,45,140,163,22,168,272,248,23,136,130,848,21,164,35,15,275,50,150,170,4,51,16,277,260,493,114,54,112,276,318,10,41,282,109,133,130,38,67,276,223,218,269,162,0,0,21,7,293,211,163,2,0,192,58,2,0,167,82,103,4,22,65,117,41,16,6,159,98,105,136,3,11,210,0,56,70,29,78,93,9,0,40,115,120,107,29,86,38,34,11,58,41,146,147,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,7,5,0,0,0,0,12,5,3,0,0,0,0,15,3,32,0,23,9,9,0,0,3,12,2,28,10,0,0,0,2,81,92,0,0,7,0,0,2,0,28,17,13,0,0,13,4,0,0,16,0,0,7,0,0,15,0,9,11,0,0,0,0,9,10,2,0,0,0,0,0,0,0,10,6,4,0,0,0,0,18,19,7,0,0,0,0,2,5,5,0,0,10,0,0,0,3,10,2,0,0,0,11,0,0,0,0,0,4,6,0,0,10,0,0,0,2,21,6,0,0,0,2,16,2,0,0,0,0,0,9,0,15,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,5,5,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,4,0,0,0,9,0,23,0,0,2,0,0,0,0,0,2,7,0,0,0,0,0,23,2,4,0,0,0,0,0,0,0,3,0,0,0,13,4,2,2,0,0,6,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,3,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,10,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,62,287,591,21,4,4,32,2024,0,770,0,42,4,0,460,550,1941,8,401,634,765,87,92,563,936,2,222,138,4,4,24,29,1938,1923,0,0,336,18,46,256,0,112,242,238,0,286,1245,1168,0,278,767,3623,33,251,142,21,929,218,1372,957,77,131,1772,989,1167,2784,958,1087,66,160,698,6,0,53,516,628,464,43,43,152,2263,713,1190,1348,2,31,349,135,658,3729,467,98,67,639,54,12,20,258,196,163,9,43,83,205,48,44,0,258,129,220,147,14,0,424,2,60,214,171,394,299,207,147,72,208,1270,1928,10,26,442,39,24,304,414,607,545,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,15,21,0,0,0,0,25,0,29,0,0,0,0,2,0,13,0,20,5,11,0,0,9,8,4,2,9,0,0,0,0,4,10,0,0,11,0,0,8,0,0,4,3,0,17,13,30,0,24,41,27,3,20,0,0,30,0,8,11,3,0,0,0,24,16,2,8,0,10,4,0,0,0,22,3,22,0,0,0,8,34,19,28,0,0,0,0,23,12,13,0,0,27,2,9,0,12,21,12,0,0,0,7,0,0,0,0,0,7,2,0,0,0,0,0,0,7,2,18,0,0,6,10,4,11,0,0,0,0,0,0,0,12,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,11,15,0,0,0,0,7,0,4,0,0,0,0,4,5,3,0,5,2,8,0,0,0,11,0,11,4,12,0,0,0,40,19,0,0,16,0,0,9,0,0,7,8,0,0,17,15,0,0,6,7,0,2,0,0,0,0,8,12,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,6,8,0,0,0,3,7,4,5,0,0,12,4,0,0,9,10,3,0,0,0,8,7,0,0,0,0,4,1,0,0,31,0,0,0,0,9,0,2,0,0,0,17,2,0,0,0,0,0,0,0,8,7,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,24,242,329,15,0,0,0,293,0,368,0,0,0,0,74,111,291,0,251,133,161,0,0,67,132,6,117,57,0,0,18,43,278,242,0,0,126,0,19,109,0,11,72,120,0,64,107,117,0,21,223,72,5,89,3,0,16,13,184,201,2,2,25,63,183,193,18,7,0,4,2,0,0,7,79,69,103,4,2,0,75,180,139,74,0,0,4,0,113,78,96,0,0,229,8,0,0,126,190,98,0,0,58,32,81,0,0,64,17,91,74,2,0,180,0,4,6,10,85,122,21,0,33,41,90,95,3,0,9,2,5,15,53,206,157,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,138,894,1095,0,9,96,177,1784,5,1759,0,136,0,0,202,344,1144,12,1055,1464,863,48,8,452,778,14,556,664,7,0,20,20,604,459,0,2,409,0,166,354,0,108,550,638,0,98,449,465,0,224,583,374,33,256,10,2,50,220,1003,569,13,11,10,655,1273,1325,271,157,12,57,67,0,0,0,361,448,539,17,19,57,595,919,1195,516,2,8,55,61,1118,879,674,14,16,1129,139,15,34,436,552,576,2,8,337,1118,600,80,36,460,111,605,637,6,0,786,0,25,152,150,618,700,140,17,171,140,915,1173,0,8,185,27,6,97,208,637,566,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,60,376,575,21,1,12,48,1738,4,1179,16,36,0,0,198,348,1030,0,175,212,846,44,0,597,995,6,464,378,2,0,19,6,659,382,0,0,290,0,114,327,0,89,511,358,0,66,554,471,0,79,842,444,18,165,10,0,155,28,283,222,10,6,0,407,1012,1114,231,105,10,66,100,0,0,6,244,290,258,0,14,5,305,334,277,135,0,4,17,5,253,218,157,9,41,442,71,4,33,154,97,68,0,0,64,247,41,5,4,48,4,24,28,17,0,254,2,0,18,93,657,358,208,53,62,59,296,499,4,5,57,0,3,69,78,170,214,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,23,27,0,0,0,51,33,0,7,0,0,0,0,9,18,80,0,27,24,79,4,0,51,65,16,53,22,0,4,19,2,59,43,0,0,19,0,0,24,0,0,17,24,0,0,35,18,0,68,21,32,2,19,0,0,0,16,74,46,3,0,10,98,84,166,46,4,2,7,10,0,3,21,105,75,46,3,0,2,53,27,11,25,0,0,0,15,52,39,23,0,7,33,0,0,0,13,11,17,18,0,0,21,19,0,0,6,2,22,14,0,0,55,0,0,13,9,18,31,0,0,0,16,33,30,0,0,0,0,4,16,3,132,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,12,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,17,32,0,0,0,12,116,0,82,0,7,0,0,19,40,35,0,48,75,22,0,0,20,44,0,14,15,0,0,0,0,39,33,0,0,7,0,0,13,0,13,34,15,0,6,31,24,0,0,35,42,6,35,3,0,0,22,82,50,0,0,0,5,39,35,6,0,0,4,4,0,0,0,15,29,22,0,0,0,0,0,0,29,0,0,0,0,38,10,7,0,0,15,4,0,0,43,96,60,0,0,0,27,7,0,0,27,25,113,49,0,0,17,0,4,0,0,23,21,10,0,0,0,0,0,0,0,0,0,0,0,23,32,35,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,0,21,43,0,0,0,2,205,0,259,0,0,0,0,7,16,47,0,131,32,66,0,0,49,101,0,44,32,0,0,0,1,86,64,0,0,19,0,0,24,0,11,87,63,0,0,28,24,0,45,103,203,7,85,5,0,113,48,217,86,0,0,0,42,74,54,17,0,0,5,0,0,0,0,119,187,89,4,0,5,126,154,100,79,0,0,0,0,15,67,39,0,0,62,0,0,22,21,79,68,0,0,6,0,25,7,0,11,0,48,56,0,0,43,0,5,0,1,91,62,9,0,10,35,73,70,0,0,4,8,0,0,10,135,64,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,31,120,136,0,0,0,33,122,28,211,0,0,0,0,40,49,82,0,77,58,144,2,0,68,82,0,47,51,0,0,11,56,645,910,0,0,170,0,107,184,0,12,63,118,0,129,377,478,0,89,447,765,32,405,10,0,200,89,224,212,16,24,94,129,257,253,9,10,0,44,4,0,0,0,124,155,125,5,0,0,102,290,205,113,0,0,6,5,105,45,79,0,5,276,19,0,6,141,577,306,4,31,71,68,54,0,0,74,4,88,78,0,0,233,0,8,48,31,62,158,36,19,31,47,135,136,0,0,1,0,0,0,56,72,100,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,140,1107,1135,12,0,59,300,733,5,633,0,51,0,310,156,259,706,0,838,785,485,25,0,303,420,11,815,450,0,0,2,23,560,390,0,0,265,64,144,319,0,80,281,389,0,173,421,419,0,466,249,461,25,304,14,7,123,224,972,942,14,16,28,458,978,1166,107,63,6,19,17,0,4,0,257,358,462,11,0,24,409,808,588,482,0,0,0,18,561,305,401,7,12,607,62,0,0,125,620,309,0,0,212,407,222,29,11,100,86,325,354,3,0,347,0,54,35,106,440,683,92,16,134,170,599,482,0,7,236,41,32,105,163,738,501,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium,49,423,712,13,0,73,92,947,0,595,0,0,0,0,234,656,1565,5,1084,1116,496,0,0,270,337,11,437,353,7,5,2,99,896,806,0,0,147,0,59,184,0,40,167,375,0,140,359,363,7,171,281,752,51,756,20,2,96,287,925,1027,9,0,92,682,1322,1375,187,53,6,35,31,0,0,5,342,444,515,10,22,24,1184,2705,1727,761,3,6,0,41,592,277,401,3,0,1828,109,3,0,198,525,370,5,3,95,174,158,0,0,161,54,369,435,5,0,200,0,46,18,86,282,528,68,0,55,161,569,459,0,4,62,10,0,116,252,713,1066,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5,121,384,571,24,4,0,73,402,0,547,0,46,0,0,4,11,47,0,0,1,555,13,4,314,505,2,163,117,0,0,5,2,300,345,0,0,290,59,34,486,0,84,392,285,0,29,123,124,0,6,206,99,4,61,0,0,17,67,136,177,12,6,1,105,173,200,42,9,3,12,16,0,5,22,154,80,68,8,20,0,61,119,112,99,4,0,9,15,467,104,170,11,2,68,22,0,0,155,115,65,0,0,0,29,15,3,0,50,10,113,72,3,0,211,0,16,74,23,81,114,24,0,0,44,86,62,0,0,2,0,0,0,76,124,121,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6,21,70,65,0,0,0,36,148,0,192,0,0,0,0,22,49,60,0,119,42,207,16,0,125,151,0,30,7,0,0,0,12,90,61,0,0,43,0,10,76,0,21,56,54,0,47,73,64,0,21,32,517,15,170,4,0,75,17,33,20,0,0,0,8,9,18,2,0,0,14,0,0,0,0,31,18,14,7,2,22,147,263,289,48,0,5,18,0,0,0,0,2,0,17,22,0,0,0,6,12,0,0,23,20,18,0,0,54,15,62,47,0,0,195,0,0,14,0,5,6,0,0,0,154,276,164,0,15,20,23,0,14,45,494,268,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9,67,890,887,8,3,0,101,1562,3,1446,14,90,0,0,304,481,1164,0,908,807,1057,22,96,527,820,13,516,507,10,1,12,68,1127,812,0,0,417,0,122,488,0,164,294,784,0,131,806,843,2,218,654,1030,36,513,8,0,275,274,1016,1211,45,14,159,973,1892,2659,235,69,0,36,25,0,2,16,493,551,847,13,8,65,894,1316,1023,870,10,4,13,0,1260,501,711,3,12,2688,163,12,0,385,1704,622,2,0,209,459,434,32,4,262,247,874,884,8,2,3003,4,56,115,110,810,1509,237,15,201,332,1265,972,2,18,107,41,0,85,276,626,1005,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group,0,0,3,0,0,0,0,0,0,4,0,0,0,0,7,8,14,0,4,3,13,0,0,2,5,0,10,0,0,0,0,0,14,10,0,0,4,0,0,11,0,18,12,5,0,6,3,3,0,0,0,21,0,2,0,0,0,18,6,7,0,0,0,4,8,5,6,0,0,3,0,0,0,0,10,4,6,0,0,0,0,8,7,6,0,0,0,0,11,11,11,0,0,8,0,0,0,2,0,3,0,0,7,0,2,18,0,18,0,3,9,0,0,23,0,0,0,8,2,2,0,0,0,0,6,0,0,0,0,0,0,0,3,13,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009,45,170,172,0,0,0,2,222,0,97,0,0,0,0,42,130,118,0,196,61,189,12,0,162,257,4,154,149,3,0,0,5,192,57,0,0,119,24,19,220,0,14,145,73,0,48,181,84,0,0,189,119,15,42,0,0,0,48,180,79,0,0,0,54,174,72,21,0,0,12,7,0,0,0,19,70,52,3,0,0,46,238,63,36,0,0,0,5,138,115,64,5,0,113,0,0,0,44,151,52,4,0,26,37,14,0,0,0,3,69,75,0,0,46,0,0,0,8,44,42,3,52,0,6,142,54,0,0,0,0,0,0,49,169,68,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010,4,8,21,0,0,23,9,0,0,8,0,0,0,0,49,32,35,0,7,23,27,0,0,36,26,0,7,11,0,0,0,31,21,12,0,0,60,0,6,37,0,51,43,26,0,35,15,19,0,33,5,15,4,9,0,0,0,24,16,3,5,3,0,81,13,17,25,0,0,0,2,0,0,0,34,16,17,0,0,0,25,27,31,9,0,0,4,0,135,31,25,0,0,0,0,0,0,72,64,21,3,0,13,10,6,0,0,4,50,108,32,0,0,19,0,2,0,29,8,27,3,0,0,56,59,57,0,0,0,10,0,0,35,15,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014,162,163,329,5,0,18,21,177,0,515,0,0,0,0,421,477,389,0,76,82,176,0,0,98,74,6,72,62,0,0,0,306,668,522,4,0,131,0,65,153,0,162,359,430,0,282,139,181,0,58,130,687,141,548,30,0,309,346,325,271,0,14,58,84,107,132,64,24,2,83,11,0,0,0,113,121,178,2,0,0,17,86,147,172,0,0,104,100,1256,850,594,2,48,76,0,0,0,97,98,119,0,0,69,63,82,7,0,68,66,84,112,0,0,1453,4,53,207,91,77,218,45,0,0,104,157,128,5,0,14,0,0,42,233,190,409,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,0,3,12,0,0,0,0,3,0,7,0,0,0,0,12,6,0,0,18,47,5,0,0,7,3,0,13,12,0,0,0,0,32,64,0,0,7,0,0,0,0,36,38,59,0,6,17,5,0,0,0,35,5,27,0,0,0,15,14,12,0,0,0,36,34,98,6,6,0,0,0,0,0,0,40,14,32,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,50,10,0,0,68,30,29,0,0,12,7,2,0,0,0,12,3,30,0,0,68,0,0,0,11,2,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
