#OTU ID,IL17.DTT.115,IL17.DTT.116,IL17.DTT.117,IL17.DTT.118,IL17.DTT.119,IL17.DTT.120,IL17.DTT.127,IL17.DTT.128,IL17.DTT.129,IL17.DTT.130,IL17.DTT.131,IL17.DTT.132,IL17.DTT.143,IL17.DTT.144,IL17.DTT.139,IL17.DTT.140,IL17.DTT.141,IL17.DTT.142,IL17.DTT.188,IL17.DTT.189,IL17.DTT.201,IL17.DTT.202,IL17.DTT.203,IL17.DTT.199,IL17.DTT.200,IL17.DTT.217,IL17.DTT.218,IL17.DTT.219,IL17.DTT.220,IL17.DTT.221,IL17.DTT.222,IL17.DTT.25,IL17.DTT.26,IL17.DTT.27,IL17.DTT.28,IL17.DTT.29,IL17.DTT.105,IL17.DTT.106,IL17.DTT.103,IL17.DTT.104,IL17.DTT.53,IL17.DTT.49,IL17.DTT.50,IL17.DTT.51,IL17.DTT.52,IL17.DTT.85,IL17.DTT.86,IL17.DTT.87,IL17.DTT.88,IL17.DTT.89,IL17.DTT.90,TKO.DTT.1,TKO.DTT.2,TKO.DTT.3,TKO.DTT.4,TKO.DTT.5,TKO.DTT.6,TKO.DTT.43,TKO.DTT.44,TKO.DTT.45,TKO.DTT.46,TKO.DTT.47,TKO.DTT.48,TKO.DTT.31,TKO.DTT.32,TKO.DTT.33,TKO.DTT.34,TKO.DTT.35,TKO.DTT.16,TKO.DTT.17,TKO.DTT.18,TKO.DTT.22,TKO.DTT.23,TKO.DTT.24,TKO.DTT.19,TKO.DTT.20,TKO.DTT.21,TKO.DTT.58,TKO.DTT.59,TKO.DTT.60,TKO.DTT.55,TKO.DTT.56,TKO.DTT.57,TKO.DTT.69,TKO.DTT.70,TKO.DTT.71,TKO.DTT.72,TKO.DTT.78,TKO.DTT.73,TKO.DTT.74,TKO.DTT.75,TKO.DTT.76,TKO.DTT.77,TKO.DTT.87,TKO.DTT.88,TKO.DTT.89,TKO.DTT.90,TKO.DTT.91,TKO.DTT.92,TKO.DTT.93,TKO.DTT.94,TKO.DTT.95,TKO.DTT.103,TKO.DTT.104,TKO.DTT.105,TKO.DTT.106,TKO.DTT.107,TKO.DTT.108,TKO.DTT.109,TKO.DTT.110,TKO.DTT.111,TKO.DTT.112,TKO.DTT.113,TKO.DTT.123,TKO.DTT.124,TKO.DTT.125,TKO.DTT.126,TKO.DTT.127,TKO.DTT.128,TKO.DTT.129,TKO.DTT.130,TKO.DTT.131,TKO.DTT.132,TKO.DTT.139,TKO.DTT.140,TKO.DTT.141,TKO.DTT.142,TKO.DTT.143,TKO.DTT.144,TKO.DTT.154,TKO.DTT.155,TKO.DTT.156,TKO.DTT.151,TKO.DTT.152,TKO.DTT.153,taxonomy
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,47,322,424,0,0,0,231,212,0,300,0,0,0,0,232,557,917,2,142,168,348,0,0,180,194,10,152,172,0,0,0,100,497,663,0,0,241,0,3,285,0,27,118,97,0,54,226,240,0,30,469,294,34,213,25,9,59,236,542,334,0,27,56,107,138,115,30,0,0,35,11,0,9,9,110,382,385,4,0,25,268,327,300,999,0,6,76,21,1082,1475,1016,14,2,522,45,8,0,105,380,301,1,0,118,272,207,20,3,269,110,372,419,4,0,612,0,42,55,44,291,346,102,0,0,262,990,1141,7,13,56,22,0,24,127,669,648,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0,0,0,0,0,0,11,0,0,2,0,0,0,5,4,0,0,8,0,0,0,0,68,0,0,0,0,0,0,0,12,0,0,0,0,15,6,26,5,0,136,0,4,2,0,19,23,2,20,14,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,2,0,0,14,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,21,50,9,107,0,0,95,176,4,13,0,0,2,7,0,0,2,0,0,0,0,0,0,3,0,0,0,7,21,10,0,0,0,47,295,20,4,426,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,31,3,0,9,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,4479,3216,3433,17850,6011,2924,2831,3000,8660,7941,6628,10637,0,94,1417,1212,2027,423,269,1067,1751,170,4034,984,857,287,2520,1313,12324,3582,5950,336,255,478,1211,2738,1401,5703,953,920,1427,1773,1177,1927,1798,1488,553,1528,955,5881,5104,971,86,841,912,8569,4746,418,239,270,749,10395,3892,880,585,466,1057,3584,2300,828,1301,446,518,678,1132,355,1525,512,478,520,601,526,1260,369,18,483,660,711,825,406,529,578,634,3491,164,1274,391,722,149,383,2377,11300,4731,2342,3229,459,2128,4952,381,414,882,265,2975,769,117,643,2497,2874,638,4008,6176,5551,1693,1425,1320,2492,1938,1939,726,8456,16202,10546,706,146,588,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,2,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,3,13,0,0,0,10,71,0,0,0,0,0,32,4,289,0,2,0,4,80,0,21,0,0,74,0,0,0,4,0,2,0,0,0,0,0,0,4,8,132,0,3,2,6,58,868,214,0,2,6,109,173,5,5,5,2,0,0,0,2,0,0,0,26,0,0,5,7,0,376,548,4,0,0,0,14,38,6,4,46,0,0,0,0,43,335,15,0,0,0,14,5,0,2,0,4,98,8,2,27,233,0,0,0,66,254,16,0,0,7,5,12,0,31,387,19,3,2,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0,7,31,0,0,0,26,5,0,44,0,15,0,0,18,26,77,0,0,22,28,0,0,6,12,20,4,4,20,8,7,35,24,45,0,0,22,0,0,8,0,14,7,17,0,28,2,45,0,0,15,12,22,21,0,0,0,29,8,24,0,27,0,21,11,80,0,0,0,3,0,0,0,0,11,6,31,0,0,0,0,15,32,26,0,0,0,0,59,8,19,0,0,40,0,0,0,0,4,9,0,0,52,8,12,0,0,32,2,13,38,0,0,139,0,18,11,22,2,24,0,0,0,35,21,26,0,0,0,0,0,6,34,2,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,175,3,5,759,61,4,433,23,28344,51,269,211,24681,35665,47,9,39,111432,12,5,48,105379,46692,22,23,7,5,29,32477,959,812,162,140,316,139019,76584,6,4057,10,5,16398,70,25,88,109108,19,12,51,84368,160,39,109,4,13,53611,8160,10,13,7,6,60187,32347,48,3,81,321,57128,26472,19908,5804,51,29366,1887,217,201,12,90,20144,2286,173,198,19,14,1761,94884,98060,11645,1336,6,20,7,62989,18933,36,98954,47751,12503,7,9,19,32092,3,70,26,17,43344,8375,4255,49,15,36,52819,27149,30,74297,41540,13570,6,7,6,24306,3580,83,4,14,6,11,3,0,5,0,3,4,6,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,15,21,0,0,0,0,30,0,65,0,0,0,0,3,15,17,0,39,56,61,0,0,33,68,0,8,17,0,4,3,0,60,82,0,0,15,0,0,14,0,5,16,28,5,8,26,38,4,0,66,24,3,28,0,0,31,7,52,37,0,0,59,45,47,55,10,0,0,3,0,0,0,0,141,220,206,0,0,17,200,187,166,18,0,0,0,0,5,20,21,0,0,37,4,0,0,26,37,29,0,0,33,165,6,0,0,0,54,96,296,2,0,2377,0,28,45,24,39,99,205,0,0,15,20,38,0,10,14,0,0,0,0,21,32,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,68,187,0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,48,137,148,0,0,0,16,877,97,221,0,31,0,0,0,0,90,46,73,4,11,146,53,47,0,0,22,0,0,0,0,0,406,0,0,6,2,0,0,9,0,0,40,57,85,0,0,14,0,0,28,20,14,59,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,
