	TL1a_DTT_169_Re_extracted	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_97	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_98	TL1a_DTT_170	TL1A_DTT_638	TL1A_DTT_639	TL1A_DTT_687
TL1a_DTT_169_Re_extracted	0.0	4.609201843106643	3.6544187381924593	4.55202774761016	4.6856896778224515	3.2793183192467263	4.041214891383302	5.9029553035242435	4.08324074921135	4.456846411160052	3.237890604153055	4.419831122678306	4.240604896325546	4.833836744709672	3.911330229539526	4.640323606178639	4.175830818025022	4.65302088015655	4.190545779169912	3.6124303532314572	3.7313581196121883	5.052189847167842	3.577384855320362
TL1a_DTT_139	4.609201843106643	0.0	0.9810424034731728	0.11647550867311048	0.20165662937139528	2.0941689924992493	1.6209833913241043	3.2279059370060024	1.2900037645158722	0.21744597498419593	2.4173762253701514	0.3163423870532645	0.5141149834689307	2.627198483595805	0.8142156688354301	0.20173056538314343	0.44441517054478497	0.24258921917057955	0.46670175086868276	1.115831003243978	1.2585774580357176	0.8423251719996403	1.365942877807652
TL1a_DTT_171	3.6544187381924593	0.9810424034731728	0.0	0.9249299055523837	1.040688353709764	1.6321951216218418	1.5527125363093548	3.6213909721891544	1.2887166648478012	0.8278022380804827	1.9463276243883414	0.7984766482931016	0.6187996425037473	2.777490328265535	0.3768455534247557	1.0635791288423944	0.5969916350966271	1.0604127704143824	0.565058440273475	0.5020906081688754	0.7567949408754309	1.5310456668755372	0.7171469521828749
TL1a_DTT_74	4.55202774761016	0.11647550867311048	0.9249299055523837	0.0	0.2811347392046358	2.0221443568820927	1.5459248646555839	3.199161705949374	1.221734270344567	0.11360390719363986	2.3370639946225373	0.3585125245498361	0.5128710793102966	2.5794200050211145	0.7980598724348785	0.27808098911813317	0.4174943056931387	0.18801522200694576	0.45571081024600085	1.0263005203432873	1.2729495719311537	0.9506744512348156	1.3648443529351881
TL1a_DTT_141	4.6856896778224515	0.20165662937139528	1.040688353709764	0.2811347392046358	0.0	2.2721804322371097	1.8189246892728317	3.407996293012963	1.4885324811864769	0.3494616041285098	2.597090661049213	0.28940263320980686	0.481033944606813	2.8259690100064345	0.8151397624126289	0.34707217921874084	0.5583977686616464	0.41129274283249384	0.4985206162428633	1.2429200462840408	1.2266616296916957	0.6881523802879489	1.3390847265431993
TL1a_DTT_241	3.2793183192467263	2.0941689924992493	1.6321951216218418	2.0221443568820927	2.2721804322371097	0.0	0.8137335399622884	2.7181529138241967	0.9672850152902028	1.9596219464241353	0.39036920498881306	2.1131276366491343	2.081295130605546	1.6602030232450653	1.9380007075057035	2.053955885993918	1.7642830610549711	2.006031106047565	1.9359288869211273	1.2335383449233344	2.174128935671087	2.8176076563041876	2.1486944061999886
TL1a_DTT_243	4.041214891383302	1.6209833913241043	1.5527125363093548	1.5459248646555839	1.8189246892728317	0.8137335399622884	0.0	2.195904188910906	0.34907101256902634	1.5090209099679581	1.006491749201189	1.7536743932690873	1.7938387191349257	1.2637987031528797	1.7881629043417064	1.5683001747038574	1.4395424374101446	1.4638162470588538	1.6429675498720333	1.1204412851858685	2.1706917617529204	2.403290807074389	2.191865051569642
TL1a_DTT_205	5.9029553035242435	3.2279059370060024	3.6213909721891544	3.199161705949374	3.407996293012963	2.7181529138241967	2.195904188910906	0.0	2.3564003312975914	3.2311236064392075	2.7255420222892472	3.4739263998266816	3.6259602992297086	1.0731646126006913	3.7406979548613646	3.104593216339316	3.271051245365846	3.038220956775106	3.482076236569168	3.2618127179001246	4.114013027052147	3.796103820838837	4.199588132260998
TL1a_DTT_206	4.08324074921135	1.2900037645158722	1.2887166648478012	1.221734270344567	1.4885324811864769	0.9672850152902028	0.34907101256902634	2.3564003312975914	0.0	1.1898990328863204	1.2447214496028653	1.4174796893005688	1.4711489482229583	1.4951200121864852	1.4834197310466108	1.2288753833066415	1.1061825505072518	1.1488666824734441	1.3161525039173039	0.9171332661318731	1.873433762326767	2.0587054693872298	1.9128293842812565
TL1a_DTT_62	4.456846411160052	0.21744597498419593	0.8278022380804827	0.11360390719363986	0.3494616041285098	1.9596219464241353	1.5090209099679581	3.2311236064392075	1.1898990328863204	0.0	2.2708283576393966	0.36081078238703623	0.46280312125893824	2.581615701347733	0.72763975641972	0.3717821214247912	0.3676381478327674	0.2566322846898972	0.4008368298852594	0.9260129543544209	1.2240749110412326	1.025715294768074	1.3015683151394597
