MGB001	COG2509	K01593	COG0076															
MGB002	K01593	COG0076	K00492															
MGB003	bactNOG26316	proNOG30191	K00543	COG0500														
MGB004	K00453	K00463	bactNOG12453	COG3483	K01432	K07130	COG1878											
MGB005	K01657	K01658	K13497	K13501	K13503	K00766	K13497	K01817	K13498	K13501	K01609	K13498	K13501	K01695	K01696	K06001		
MGB006	K00261	K00262																
MGB007	K00265	K00266	K00284															
MGB008	K00624	bactNOG82617	bactNOG02159															
MGB009	K01590	TIGR00541	bactNOG05829	bactNOG16627														
MGB010	K00276	bactNOG08340	bactNOG01662															
MGB011	COG3959	bactNOG01844	COG1063	bactNOG03269														
MGB012	K00505	TIGR01269	bactNOG14098	bactNOG20249	K01593	K01592	TIGR03811	TIGR03812	COG0076									
MGB013	NOG132553																	
MGB014	NOG133663																	
MGB015	K18427	K18428	K15760	K15761	K15762	K15763	K15764	K03150	bactNOG28876									
MGB016	K05797	K03380	K00448	K00449	TIGR02423	TIGR02422	K00448	TIGR02422	TIGR02423	K00449								
MGB017	firmNOG04290	firmNOG00626	bactNOG07881	bactNOG15341														
MGB018	K00486	bactNOG02592																
MGB019	K07250	K14268	K00823	K13524	K00613	K16871												
MGB020	K09470	K09471	K09472	K09473														
MGB021	K09251	K00137																
MGB022	K01580	bactNOG01793																
MGB023	K01014	K00545	K00274	K00276	K13371	K13372	bactNOG08340											
MGB024	K00274	K00276	K13371	K13372	bactNOG08340	K00128	K00129	COG1012										
MGB025	K00491	bactNOG12836	bactNOG51678															
MGB026	K00368	K15864	bactNOG10247	COG3303														
MGB027	K05916	bactNOG05056	bactNOG36984															
MGB028	K04561	K02305	bactNOG03766	bactNOG18192	K04561	bactNOG18192	bactNOG03766	K02305										
MGB029	K03695	TIGR03346	COG0542															
MGB030	bactNOG00014	bactNOG18519	bactNOG24711	bactNOG18630	bactNOG31116													
MGB031	COG0300	K07124																
MGB032	K03517	K00278	TIGR00550	TIGR00551	bactNOG02239	COG0029	K03517	TIGR00551	K03517	COG0029	TIGR00550	K00278	TIGR00550	COG0029	bactNOG02239	K00278	bactNOG02239	TIGR00551
MGB033	K00767	TIGR00078	bactNOG00441	K00969	bactNOG30464	bactNOG69335	K01916	K01950	TIGR00552	COG0171								
MGB034	K00826	TIGR01122	TIGR01123	COG0115	K00166	K00167	K11381	K09699	K00382	TIGR01350	K01073	K10806	bactNOG27043					
MGB035	K00826	TIGR01122	TIGR01123	COG0115	K01568	COG3961	K00128	bactNOG00852										
MGB036	K00789	TIGR01034	bactNOG02937															
MGB037	K01858	bactNOG06811	K01092	K18649	COG0483													
MGB038	K00010	TIGR04380	bactNOG07153															
MGB039	K00043	K08318	K18120	bactNOG10565														
MGB040	K01851	K02361	K02552	K04781	K02551	K08680	K02549	K01911	K01661	K12073	K19222	K02523	K00805	K02548	K03183			
MGB041	K11782	K11783	K11784	K11785	K02548	K03183												
MGB042	bactNOG04578	bactNOG62245	bactNOG02194	bactNOG48307	COG3321	bactNOG02194	bactNOG48307											
MGB043	K00656	K00169	K00170	K00171	K00172	K03737	K00625	K13788	K15024	K00925								
MGB044	K00656	K00169	K00170	K00171	K00172	K03737	K01905											
MGB045	K00656	K00169	K00170	K00171	K00172	K03737	K18118											
MGB046	K01568	K14519																
MGB047	K01895	bactNOG00947	bactNOG01259															
MGB048	K13923	K00932	K19697															
MGB049	K01667	TIGR02617	bactNOG02881															
MGB050	K00260	K15371	K00261	K00109	K01039	K01040	K01615											
MGB051	K01846	K19268	K04835															
MGB052	K00248	K00634	K00929															
MGB053	K00248	K01034	K01035	K19709														
MGB054	K01026																	
MGB055	K01847	K01849	K01848	K11942	K05606	K03416	K17489	K17490										
MGB056	K01908	K01659	K01720	K01682	K03417													
