KO	wilcoxon
ko00072	1.24732710859
ko00196	2.28950173222
ko00253	1.72328087371
ko00290	0.385686671735
ko00312	0.287213478952
ko00361	0.631869653694
ko00362	0.369274472938
ko00364	0.722136747079
ko00380	0.484159864519
ko00473	0.853434337457
ko00550	0.369274472938
ko00561	0.631869653694
ko00621	1.05038072302
ko00622	0.935495331443
ko00624	1.2021935619
ko00625	0.664694051288
ko00626	0.845228238058
ko00633	0.303625677749
ko00642	0.0246182981959
ko00791	0.0164121987972
ko00903	0.640075753093
ko00906	1.66583817792
ko00930	0.385686671735
ko00965	0.722136747079
ko00970	1.57557108454
ko00980	0.23797688256
ko00982	0.23797688256
ko00984	1.52223143844
ko01053	0.0984731927835
ko02010	1.1980905122
ko02020	0.262595180756
ko02030	0.320037876546
ko02040	0.369274472938
ko02060	0.164121987972
ko03020	2.69160060275
ko03070	0.065648795189
ko04122	0.336450075344
ko05111	0.131297590378
ko05131	0.763167244072
ko05150	0.873949585953
ko05204	0.820609939862
