KO	wilcoxon
ko00072	1.214502711
ko00196	1.1652661146
ko00253	1.8053418677
ko00290	0.467747665721
ko00312	0.0574426957904
ko00361	0.549808659708
ko00362	0.426717168728
ko00364	0.541602560309
ko00380	0.53339646091
ko00473	0.763167244072
ko00550	-0.172328087371
ko00561	0.467747665721
ko00621	1.14885391581
ko00622	0.869846536254
ko00624	0.18053418677
ko00625	0.459541566323
ko00626	0.77137334347
ko00633	0.246182981959
ko00642	-0.147709789175
ko00791	-0.123091490979
ko00903	0.869846536254
ko00906	1.01755632543
ko00930	0.426717168728
ko00965	0.508778162715
ko00970	1.56736498514
ko00980	0.29541957835
ko00982	0.262595180756
ko00984	1.59198328333
ko01053	0.155915888574
ko02010	1.08320512062
ko02020	0.155915888574
ko02030	0.336450075344
ko02040	0.352862274141
ko02060	0.131297590378
ko03020	2.71621890094
ko03070	0.0738548945876
ko04122	0.196946385567
ko05111	0.196946385567
ko05131	2.3592535771
ko05150	0.787785542268
ko05204	0.640075753093
