KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00072	0.990348403317	0.995314325013	4.59206102336e-90	0.990909090909	1.38983793878e-77	0.0658146878534	0.0823876256687
ko00196	0.0966985277867	0.312236602372	0.00289335034442	0.188784023637	0.0764316660941	0.0272754698617	0.102462286037
ko00253	0.986516993987	0.99327893809	2.87445082447e-83	0.976779026217	5.38119517526e-60	0.0694691324937	0.0600772766014
ko00290	0.993524692005	0.997521391517	4.48134746619e-102	0.993122233572	7.80820139003e-83	0.196183694316	0.185303634742
ko00312	0.985028397296	0.992549878083	2.4975485513e-81	0.985818862785	3.13905647898e-69	0.0358411574298	0.0316235937649
ko00361	0.993405899679	0.996704150812	1.0655152131e-96	0.983350357508	3.20661640919e-66	0.0862106463579	0.08084178096
ko00362	0.995952200158	0.997977528199	6.50684809189e-106	0.991607082057	4.36600022162e-79	0.210187960458	0.191066442039
ko00364	0.99431129876	0.997157905272	1.71142213766e-99	0.984201566224	3.32952994191e-67	0.0411535953859	0.0403852866526
ko00380	0.993298632606	0.996652765225	2.08624378459e-96	0.991913517194	8.71345092297e-80	0.157034415285	0.149102395055
ko00473	0.988122052093	0.994083791881	1.13809650542e-85	0.985171944161	2.15602822202e-68	0.0683412864474	0.0510358341149
ko00550	0.981679254225	0.991453115768	9.59654371507e-79	0.976166155941	1.64980012779e-59	0.244479421204	0.265311936291
ko00561	0.995286205937	0.997671069142	2.99245293797e-103	0.992815798434	5.16748762176e-82	0.195364380093	0.16660585227
ko00621	0.994819624752	0.997414109341	2.82446647692e-101	0.992083758938	3.46547952436e-80	0.152956782552	0.141890877008
ko00622	0.994571728007	0.997292904393	2.06636055902e-100	0.986891385768	1.04912518615e-70	0.15008451151	0.138436534129
ko00624	0.857592652735	0.929173613629	2.2866777181e-39	0.450410588686	9.47112399678e-06	0.0172602975065	0.0703431928012
ko00625	0.980809260423	0.991990990961	5.74147359572e-80	0.990381341505	1.60045893425e-76	0.128286591022	0.108651962682
ko00626	0.989860445078	0.994924829668	1.46892191217e-88	0.9860742254	1.43162604732e-69	0.084806970463	0.0726056473838
ko00633	0.99332263263	0.996666417545	1.74693637311e-96	0.989887640449	1.39756633427e-75	0.133235521922	0.123474200173
ko00642	0.994533699482	0.997264777644	3.23761657703e-100	0.984218590398	3.17811160976e-67	0.0762172544723	0.0729694711821
ko00791	0.994925904857	0.997460680903	1.28238037367e-101	0.968930881852	1.44429558982e-54	0.0227285745341	0.0293110071002
ko00903	0.989597313652	0.994807286882	3.96722624458e-88	0.989427987743	9.57148592228e-75	0.0618245255517	0.0583344352418
ko00906	0.760028312193	0.871981508036	1.00087682214e-28	0.80541769073	1.81732381864e-21	0.0219815645298	0.047574520486
ko00930	0.993424170309	0.996722045237	8.41145296755e-97	0.992594484168	1.92516055617e-81	0.0614103778749	0.0529329649783
ko00965	0.992119711211	0.996052215414	2.70062412431e-93	0.979366700715	3.32973290326e-62	0.0229665355341	0.0249577323981
ko00970	0.698617254093	0.927063274607	7.83728946519e-39	0.944501191692	7.84581422042e-44	0.59356139521	0.743001868926
ko00980	0.992232941217	0.996117108696	1.31500792651e-93	0.988304392237	7.56697270765e-73	0.0990139406623	0.0936207362788
ko00982	0.992411539867	0.996203183577	4.96828199231e-94	0.987674497787	7.31503459678e-72	0.0981371803018	0.0936145222757
ko00984	-0.0283285262159	0.0542499005688	0.613608254208	0.0570704635702	0.5952636957	0.000782167621443	0.00212774567563
ko01053	0.992850244112	0.996462129805	2.31241742333e-95	0.981562819203	2.60844793409e-64	0.12954814508	0.135047712017
ko02010	0.997485699478	0.99881055783	6.20067234968e-116	0.996305754171	1.51269924448e-94	1.69086434101	1.71586788804
ko02020	0.997734991893	0.998873559456	5.81945648933e-117	0.994841675179	2.97353104174e-88	1.49755827745	1.62627571929
ko02030	0.995846447715	0.997928368763	1.84769675626e-105	0.993411644535	1.21062022073e-83	0.410511544084	0.337490551184
ko02040	0.996030193667	0.998016812812	2.77433593433e-106	0.992730677562	8.61052873742e-82	0.75691576264	0.716499813064
ko02060	0.992524859376	0.996265311828	2.42705277054e-94	0.995045965271	5.14885431179e-89	0.929721132531	0.863982759644
ko03020	0.909038637393	0.961174630021	1.98936848881e-50	0.933248212462	1.8961064569e-40	0.0748872200959	0.0712750983377
ko03070	0.995211536841	0.997684665298	2.32026559928e-103	0.993632958801	2.75104950756e-84	0.438202982062	0.423989680554
ko04122	0.995994484752	0.997997132085	4.26123499997e-106	0.98937691522	1.17912898829e-74	0.260496677053	0.201199939327
ko05111	0.995017836371	0.99750968027	5.49990343528e-102	0.993292475315	2.63383215011e-83	0.108109197176	0.0919202269292
ko05131	0.986686824906	0.993972703515	2.55044182097e-85	0.563364088863	9.05767176752e-09	0.000516105092229	0.000945843780153
ko05150	0.992087992518	0.996164427497	7.72177140767e-94	0.987687213523	6.99570971194e-72	0.0117388382863	0.0112794251477
ko05204	0.993160095718	0.996574680639	5.67946451669e-96	0.98379298604	1.00239485044e-66	0.0881772178128	0.0898634725729
