Sample	Label
GnotoExpt.DTT552.S163	1
GnotoExpt.DTT535.S146	0
GnotoExpt.DTT480.S628	1
GnotoExpt.DTT541.S152	0
806rcbc381.S515	1
GnotoExpt.DTT570.S182	1
GnotoExpt.DTT564.S176	1
GnotoExpt.DTT565.S177	0
GnotoExpt.DTT607.S342	0
GnotoExpt.DTT534.S145	1
806rcbc450.S451	1
806rcbc447.S448	1
806rcbc562.S467	0
GnotoExpt.DTT456.S604	1
GnotobioticExp.DTT.193.S203	0
806rcbc530.S435	1
GnotoExpt.DTT451.S599	0
806rcbc454.S455	1
806rcbc375.S509	1
GnotobioticExp.DTT.180.S190	1
GnotoExpt.DTT600.S335	1
GnotobioticExp.DTT.186.S196	1
GnotobioticExp.DTT.199.S209	0
GnotoExpt.DTT390.S536	1
806rcbc493.S398	1
806rcbc567.S472	1
806rcbc550.S455	0
GnotoExpt.DTT612.S347	1
GnotobioticExp.DTT.204.S214	1
GnotobioticExp.DTT.205.S215	0
GnotoExpt.DTT457.S605	0
806rcbc488.S393	0
806rcbc444.S445	0
GnotoExpt.DTT486.S634	1
GnotoExpt.DTT601.S336	0
GnotoExpt.DTT613.S348	0
806rcbc519.S424	0
GnotoExpt.DTT463.S611	0
GnotobioticExp.DTT.181.S191	0
GnotoExpt.DTT462.S610	1
GnotoExpt.DTT547.S158	0
GnotobioticExp.DTT.192.S202	1
806rcbc376.S510	0
GnotoExpt.DTT475.S623	0
806rcbc524.S429	1
GnotoExpt.DTT474.S622	1
GnotoExpt.DTT385.S531	0
GnotoExpt.DTT469.S617	0
806rcbc561.S466	1
GnotobioticExp.DTT.198.S208	1
806rcbc499.S404	1
806rcbc555.S460	1
GnotoExpt.DTT606.S341	1
806rcbc429.S430	1
GnotoExpt.DTT391.S537	0
806rcbc494.S399	0
GnotoExpt.DTT481.S629	0
GnotoExpt.DTT559.S171	0
806rcbc362.S497	0
GnotoExpt.DTT618.S353	1
806rcbc432.S433	1
806rcbc370.S503	0
GnotoExpt.DTT468.S616	1
806rcbc525.S430	0
GnotoExpt.DTT546.S157	1
GnotoExpt.DTT540.S151	1
GnotobioticExp.DTT.175.S185	0
806rcbc556.S461	0
GnotoExpt.DTT553.S164	0
GnotoExpt.DTT595.S330	0
GnotobioticExp.DTT.210.S220	1
806rcbc531.S436	0
GnotoExpt.DTT558.S170	1
GnotobioticExp.DTT.187.S197	0
GnotobioticExp.DTT.308.fastq	0
GnotobioticExp.DTT.367.fastq	1
GnotobioticExp.DTT.319.fastq	1
GnotobioticExp.DTT.362.fastq	0
GnotobioticExp.DTT.325.fastq	1
GnotobioticExp.DTT.307.fastq	1
GnotobioticExp.DTT.320.fastq	0
GnotobioticExp.DTT.373.fastq	1
GnotobioticExp.DTT.379.fastq	1
GnotobioticExp.DTT.368.fastq	0
GnotobioticExp.DTT.313.fastq	1
GnotobioticExp.DTT.302.fastq	0
GnotobioticExp.DTT.314.fastq	0
GnotobioticExp.DTT.374.fastq	0
GnotobioticExp.DTT.380.fastq	0
