# /home/julianne/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'none', 'da_result_file': None, 'write_log': False, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'pathway', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'duo_dc_ko_tax.tsv', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': False, 'function_abun_file': 'duo_dc_ko_relab.tsv', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'duo_dc_labels.tsv', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00072	1.31639758289	1.11104023747	1.24732710859	0.212277581465	0.673095869048	0.0	0.0	0.0	0.0	ko00072
ko00196	0.034142704984	0.00039872917439	2.28950173222	0.0220502173781	1.65658712476	0.0	0.0	0.0	0.0	ko00196
ko00253	3.20961535956	2.89771373666	1.72328087371	0.0848377447966	1.07141088466	0.0	0.0	0.0	0.0	ko00253
ko00290	13.5289944586	14.0341567266	0.385686671735	0.699728734968	0.155070291042	0.0	0.0	0.0	0.0	ko00290
ko00312	0.666390703127	0.609422083579	0.287213478952	0.773948866211	0.111287731638	0.0	0.0	0.0	0.0	ko00312
ko00361	1.60946236518	1.52986131416	0.631869653694	0.527472054325	0.277800544511	0.0	0.0	0.0	0.0	ko00361
ko00362	6.99515932867	6.80154505264	0.369274472938	0.711923150692	0.147566884217	0.0	0.0	0.0	0.0	ko00362
ko00364	0.726262549784	0.692162617905	0.722136747079	0.470210407475	0.327707762581	0.0	0.0	0.0	0.0	ko00364
ko00380	4.44395645917	4.26910596627	0.484159864519	0.62827241839	0.201852005705	0.0	0.0	0.0	0.0	ko00380
ko00473	3.08344823792	2.9768282898	0.853434337457	0.393418486397	0.405145236812	0.0	0.0	0.0	0.0	ko00473
ko00550	19.2879981034	19.1736201476	0.369274472938	0.711923150692	0.147566884217	0.0	0.0	0.0	0.0	ko00550
ko00561	12.9988224635	12.1500002415	0.631869653694	0.527472054325	0.277800544511	0.0	0.0	0.0	0.0	ko00561
ko00621	3.62003650525	3.34867636231	1.05038072302	0.293543104891	0.53232811642	0.0	0.0	0.0	0.0	ko00621
ko00622	3.54988921031	3.30900611063	0.935495331443	0.349533088168	0.45651170596	0.0	0.0	0.0	0.0	ko00622
ko00624	0.112341520772	0.0636368142189	1.2021935619	0.229288543121	0.639617645156	0.0	0.0	0.0	0.0	ko00624
ko00625	4.37245413779	4.17347473365	0.664694051288	0.506246199429	0.295638224169	0.0	0.0	0.0	0.0	ko00625
ko00626	2.38486425482	2.21844037938	0.845228238058	0.397983419019	0.40013502134	0.0	0.0	0.0	0.0	ko00626
ko00633	4.17520704985	3.99813567845	0.303625677749	0.761413086563	0.118379663149	0.0	0.0	0.0	0.0	ko00633
ko00642	1.60304136816	1.62785603209	0.0246182981959	0.980359423873	0.00861467207599	0.0	0.0	0.0	0.0	ko00642
ko00791	0.379484574744	0.294067410642	0.0164121987972	0.986905547828	0.00572440966076	0.0	0.0	0.0	0.0	ko00791
ko00903	1.42976436855	1.36826682779	0.640075753093	0.522123351636	0.282226882809	0.0	0.0	0.0	0.0	ko00903
ko00906	0.0810010658388	0.0257052664557	1.66583817792	0.09574564976	1.01888094925	0.0	0.0	0.0	0.0	ko00906
ko00930	1.08532592409	1.06292923776	0.385686671735	0.699728734968	0.155070291042	0.0	0.0	0.0	0.0	ko00930
ko00965	0.361248888866	0.348632457054	0.722136747079	0.470210407475	0.327707762581	0.0	0.0	0.0	0.0	ko00965
ko00970	26.1791437494	25.535403523	1.57557108454	0.115124684347	0.938831547558	0.0	0.0	0.0	0.0	ko00970
ko00980	2.18783754016	2.18245054489	0.23797688256	0.811899024228	0.0904979805464	0.0	0.0	0.0	0.0	ko00980
ko00982	2.14534804262	2.15104647554	0.23797688256	0.811899024228	0.0904979805464	0.0	0.0	0.0	0.0	ko00982
ko00984	0.00101900308876	0.000199471287884	1.52223143844	0.127951100325	0.892955975013	0.0	0.0	0.0	0.0	ko00984
ko01053	3.26532869564	3.11122110171	0.0984731927835	0.921556557543	0.0354780062125	0.0	0.0	0.0	0.0	ko01053
ko02010	113.34570039	104.454881813	1.1980905122	0.230881782084	0.636610334093	0.0	0.0	0.0	0.0	ko02010
ko02020	72.643929746	71.6909252601	0.262595180756	0.792862614942	0.100802059519	0.0	0.0	0.0	0.0	ko02020
ko02030	12.609775812	12.0263769747	0.320037876546	0.748939617993	0.125553195157	0.0	0.0	0.0	0.0	ko02030
ko02040	18.9400406519	17.9058912782	0.369274472938	0.711923150692	0.147566884217	0.0	0.0	0.0	0.0	ko02040
ko02060	23.6763846786	23.1143372797	0.164121987972	0.869635112615	0.06066293338	0.0	0.0	0.0	0.0	ko02060
ko03020	4.09158515678	3.84519508457	2.69160060275	0.00711100477429	2.14806902978	0.0	0.0	0.0	0.0	ko03020
ko03070	22.0844090919	22.5774015509	0.065648795189	0.94765743993	0.0233486234571	0.0	0.0	0.0	0.0	ko03070
ko04122	9.50396766297	9.30651271711	0.336450075344	0.736531493404	0.132808678395	0.0	0.0	0.0	0.0	ko04122
ko05111	3.45257082755	3.41923151089	0.131297590378	0.895539897891	0.0479150607945	0.0	0.0	0.0	0.0	ko05111
ko05131	0.0042712861871	0.00121292641725	0.763167244072	0.445363661067	0.351285221612	0.0	0.0	0.0	0.0	ko05131
ko05150	0.179930115734	0.113277046143	0.873949585953	0.382145709119	0.417771012479	0.0	0.0	0.0	0.0	ko05150
ko05204	1.47772033861	1.39416134313	0.820609939862	0.411868484058	0.385241438739	0.0	0.0	0.0	0.0	ko05204
