KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00072	0.972289913022	0.986294919057	0.969526727954
ko00196	-0.11737655334	-0.0363702022248	0.22101862162
ko00253	0.952674884719	0.977996100046	0.968590398366
ko00290	0.987098355777	0.993876061307	0.987997957099
ko00312	0.968710723436	0.984393469883	0.977817500851
ko00361	0.991169049064	0.995576555437	0.975417092271
ko00362	0.993967518955	0.997039656194	0.98823629554
ko00364	0.990531622922	0.995267347975	0.974702076949
ko00380	0.993083824989	0.996542296742	0.992168879809
ko00473	0.952129833221	0.97813829907	0.94696969697
ko00550	0.952642593792	0.979040859516	0.977477017365
ko00561	0.989430867524	0.994889721983	0.986653047327
ko00621	0.991053336906	0.995543945809	0.985648621042
ko00622	0.991349277357	0.995678105175	0.983469526728
ko00624	0.874648933839	0.936783754573	0.575677568813
ko00625	0.965701092187	0.983539853706	0.981341504937
ko00626	0.982270809971	0.991337859412	0.977647259108
ko00633	0.987191586049	0.993604857241	0.98379298604
ko00642	0.993992935134	0.997001744925	0.983520599251
ko00791	0.993336099357	0.996668610388	0.96899897855
ko00903	0.975823790339	0.988235737832	0.976234252639
ko00906	0.747612310441	0.865004236928	0.86033445894
ko00930	0.993194496216	0.996617497128	0.992168879809
ko00965	0.992223513475	0.996105466382	0.978651685393
ko00970	0.880301383987	0.947624639398	0.974855294518
ko00980	0.987394432501	0.993702717233	0.972063329928
ko00982	0.992387354024	0.996190489339	0.987061627511
ko00984	0.713601783736	0.845952110406	0.391545909079
ko01053	0.992675134982	0.996370259361	0.981120190671
ko02010	0.997046131947	0.998534358964	0.994943820225
ko02020	0.997585449135	0.998806738594	0.993735103847
ko02030	0.994217418029	0.99713226442	0.990619679946
ko02040	0.995189764212	0.997598797005	0.990040858018
ko02060	0.992397426318	0.996209656363	0.99405856316
ko03020	0.588727654587	0.855239609108	0.890909090909
ko03070	0.992126784306	0.996292791392	0.989751447055
ko04122	0.992946356253	0.996534968096	0.980847803882
ko05111	0.992944344804	0.996572334211	0.988253319714
ko05131	0.961515338341	0.98185694892	0.398500975334
ko05150	0.923062397578	0.970859783297	0.976127749957
ko05204	0.989507360834	0.994753702712	0.97191011236
