"","names(shotgun_dat)"
"1","KO"
"2","BioGeo.Itg.02.FP407.S7"
"3","BioGeo.Itg.02.FP411.S11"
"4","BioGeo.Itg.04.FP419.S19"
"5","BioGeo.Itg.04.FP423.S23.Rep1_S87__kneaddata_paired_Abundance.RPKs"
"6","BioGeo.Itg.06.FP431.S32"
"7","BioGeo.Itg.06.FP435.S36"
"8","BioGeo.Itg.08.FP443.S44"
"9","BioGeo.Itg.08.FP447.S48"
"10","BioGeo.Itg.10.FP455.S57"
"11","BioGeo.Itg.10.FP459.S61"
"12","BioGeo.Itg.12.FP467.S69"
"13","BioGeo.Itg.12.FP471.S73"
"14","BioGeo.Itg.16.FP479.S81.Rep1_S86__kneaddata_paired_Abundance.RPKs"
"15","BioGeo.Itg.16.FP483.S86"
"16","BioGeo.Itg.18.FP491.S94"
"17","BioGeo.Itg.20.FP503.S6"
"18","BioGeo.Itg.20.FP507.S10"
"19","BioGeo.Itg.22.FP515.S18"
"20","BioGeo.Itg.22.FP519.S22"
"21","BioGeo.Itg.24.FP527.S30"
"22","BioGeo.Itg.24.FP531.S34"
"23","BioGeo.Itg.26.FP539.S43"
"24","BioGeo.Itg.26.FP543.S47"
"25","BioGeo.LYZFP303"
"26","BioGeo.LYZFP307"
"27","BioGeo.LYZFP315"
"28","BioGeo.LYZFP319"
"29","BioGeo.LYZFP327.Rep1_S105__kneaddata_paired_Abundance.RPKs"
"30","BioGeo.LYZFP339"
"31","BioGeo.LYZFP351.Rep1_S106__kneaddata_paired_Abundance.RPKs"
"32","BioGeo.LYZFP355"
"33","BioGeo.Lyz2.01B.FP207.S55"
"34","BioGeo.Lyz2.01B.FP211.S59"
"35","BioGeo.Lyz2.02B.FP219.S67"
"36","BioGeo.Lyz2.02B.FP223.S71"
"37","BioGeo.Lyz2.03B.FP231.S79"
"38","BioGeo.Lyz2.03B.FP235.S83"
"39","BioGeo.Lyz2.04B.FP243.S92"
"40","BioGeo.Lyz2.04B.FP247.S44"
"41","BioGeo.Lyz2.05B.FP255.S52"
"42","BioGeo.Lyz2.05B.FP259.S56"
"43","BioGeo.Lyz2.06B.FP267.S64"
"44","BioGeo.Lyz2.06B.FP271.S69"
"45","BioGeo.Lyz2.07B.FP279.S77"
"46","BioGeo.Lyz2.07B.FP283.S81"
"47","BioGeo.Lyz2.08B.FP291.S89"
"48","BioGeo.Lyz2.08B.FP295.S93"
"49","BioGeo.Mouse10A_FP109"
"50","BioGeo.Mouse10A_FP113"
"51","BioGeo.Mouse1A_FP01"
"52","BioGeo.Mouse1A_FP05"
"53","BioGeo.Mouse2A_FP07"
"54","BioGeo.Mouse2A_FP11.REP1_S55__kneaddata_paired_Abundance.RPKs"
"55","BioGeo.Mouse3A_FP13"
"56","BioGeo.Mouse3A_FP17"
"57","BioGeo.Mouse4A_FP23.Rep1_S92__kneaddata_paired_Abundance.RPKs"
"58","BioGeo.Mouse5A_FP25"
"59","BioGeo.Mouse5A_FP29.REP1_S53__kneaddata_paired_Abundance.RPKs"
"60","BioGeo.Mouse6A_FP31"
"61","BioGeo.Mouse6A_FP35.Rep1_S93__kneaddata_paired_Abundance.RPKs"
"62","BioGeo.Mouse7A_FP37"
"63","BioGeo.Mouse7A_FP41.REP1_S54__kneaddata_paired_Abundance.RPKs"
"64","BioGeo.Mouse8A_FP85"
"65","BioGeo.Mouse8A_FP89"
"66","BioGeo.Mouse9A_FP101"
"67","BioGeo.Mouse9A_FP97"
"68","BioGeo.SLCFP001"
"69","BioGeo.SLCFP005.REP1_S24__kneaddata_paired_Abundance.RPKs"
"70","BioGeo.SLCFP019a"
"71","BioGeo.SLCFP023.REP1_S26__kneaddata_paired_Abundance.RPKs"
"72","BioGeo.SLCFP071.REP1_S27__kneaddata_paired_Abundance.RPKs"
"73","BioGeo.SLCFP077"
"74","BioGeo.SLCFP091.REP1_S29__kneaddata_paired_Abundance.RPKs"
"75","BioGeo.SLCFP095"
"76","BioGeo.SLCFP109"
"77","BioGeo.SLCFP113"
"78","BioGeo.SLCFP127"
"79","BioGeo.SLCFP131.REP1_S33__kneaddata_paired_Abundance.RPKs"
"80","BioGeo.TL1A_FP_625.REP1_S16__kneaddata_paired_Abundance.RPKs"
"81","BioGeo.TL1A_FP_629"
"82","BioGeo.TL1A_FP_637"
"83","BioGeo.TL1A_FP_641"
"84","BioGeo.TL1A_FP_673.REP1_S20__kneaddata_paired_Abundance.RPKs"
"85","BioGeo.TL1A_FP_677.REP1_S21__kneaddata_paired_Abundance.RPKs"
