	TL1a_DTT_268_Repeat	TL1a_DTT_269_Repeat	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_DTT_270_Repeat	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_286	TL1a_DTT_232	TL1A_DTT_629	TL1A_DTT_630	TL1A_DTT_628
TL1a_DTT_268_Repeat	0.0	1.4854630483594469	0.940302897019316	0.4848133777924562	1.8108490023272827	0.8711541612359209	1.5410207118320034	1.829442863542787	0.6257898283029619	0.2981608984718912	1.6423465357725073	3.347571583768425	1.330424870647632	2.144846707793777	0.7665547402593893	2.914172574857583	3.953426331805458	2.7028312373475427	1.9592270666600196
TL1a_DTT_269_Repeat	1.4854630483594469	0.0	1.6136982652628913	1.3292539115161948	1.737960282242973	1.65516886783188	1.727974823816594	2.5041409339146243	1.2244934966977954	1.4003197085378611	2.776379614858769	2.7662585604876715	1.3959540452162382	1.3713028808198902	1.5117894366073947	2.1327772146154005	3.936258715424677	2.9307917178336274	2.264230132128486
TL1a_DTT_130_Repeat	0.940302897019316	1.6136982652628913	0.0	1.3555185503860778	0.9661036481147557	0.9184521345815406	0.6840545033137942	0.9818263529518095	0.7515725488987013	1.1432758163907335	1.385543184709916	2.780710524772462	0.5630494442139291	1.8843059104941673	0.20812175597001073	2.648939456885841	3.0917172696161375	1.765223097716025	1.0386127602455915
TL1a_DTT_196_Repeat	0.4848133777924562	1.3292539115161948	1.3555185503860778	0.0	2.123933790623896	1.1584232359958881	1.8932720494426938	2.289832752180125	0.8624781974764555	0.3277705670354688	2.0733195385545633	3.4960101311222775	1.6350209614894475	2.165304484561329	1.1731194308448643	2.9163734184698833	4.318210456243972	3.1142640783751943	2.358309989461167
TL1a_DTT_90_Repeat	1.8108490023272827	1.737960282242973	0.9661036481147557	2.123933790623896	0.0	1.5083867656330974	0.36240399618082303	1.092416910086393	1.3729133427034304	1.9354625222333872	1.9541052300733301	2.3609251486674596	0.504752430699618	1.7822974947786132	1.1192498219288651	2.482280293640655	2.3449109491923057	1.2163199153403632	0.7789227324913409
TL1a_DTT_198_Repeat	0.8711541612359209	1.65516886783188	0.9184521345815406	1.1584232359958881	1.5083867656330974	0.0	1.1868762162882134	1.5483725290054136	0.48190832664163974	0.8422088652086879	1.2088940319243473	3.576978535180347	1.1878377132310647	2.490767939039801	0.9195205232246627	3.312669593944815	3.336191375056126	2.3920977041035596	1.8407642950405219
TL1a_DTT_88_Repeat	1.5410207118320034	1.727974823816594	0.6840545033137942	1.8932720494426938	0.36240399618082303	1.1868762162882134	0.0	0.8856930295534671	1.1098505282904974	1.6712073350036971	1.6066401353047033	2.6347775398272515	0.4057265232569378	1.9397184136655088	0.8622093497868717	2.6826939596503245	2.469873674608935	1.320875193938887	0.8083449252490504
TL1a_DTT_89_Re_extracted	1.829442863542787	2.5041409339146243	0.9818263529518095	2.289832752180125	1.092416910086393	1.5483725290054136	0.8856930295534671	0.0	1.6266500855508337	2.038546252019405	1.220654708877314	2.9649450947434595	1.1445446220566005	2.526338086643924	1.1697242211610999	3.1815353330925698	2.42113548951044	1.0439630906479682	0.7138163003468756
TL1a_DTT_197_Repeat	0.6257898283029619	1.2244934966977954	0.7515725488987013	0.8624781974764555	1.3729133427034304	0.48190832664163974	1.1098505282904974	1.6266500855508337	0.0	0.6131426817000712	1.5704954610732915	3.2138269914481796	0.948273475616952	2.043442829060377	0.6747279199168555	2.866196391260025	3.470785316689684	2.394191003321671	1.734607590960273
TL1a_DTT_270_Repeat	0.2981608984718912	1.4003197085378611	1.1432758163907335	0.3277705670354688	1.9354625222333872	0.8422088652086879	1.6712073350036971	2.038546252019405	0.6131426817000712	0.0	1.7644802929990326	3.516370995730489	1.4654462139238522	2.246683784547433	0.9854136908978023	3.029448584452752	4.057282590425669	2.896125914247712	2.175716681633538
