	TL1a_FP_162	TL1a_FP_234	TL1a_FP_198	TL1a_FP_102	TL1a_FP_132	TL1a_FP_90	TL1a_FP_174	TL1a_FP_144	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_FP_246	TL1a_FP_270	TL1a_FP_78	TL1a_FP_210	TL1a_DTT_270_Repeat	TL1a_DTT_78	TL1a_DTT_234	TL1a_DTT_210	TL1a_DTT_246	TL1a_DTT_66	TL1A_DTT_642	TL1A_FP_678	TL1A_FP_630	TL1A_DTT_630
TL1a_FP_162	0.0	4.278176101150757	3.029764946437314	3.6843035214909468	3.133025952878268	2.7879086780740723	3.003608442214759	1.1243768031373036	3.4199609522253263	2.687701772435113	3.3814184791121353	2.747952642052066	2.5192801205817865	2.079377648266952	1.518244161312187	3.4076664262802256	3.821939056419494	2.8594371173947013	4.2029984725856675	1.2593949666547122	2.7373937756893545	2.3960276932980196	3.0010045701249526	2.7320494710786334	3.078682110830156	2.7539734451828664
TL1a_FP_234	4.278176101150757	0.0	3.85991007875244	1.7173447603435383	1.7991037972913022	1.6775410842064118	1.4756510044842295	3.4824709911603153	0.9784227390632266	3.182168776778397	1.5851462736242221	2.2883043381665074	1.7823561573973443	2.5576837369928818	3.747458608165054	2.0508950139131374	1.3192545125717177	1.562960742954043	0.8109782065163109	3.3695487064156158	1.8865961101445183	2.087424309276064	1.6221751523658448	1.7542113950025435	1.4092813704305498	1.9446807413692144
TL1a_FP_198	3.029764946437314	3.85991007875244	0.0	4.526954593698136	2.2264704568812523	3.4666721478426745	2.7677629971085898	3.389804960852986	3.010762138557282	4.654531259348665	3.9852575567350774	1.902705537188546	2.8256210087369955	1.8072136528147824	3.91397276865367	1.8674109809414747	2.883942494842697	3.441189487076512	4.349365451509005	3.071954717715847	3.6737585039836733	3.3483189141511756	3.7445251394462433	3.2486951731288816	3.6164270933747136	3.768563918644069
TL1a_FP_102	3.6843035214909468	1.7173447603435383	4.526954593698136	0.0	2.635517945564939	1.1729309893162811	1.8862798749590481	2.6592251285687936	1.8484304459942813	1.7019734493617007	1.121791572132483	2.8983839469161428	1.718113121827821	2.7873915250860506	2.758483231449521	3.094443421092356	2.538950793725675	1.1407372043523163	1.0259139287456724	2.7965559894102934	0.9905151105880887	1.4897403134087153	0.8077570181409716	1.5497583954071368	0.9167077049266871	0.9491161538079511
TL1a_FP_132	3.133025952878268	1.7991037972913022	2.2264704568812523	2.635517945564939	0.0	1.6551607796977013	1.2433306702489506	2.683958943704427	0.8953318605121682	3.250830520061283	1.9390104694248074	0.5265790761801409	1.3186613966210907	1.1632286006577057	3.060395126443858	0.6765985427989901	0.7720936340280768	1.6105266632193729	2.250573028413614	2.3388310082864545	2.029722558728307	1.734477538696716	1.9748529622690314	1.3825491840850113	1.7658280089032143	2.103692721399674
TL1a_FP_90	2.7879086780740723	1.6775410842064118	3.4666721478426745	1.1729309893162811	1.6551607796977013	0.0	1.203853038938087	1.8519542567069007	1.143979967934632	1.6894469278927624	0.7575246097364067	1.8006783845248329	0.777819570532452	1.7020644473371718	2.0742755241065787	2.195356267944472	1.814363799926346	0.14270958992311275	1.4340260709004355	1.8099539639049742	0.4832847658917886	0.43448338437272316	0.4707917256882261	0.44161020389685324	0.4139726895094096	0.4943104768746382
TL1a_FP_174	3.003608442214759	1.4756510044842295	2.7677629971085898	1.8862798749590481	1.2433306702489506	1.203853038938087	0.0	2.4244216168327104	0.8725227014664396	2.6858933843871853	1.7685052165373816	1.5086147620585522	0.6116432742138517	1.2930122495190373	2.876773131875679	1.4156587887088194	1.5203228354268024	1.088182210228792	1.7479884771045011	2.382504609437493	1.293573755512019	1.4119734767668368	1.2263412921713517	1.3073649991446388	1.0749035777725944	1.4224441383677144
TL1a_FP_144	1.1243768031373036	3.4824709911603153	3.389804960852986	2.6592251285687936	2.683958943704427	1.8519542567069007	2.4244216168327104	0.0	2.725085846192887	1.6111182922428464	2.379426189942364	2.4260558793105873	1.8389072526272523	1.8769949871126699	0.6349082727164432	3.122880825042664	3.2322680456106885	1.94840376089614	3.263115705317974	0.6343432944542328	1.7782216065265561	1.4404560760565126	2.0520459540121094	1.8530722957858299	2.164362247963543	1.7592616204205915
TL1a_FP_288	3.4199609522253263	0.9784227390632266	3.010762138557282	1.8484304459942813	0.8953318605121682	1.143979967934632	0.8725227014664396	2.725085846192887	0.0	2.8318018545658177	1.3346800559159286	1.3360242912162907	1.044290652560583	1.624736308792132	3.0474811510810755	1.313939044537985	0.7795964620231159	1.0493343302872076	1.3671037958289098	2.526481011115934	1.4863126712151642	1.4338257267781562	1.3264232142748649	1.053008184726731	1.0816713735341783	1.560590058904542
TL1a_FP_66	2.687701772435113	3.182168776778397	4.654531259348665	1.7019734493617007	3.250830520061283	1.6894469278927624	2.6858933843871853	1.6111182922428464	2.8318018545658177	0.0	1.8829659689055995	3.2356074098154695	2.170330625188649	2.884223659120294	1.4262523178875333	3.787704119093988	3.4811566408133605	1.786120789135367	2.617843718482316	1.9599432938895331	1.4288545240424109	1.5168536016637	1.6235927008228166	1.9281673127981473	1.842016258074387	1.31830576444753
