"","Bacteria_unclassified","Bacteroidetes","Candidatus_Kryptonia","Candidatus_Melainabacteria","Candidatus_Saccharibacteria","Cyanobacteria","Deferribacteres","Firmicutes","Proteobacteria","Tenericutes","Verrucomicrobia"
"Distal_Colon",498037,7990794,0,7620,50364,0,28077,7782976,515247,18402,276838
"Jejunum",308488,4550094,108,3183,48141,193,15365,9258754,756279,21835,81593
