"","Bacteria_unclassified","Bacteroidetes","Candidatus_Kryptonia","Candidatus_Melainabacteria","Candidatus_Saccharibacteria","Cyanobacteria","Deferribacteres","Firmicutes","Proteobacteria","Tenericutes","Verrucomicrobia"
"Distal_Colon",504338,10040266,0,6734,36524,0,37908,6162135,480823,29489,499762
"Jejunum",281970,5152641,63,1913,65308,113,36816,7480395,711872,12805,338646
