"","Bacteria_unclassified","Bacteroidetes","Candidatus_Saccharibacteria","Firmicutes","Proteobacteria","Tenericutes","Verrucomicrobia"
"Distal_Colon",1421323,7755054,13219,4612806,255042,161717,213364
"Jejunum",284972,362905,1127,2416585,225578,357,117938
