"","Bacteria_unclassified","Bacteroidetes","Candidatus_Melainabacteria","Candidatus_Saccharibacteria","Deferribacteres","Firmicutes","Proteobacteria","Verrucomicrobia"
"Distal_Colon",305349,7138401,13605,35874,124339,1854782,567883,0
"Jejunum",395589,12646804,274,196332,147492,8183905,1055073,389
