feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.03B.DTT33	4.19381002892459	3.09121165248697	0.385392915947996	1.2726961109489	-1.72178538070344	-1.74710318868773	-4.71751765425743	-0.756704484659852
Itg.18.DTT496.S91	4.93186551408408	2.98490101926972	0.988854214109329	0.456049683624563	-1.20837036322689	-1.66971592972951	-0.753425197855356	-5.73015894027593
Vil1.05B.DTT57	2.92342967956905	0.728792425797786	-0.547501040107777	6.54000304453605	-3.03240768989578	-1.24064822066772	-2.33926050933583	-3.03240768989578
Lyz2.07B.DTT281.S123	4.40495077262699	3.50892390607929	0.552425905092542	0.418410133674339	-1.99905523531813	-0.200075518116586	-4.44140227068733	-2.24417769335111
Vil1.010B.DTT117	3.74127810830067	2.38940356784966	0.422550244949103	2.0340600835351	-2.28549995615311	0.0303303635909593	-5.39901526536348	-0.933107146708898
Itg.10.DTT455.S49	5.3954067044105	3.84723122522047	1.37776668954764	1.10845439325619	-0.903481266058275	-0.711943054159396	-4.71014375582859	-5.40329093638854
Lyz2.05B.DTT260.S101	5.37027288269672	4.06721493694147	1.59670792967152	1.90339560493521	-1.23876530235213	-3.3982495517055	-3.80371465981367	-4.49686184037361
Lyz2.02B.DTT221.S61	5.33419021430212	4.01625405027109	1.06179513662529	0.101216724550018	-1.47117991620373	-0.610978650980622	-3.8690751890021	-4.56222236956205
Vil1.06B.DTT70	3.25619483371663	-1.18252714463379	-2.2811394333019	6.69297214781141	-2.2811394333019	-2.2811394333019	-2.2811394333019	0.357917896313356
Vil1.03B.DTT35	4.48690950521126	2.37633561955869	-0.12054722127603	2.29794498561296	-2.14149255627426	-2.34216325173641	-3.84624064851268	-0.710746432583533
Itg.10.DTT456.S50	5.27379331503455	3.2316463378429	1.43560682539507	-0.341553844411831	-0.75246855728756	0.186513585788666	-4.17019524090093	-4.86334242146087
Vil1.01B.DTT11	5.4393983047178	4.02069429027771	0.650578421316592	1.83978760533693	-1.75163651262629	-4.79615895034972	-4.10301176978977	-1.29965138888324
Lyz2.06B.DTT269.S111	4.5027210395686	2.82184497193009	1.00741670288932	0.375827415328811	-2.21942729162806	-1.23859803861633	-0.322307306742174	-4.92747749273027
Lyz2.03B.DTT232.S72	5.06770197064115	3.83503518318734	0.691958711237875	0.464429187980411	-1.84920574120022	-1.12865958645216	-4.73957749909638	-2.34168222629801
Vil1.09B.DTT105	3.56032623075129	2.02098728593318	-0.0245859880330974	3.90928161930887	-2.69104229183647	-0.793922306950589	-4.88826686917269	-1.0927776800005
Itg.20.DTT504.S99	5.30984250045434	3.4479016983751	2.00982004097507	-0.40097863665921	-1.11822336879822	-0.277918543901982	-4.13864825494258	-4.83179543550252
Itg.20.DTT505.S100	4.42065798494856	3.14467229929033	0.88241467693114	-1.04687459088813	-2.85805214597329	-1.26044869118619	2.4088959569071	-5.69126549002951
Itg.24.DTT530.S25	4.72674137036016	2.36631927302947	0.525265245573141	1.67781606366398	-2.08725252880751	-2.15624540029446	-4.79530272990972	-0.257341293615074
Vil1.06B.DTT72	3.27250370839302	-2.2608857803345	-2.2608857803345	7.29707870006	-2.2608857803345	-2.2608857803345	-2.2608857803345	0.73484649321949
Itg.24.DTT531.S26	5.79100181217202	1.74579908500671	-0.134381357540876	1.48128710464386	-1.76753579659229	-2.42146226399896	-4.29326444090055	-0.401444142789921
Vil1.04B.DTT43	3.85903089121788	2.72704091491875	0.210385566816172	2.67930488245722	-2.34813290031507	-2.34813290031507	-4.83303955010307	0.0535430953232026
Itg.24.DTT529.S24	5.33191977653564	4.06325260286797	1.47381634731623	-0.0211663195541645	-1.31552318534837	-0.372564206392053	-4.23329391743265	-4.92644109799259
Itg.04.DTT423.S15	5.85522983658707	2.94355727700285	0.806986747528064	0.532401213996129	-2.22909682154949	-1.16033749603107	-4.65684505749755	-2.09189570003601
Vil1.07B.DTT79	3.53326385391828	-1.51230949153925	-2.61092178020736	7.10182890593346	-2.61092178020736	-2.61092178020736	-2.61092178020736	1.32090385251696
Lyz2.06B.DTT272.S114	3.69042946973812	2.94136355839915	0.273732856339834	2.46826998244825	-1.92349172099639	-2.86176135958932	-4.36583875636559	-0.222704029974057
Itg.18.DTT492.S87	4.53596854808929	2.50118584488653	1.51095202132069	-0.319036154704278	-1.5040060119046	-1.39278037679437	0.614373397501658	-5.94665726839492
Vil1.014B.DTT164	3.41325358371936	2.03551613695338	0.131570186997095	1.58443439512544	-1.86635449701075	-2.09202649467832	-0.300267025450266	-2.90612628565593
Lyz2.04B.DTT246.S87	5.85507156788415	3.87428262039126	0.93040370844752	0.4730852387291	-1.74108889692089	-1.47282491032621	-3.61289107382248	-4.30603825438243
Lyz2.01B.DTT207.S47	4.76086225242209	3.45370521186092	0.399000250859091	1.0771095540545	-2.70708007986376	-0.871835498695971	-4.72198310040603	-1.38977859023083
Itg.26.DTT541.S37	5.27691727380594	4.04951342621961	1.57675078368641	0.278395873868706	-1.78084296049361	-0.0944440069233819	-4.30657160480187	-4.99971878536181
Itg.02.DTT409.S1	3.99675980043788	2.87229088163763	0.378179553724948	0.0267129548933543	-2.47881298209738	-0.949796636973856	-1.7412140389666	-2.10411953265597
Itg.22.DTT516.S11	5.27327203131726	3.26017919197525	1.42736383745287	-0.296573035436425	-1.51707514171357	-0.0254202649358544	-3.71429971904979	-4.40744689960974
Itg.20.DTT508.S3	5.14794438541711	4.59533417931571	2.21822844995613	0.936973525666451	-0.782330864346181	-2.17943614157029	-4.62178317693949	-5.31493035749944
Lyz2.06B.DTT270.S112	5.80099574678606	3.84648705293804	1.1823895475108	1.93192144748138	-1.7482243266638	-1.93927956342651	-4.19057136203301	-4.88371854259295
Itg.16.DTT482.S77	5.13147024726043	4.16717538889979	2.24621121256278	0.933627367311572	-0.805289620542103	-2.316747124616	-4.33165014515826	-5.02479732571821
Lyz2.04B.DTT243.S84	5.46669877932463	4.32253796720196	0.907478030850335	1.81724936259634	-1.60302416612663	-0.784713842612678	-4.716539475337	-5.40968665589695
Itg.06.DTT433.S26	5.73407587922569	4.2436147642492	0.872069813101809	0.886493140062914	-0.781929927392203	-1.3447152900889	-4.45823059929928	-5.15137777985922
Lyz2.03B.DTT236.S76	6.74971984534758	4.89626318089736	0.819997732075168	1.10141019151335	-3.96749401070688	-2.35805609827278	-3.27434683014693	-3.96749401070688
Vil1.04B.DTT46	4.3061455306309	3.05497703496869	0.815069997459293	1.49768707018933	-1.75127698426888	-2.42640565932615	-5.06546298894141	-0.430734000711771
Lyz2.02B.DTT224.S64	5.33094847449762	4.55211997352695	1.02489222138267	1.01302264582728	-1.46890337582258	-1.5430113479763	-4.10796070543784	-4.80110788599779
Itg.02.DTT407.S99	3.77758455101578	2.40877025022514	0.375302944714369	0.572066069348475	-2.42731806462429	-2.45201067721466	-1.79708470947491	-0.457310363989913
Lyz2.08B.DTT291.S133	4.37875492912341	3.16495251496925	0.91707612627145	0.893237095095398	-1.53652361889151	-1.9983416635508	-4.72837077137179	-1.0907846116454
Itg.24.DTT527.S22	5.15567564278197	3.44670973962343	1.26630180799723	0.744738584597603	-1.48130643127411	-0.503772074159235	-3.50945467856639	-5.11889259100049
Itg.26.DTT539.S35	4.69091782658195	3.88328728999119	0.433629114077931	0.433629114077931	-1.75533095340839	-1.83229199454452	-4.35802063885278	-1.49581975792331
Vil1.09B.DTT104	3.71734655061452	1.83875553528436	-0.151088643997841	3.38381372633128	-2.06347610101451	-0.418770049742952	-5.03389056658421	-1.27269045089065
Vil1.02B.DTT24	4.18787480504243	3.21379197442955	0.373490269178196	1.95844484944683	-2.16393441489325	-2.5992524861511	-4.30400057838952	-0.666414418663136
Vil1.02B.DTT21	4.66074773385763	3.01880350156504	0.874628145318635	1.64357828929408	-1.62032884032287	-2.17239742262291	-4.4236892212294	-1.9813421858602
