	Mouse5A.FP28	Mouse3A.FP16	Mouse7A.FP40	Mouse1A.FP05	Mouse3A.FP17	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.FP22	Mouse4A.FP23	Mouse6A.FP35	Mouse1A.FP06	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse5A.FP30	Mouse4A.FP24	Mouse10A.FP113	Mouse9A.FP102	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP89	Mouse9A.FP100	Mouse8A.FP88
Mouse5A.FP28	0.0	1.4311326977362706	2.3461140421330513	1.525357979637749	2.8209784113122103	1.0454355759733376	3.170393714459855	0.8461238694926798	0.8688834861914209	2.2495923503099964	0.6387163318596107	1.4774812137651092	1.0275783852043814	0.9593481392350733	1.1362189631378279	1.0266142278815684	2.3307338781026843	1.3169302336685351	0.8531470196924068	1.0320209610914457	0.6694299899970081	2.61425825548567	3.9441049599024787	3.657815756108717	3.600312292015585	2.5800454559691257	3.2568154526672073	2.9837283247598636	3.284186714278594	2.351054191339637
Mouse3A.FP16	1.4311326977362706	0.0	0.9375700715150836	0.12734756623928015	1.5413770213163072	1.3562873089792735	1.9674252421659713	1.2808733438658386	1.1853812952793135	0.8352943880126995	0.8166424502342942	0.359185443282297	0.719813185149022	1.334051941245289	0.5770247968116343	0.5065839692547844	1.0323987976733813	0.45743226538980664	0.9380815675244544	0.7635941395488585	1.0134657560642675	1.2349992967402004	2.7920469310210323	2.7450897771655725	2.337816731713576	2.2469316086220332	1.8272204499321165	1.6466234716890629	2.613987934624108	1.9682768440422311
Mouse7A.FP40	2.3461140421330513	0.9375700715150836	0.0	0.8589747356440475	0.7452844676321193	2.228766337347046	1.2074403108266494	2.0066209920315177	1.9031024391792406	0.46753507574721426	1.7123728431628449	0.9045966223688328	1.6134000746146933	2.2218146416454805	1.4566116705300676	1.434086857470349	0.40848537596895274	1.2707147744259355	1.8453349338550789	1.6510144342497848	1.828055463752562	0.7756044563204619	2.4495330329628917	2.685270796435696	1.4855129854222358	2.713154024747613	0.9411679432609656	1.1586968942720968	2.7931272494713326	2.450801288685183
Mouse1A.FP05	1.525357979637749	0.12734756623928015	0.8589747356440475	0.0	1.4717543658289438	1.4119406610145209	1.9047531529182724	1.348534181648986	1.2562635844175827	0.7376684917429103	0.9095954933264276	0.4046952190017559	0.7824438215759186	1.3920205975598463	0.6281908288493473	0.5878373741068388	0.958149865230792	0.4648008089827284	0.9942006652698715	0.8288337321378558	1.097443729148598	1.1504919659360524	2.691896290914263	2.6649391398638658	2.2740486240299997	2.2280785549413595	1.7354464142957582	1.5413062638205137	2.5604007504567887	1.9465280171098638
Mouse3A.FP17	2.8209784113122103	1.5413770213163072	0.7452844676321193	1.4717543658289438	0.0	2.8828163448538517	0.4642756085685388	2.2872175588566157	2.1894129470763195	1.1791875235303741	2.1894938047832277	1.3662644045308634	2.2537044657650758	2.8621647111941706	2.099584031563276	2.0440758662602603	0.5212815756191798	1.9152821763798942	2.4509665746996236	2.2987780164438854	2.2090916306944988	1.4009524364887525	2.861465858042998	3.2429146429748523	0.8173390497984045	3.4233927717975328	1.012100982611608	1.6268696833074128	3.446334999638257	3.157069286160411
Mouse2A.FP11	1.0454355759733376	1.3562873089792735	2.228766337347046	1.4119406610145209	2.8828163448538517	0.0	3.3139610404960775	1.646589052898779	1.6316272218681556	1.9364904946571768	1.0768815854258948	1.6272002220033985	0.6370843311177158	0.09514916856079679	0.7841121398451081	0.872994915169534	2.367056801371861	0.97730308990694	0.4978117009191603	0.5982980324973449	1.354876747209521	2.1682595158211697	3.178099918574547	2.754947880211393	3.683391267240962	1.5431568493514756	2.983492983432928	2.4557340603838855	2.293909247279618	1.3326186224634018
Mouse3A.FP18	3.170393714459855	1.9674252421659713	1.2074403108266494	1.9047531529182724	0.4642756085685388	3.3139610404960775	0.0	2.5623605849651074	2.46959398209267	1.6416700768783172	2.5534173724586724	1.7523409996388073	2.6826087322433834	3.2880603235429544	2.531940358781981	2.4632295277345273	0.9534459680296625	2.3531425389639065	2.8674638239603043	2.729266979509553	2.531347311900036	1.8374041586856262	3.1992035967150594	3.6420903729691347	0.4960622240892449	3.8828344815480538	1.2945246029865505	2.018280598318884	3.883736709649931	3.6159586918205666
Mouse4A.FP22	0.8461238694926798	1.2808733438658386	2.0066209920315177	1.348534181648986	2.2872175588566157	1.646589052898779	2.5623605849651074	0.0	0.12145699120227264	2.0560599416027365	0.661009102014696	1.1431514797964075	1.3142610058078161	1.561971501204397	1.3187834385413357	1.1601008572132727	1.8526799997144328	1.3754374085051642	1.2288590328619777	1.3551149673109748	0.3489812058112218	2.4919367227315496	3.9429745650067294	3.824230994438769	3.0284178587120127	3.0390922469102963	2.9331093669024995	2.8456024991161257	3.5996377531663293	2.769681492175594
Mouse4A.FP23	0.8688834861914209	1.1853812952793135	1.9031024391792406	1.2562635844175827	2.1894129470763195	1.6316272218681556	2.46959398209267	0.12145699120227264	0.0	1.9615994308112163	0.6031698217640419	1.0336373365849547	1.2610955396318637	1.5505199333153976	1.25742307976904	1.091175235667152	1.754455634980275	1.3090000249978648	1.201810990558843	1.3023794122053771	0.2904613196653394	2.396894647198061	3.8770255801295157	3.771493705232846	2.9308027118869004	3.009172606666771	2.8335152143943185	2.762561247206892	3.556123072429662	2.737955559357652
Mouse6A.FP35	2.2495923503099964	0.8352943880126995	0.46753507574721426	0.7376684917429103	1.1791875235303741	1.9364904946571768	1.6416700768783172	2.0560599416027365	1.9615994308112163	0.0	1.6454663670758494	0.9828450652525654	1.3715140705548108	1.9437503397806717	1.2138851019068693	1.2510464824947287	0.8046853331960715	1.013556650673705	1.6115756727002757	1.4032527481247437	1.8288854604264047	0.45476955167577204	2.1093073058083687	2.2561317584106204	1.8953282098969484	2.257796972360099	1.0530425456855572	0.8603487266063724	2.329180952078059	1.9998768203745765
