	Mouse1B.DTT15	Mouse5A.DTT27	Mouse1A.FP03	Mouse3A.FP15	Mouse2A.FP09	Mouse7A.FP39	Mouse4A.DTT21	Mouse4A.FP21	Mouse7A.DTT39	Mouse6A.DTT33	Mouse6A.FP33	Mouse5A.FP27	Mouse9A.DTT99	Mouse10A.FP111	Mouse10A.DTT111	Mouse8A.FP87	Mouse9A.FP99	Mouse8A.DTT87
Mouse1B.DTT15	0.0	0.8441038139027649	1.3098134764932334	1.2033772341587377	2.372771863365433	2.9722656367744746	0.5625289956532926	1.3552730761424168	1.907422821039519	1.2033601893024624	2.4692643687270515	1.0446535289638752	1.6991138039962808	0.5262954182125595	1.4224787212426653	2.23633396326003	2.296372697403317	1.9374617364864484
Mouse5A.DTT27	0.8441038139027649	0.0	0.7653705638495224	0.6492254681173866	2.1329300504157906	2.4333001717546017	0.523590226384154	1.1087078537286674	1.1851532119537567	0.3989800913187731	1.869687659311029	0.6318012074289265	2.445364035977134	0.7685578475402102	1.6988727382319257	2.5018291706518125	2.8135535347441616	2.4513483630249513
Mouse1A.FP03	1.3098134764932334	0.7653705638495224	0.0	0.44449392358450585	1.6763810629962257	1.9250730551539237	1.0163835482694041	0.765073103162416	0.8618849507780518	0.6074303704252915	1.397071814104957	0.3665779621576664	2.6498169677033547	1.42290632852216	2.3084957112416506	2.3177165017276344	2.796050464713921	2.423410756944932
Mouse3A.FP15	1.2033772341587377	0.6492254681173866	0.44449392358450585	0.0	1.5059860914275895	1.8213281625971431	1.0411561888314744	0.545001847554067	0.7347391823373002	0.6510555630424892	1.283898212990311	0.6376253099533141	2.482716137716523	1.350324192566211	2.322461828846988	2.1055212665277545	2.5912579940353297	2.238825208885037
Mouse2A.FP09	2.372771863365433	2.1329300504157906	1.6763810629962257	1.5059860914275895	0.0	1.0877405994683176	2.439258898498249	1.0635561774963498	1.5146223561313201	2.135278532823191	1.0958908160663885	1.9487617452766253	2.770449248460733	2.717453560526422	3.7223999083356336	1.4092152442576797	2.243479450944432	2.0291599043185746
Mouse7A.FP39	2.9722656367744746	2.4333001717546017	1.9250730551539237	1.8213281625971431	1.0877405994683176	0.0	2.8545623785877594	1.6684442517001974	1.3463750179783112	2.277238941264565	0.5865741132526038	2.2850333479419205	3.750722681586164	3.16455221456363	4.1305880007197	2.4883393969884704	3.315099465869734	3.088325727885917
Mouse4A.DTT21	0.5625289956532926	0.523590226384154	1.0163835482694041	1.0411561888314744	2.439258898498249	2.8545623785877594	0.0	1.3758393187458413	1.6556855717269274	0.7735059582313936	2.3077026257538016	0.7022574795131341	2.239909457613829	0.45108805009295583	1.318782095093614	2.5925840563863	2.772013927636431	2.396812312152126
Mouse4A.FP21	1.3552730761424168	1.1087078537286674	0.765073103162416	0.545001847554067	1.0635561774963498	1.6684442517001974	1.3758393187458413	0.0	1.0248226145988886	1.1771818120691473	1.2496555694596398	0.9499737897993963	2.2358083296233633	1.6688515109241902	2.665176673931542	1.5975344322359015	2.1613078137954864	1.821387252121651
Mouse7A.DTT39	1.907422821039519	1.1851532119537567	0.8618849507780518	0.7347391823373002	1.5146223561313201	1.3463750179783112	1.6556855717269274	1.0248226145988886	0.0	0.9743712555266884	0.7600210456966654	1.1869012628023752	3.1706314086153884	1.951568946415855	2.8556459744407854	2.525871694296814	3.1447178314767847	2.8223466000823807
Mouse6A.DTT33	1.2033601893024624	0.3989800913187731	0.6074303704252915	0.6510555630424892	2.135278532823191	2.277238941264565	0.7735059582313936	1.1771818120691473	0.9743712555266884	0.0	1.6988257921274992	0.5755480665822488	2.7921083734936767	1.0907745253068097	1.909894682611024	2.704995777030918	3.0963365156128027	2.7283920455492643
