OTU.ID	GnotobioticExp-DTT-365.fastq	GnotobioticExp-FP-372.fastq	GnotobioticExp-DTT-366.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-DTT-308.fastq	GnotobioticExp-DTT-367.fastq	GnotobioticExp-DTT-303.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-DTT-305.fastq	GnotobioticExp-DTT-370.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-DTT-319.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-DTT-362.fastq	GnotobioticExp-DTT-325.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-DTT-307.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-DTT-179.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-DTT-381.fastq	GnotobioticExp-DTT-318.fastq	GnotobioticExp-FP-386.fastq	BSD-4241B.fastq	GnotobioticExp-DTT-323.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-DTT-311.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-DTT-384.fastq	GnotobioticExp-DTT-321.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-DTT-320.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-DTT-383.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-DTT-322.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-DTT-306.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-DTT-373.fastq	GnotobioticExp-DTT-376.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-DTT-379.fastq	GnotobioticExp-DTT-378.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-DTT-324.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-DTT-372.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-DTT-368.fastq	GnotobioticExp-DTT-363.fastq	GnotobioticExp-DTT-315.fastq	GnotobioticExp-DTT-377.fastq	GnotobioticExp-DTT-364.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-DTT-371.fastq	GnotobioticExp-DTT-313.fastq	GnotobioticExp-FP-382.fastq	BSD-4346B.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-DTT-375.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-DTT-302.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-DTT-312.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-DTT-314.fastq	GnotobioticExp-DTT-374.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-DTT-317.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-DTT-309.fastq	GnotobioticExp-DTT-380.fastq	GnotobioticExp-DTT-310.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-DTT-304.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-DTT-369.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-DTT-316.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-DTT-382.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
9ff8565480eb4d1ae1feec02a0dfce35	2635	35089	8166	3893	1877	253	4212	11516	4477	2611	1071	1640	2342	1151	373	34325	371	1978	8322	1447	266	246	24009	12372	46289	208	18539	1481	0	4673	17096	1031	24286	258	2667	23068	5102	16720	2053	466	606	394	880	725	16469	19436	213	1112	6352	445	392	11882	1013	543	19399	1340	279	2237	56606	38631	23223	11012	310	51068	9861	13466	22100	316	645	4852	10568	8804	190	16287	13089	2512	4389	3	1433	19252	725	358	247	3315	40224	5064	4818	519	1730	639	3146	6039	861	12047	4548	952	9895	38979	3767	38942	384	780	6857	2402	12310	63201	255	411	27733	49324	
1355705d5f5537fdd6063e8aef08650d	595	0	365	0	0	217	0	0	0	389	0	0	91	0	0	0	22	139	0	0	0	0	0	2	7	0	0	0	0	378	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	314	0	0	0	0	0	832	0	0	0	418	0	0	607	0	0	35	141	0	765	118	0	0	404	6	0	0	0	0	121	0	0	0	0	0	0	0	0	39	0	2	0	0	3	0	0	0	0	0	0	79	2	0	2	0	0	0	0	0	
4830fa6c03eb9f7fd7a60aa04b40ace5	266	3114	172	2	0	5060	0	40	0	2348	0	0	0	0	13276	30	9427	1	0	0	0	9878	4	0	9	3989	0	11025	5	0	2	0	8654	1682	0	904	0	6825	0	8182	9982	1298	0	8542	3911	6	11156	0	0	10599	4273	1534	0	11260	0	0	4055	764	0	297	197	0	12922	59	696	0	5	7943	6976	0	733	5607	11166	10042	715	0	30	0	10137	3406	7425	14797	9751	0	63	0	0	10112	0	8632	0	0	8433	4	0	5347	0	0	0	51	12814	8491	0	2	0	76	137	12853	1464	123	
f061ab8b0b21ec22237300a7577f626b	265	2032	261	0	0	5495	0	0	0	2492	0	0	0	0	10015	39	11496	0	0	0	0	11712	2	0	0	0	0	0	0	0	3	0	6736	0	3	804	0	5427	0	0	0	0	0	0	0	2	11475	0	0	0	5152	2088	0	0	0	0	0	700	0	356	0	0	9287	130	610	0	3	7236	9681	0	848	7687	10903	13276	691	0	0	0	0	0	10758	11582	7998	0	0	0	0	0	0	11468	0	0	0	0	0	35	0	0	0	0	12945	9241	0	2	0	0	4	11317	1850	0	
403620dbc5fb1dc8456784147129527f	196	8611	421	0	0	2075	0	0	0	1181	0	0	0	0	3295	37019	2387	0	0	0	0	2836	0	0	0	0	0	0	0	0	0	0	5337	22	0	25363	0	8727	0	0	0	14	0	0	0	0	2922	0	0	0	3101	2614	0	0	0	0	0	1748	0	65050	0	0	6664	11821	2713	0	0	2346	1753	0	2121	2632	7052	36707	6905	0	0	0	0	0	3118	5380	3427	0	0	0	0	0	0	3379	0	0	0	0	0	82	0	0	0	0	6737	2136	0	0	0	0	1	4602	51847	0	
598a513a3552c092cd8b71a429c45ab1	111	584	132	7	2806	2169	3482	9	856	999	2805	2364	80	3632	4120	9	5119	228	293	3277	327	4119	211	294	258	5215	1051	5678	130	27	257	615	2798	1312	10	59	9	1917	2521	10695	5617	1055	7	5118	1334	21	4675	2642	952	5247	2009	757	3163	7430	422	4213	4041	319	1275	76	70	0	4362	14	195	403	9	3329	4135	3300	301	3178	4181	773	311	2912	7	107	5241	723	4172	5149	3361	3140	55	415	851	8663	3992	4856	3109	2608	6328	11	2745	4203	1599	1696	3299	27	4953	4132	20	10	1812	36	135	5140	433	44	
221bbd0f1eb723ec63076a65788c7c7f	103	683	80	0	0	2527	0	0	0	980	0	0	0	0	4627	18	3608	0	0	0	0	4022	1	0	0	0	0	0	0	0	0	0	2802	7	0	149	3	2040	0	0	0	1	0	0	0	0	4000	0	0	0	1718	740	0	0	0	0	0	413	0	86	0	0	4412	27	264	0	2	3110	2965	0	356	2839	3360	2095	219	0	0	0	0	0	3732	5187	2399	0	0	0	0	0	0	4102	0	0	0	0	0	46	0	0	0	0	4387	3863	0	0	0	0	2	3192	575	0	
378abaddaee3a4538b1fd63920da5092	93	130	139	0	55	2952	105	9	119	1112	7	10	0	10	342	46	7255	0	1	0	9	635	2	102	18	1905	7	189	0	0	56	2	185	316	0	87	0	229	14	398	413	234	0	205	72	0	380	4	129	203	4286	1197	11	485	31	12	1740	293	7	160	21	0	236	189	366	3	0	4830	6066	28	396	1847	483	557	352	50	8	0	280	119	8278	140	260	91	26	56	14	174	37	7555	16	37	189	0	37	1985	73	3	157	8	380	5288	0	0	26	7	52	246	541	47	
37c03af0c93baa76926221206678ba9e	68	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4c8288bfbd76958c0c094d87b97650f8	66	249	27	452	1190	444	373	47592	147	392	10	9	3097	14	73	287	1392	1667	25	13	3217	66	23	25	36	10590	133	11	112	2321	624	713	133	33360	11000	331	8006	198	13	391	16	33703	514	57	542	27260	87	9	169	0	582	556	44	685	22	31	8355	66	18	1004	34486	2375	87	182	102	30	7390	781	1017	291	108	1339	94	1902	208	403	52835	0	2	343	1131	74	69	190	20	251	2162	244	153	1195	24	207	37	2751	1082	9150	992	13	299	145	154	1024	1214	520	100	13	48383	93	892	1403	
