	GnotoExpt-FP569-S85	GnotoExpt-FP617-S313	GnotoExpt-DTT485-S633	GnotoExpt-DTT611-S346	806rcbc498-S403	GnotoExpt-DTT557-S169	GnotoExpt-FP461-S682	GnotoExpt-DTT389-S535	GnotobioticExp-FP-209-S73	GnotoExpt-DTT539-S150	806rcbc425-S330	GnotobioticExp-FP-197-S61	GnotobioticExp-DTT-191-S201	806rcbc394-S299	806rcbc492-S397	GnotoExpt-DTT605-S340	806rcbc474-S379	GnotoExpt-FP455-S676	GnotoExpt-FP539-S54	GnotobioticExp-DTT-197-S207	806rcbc523-S428	GnotoExpt-DTT563-S175	GnotoExpt-DTT479-S627	GnotoExpt-DTT551-S162	GnotoExpt-FP479-S700	806rcbc380-S514	GnotoExpt-DTT473-S621	806rcbc400-S305	806rcbc566-S471	806rcbc427-S428	GnotoExpt-DTT569-S181	GnotoExpt-DTT467-S615	GnotoExpt-FP551-S66	806rcbc560-S465	806rcbc374-S508	806rcbc480-S385	GnotobioticExp-DTT-185-S195	GnotoExpt-FP557-S73	806rcbc431-S336	GnotobioticExp-FP-191-S54	GnotoExpt-FP545-S60	806rcbc446-S447	806rcbc172-S269	GnotoExpt-FP467-S688	806rcbc178-S275	GnotoExpt-DTT545-S156	806rcbc529-S434	GnotoExpt-DTT455-S603	GnotobioticExp-FP-179-S41	GnotoExpt-FP533-S48	GnotoExpt-FP599-S295	GnotoExpt-DTT599-S334	GnotoExpt-FP611-S307	GnotobioticExp-DTT-209-S219	GnotoExpt-FP485-S707	GnotoExpt-FP605-S301	806rcbc453-S454	806rcbc368-S501	GnotoExpt-DTT617-S352	806rcbc449-S450	GnotoExpt-FP563-S79	GnotobioticExp-DTT-203-S213	806rcbc437-S342	GnotobioticExp-FP-203-S67	806rcbc406-S311	GnotobioticExp-FP-185-S48	GnotoExpt-DTT533-S144	806rcbc554-S459	GnotoExpt-FP473-S694	806rcbc468-S373	GnotoExpt-DTT395-S541	GnotoExpt-DTT461-S609	GnotobioticExp-DTT-366.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-DTT-179.fastq	GnotobioticExp-DTT-318.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-DTT-384.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-DTT-306.fastq	GnotobioticExp-DTT-378.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-DTT-324.fastq	GnotobioticExp-DTT-372.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-DTT-312.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-FP-395.fastq
GnotoExpt-FP569-S85	0.0	1.173441377940779	3.943778054815577	2.053037624007059	2.9838328140755768	0.32315046319409846	3.248572770336485	2.0413744228957684	3.267870800137447	4.246083162750008	3.1862200330638983	3.0914944833952993	1.6366198792618616	2.7967255489088916	2.706888955560662	2.064345876326608	2.2362159406544775	2.233018990253094	4.158649614256528	2.534213533389437	2.5145483162281614	1.4020268581204904	3.683367184898015	4.700993890420964	3.375100987406186	1.0062834588915006	3.451191348162952	1.7429747954390997	2.2965595889736243	3.485257726256968	0.33746074085246297	3.4501162320131087	4.546539444672937	1.8047235454884751	1.1320967931913866	2.4121089206291617	1.9909635686335299	0.24995155543487702	2.2461869841979607	1.705834855113459	2.9072374641638232	3.06801558370436	2.4433599735618885	2.109494661884154	2.605713824081575	2.910392098312023	1.563270958136638	3.64683665381392	2.7356073098097213	0.9646268078712434	2.4526009506517648	2.0102917079827654	1.1205466522182026	1.7415982688958145	2.878861883048507	0.3793506071844289	2.5942849806039363	1.2337686263469216	2.361277698731897	2.8639652373765356	2.1369585805355658	2.816718301224005	0.8551910443808254	2.845470693477809	2.032787902798871	2.1065512729710063	0.9211185005463705	2.5762946039075176	2.7619119118634017	2.5078222674389505	1.2557485249386964	2.345286974187394	1.7120457734672936	2.9888228225173905	3.007344669745621	2.080681571056289	1.5651152165071087	3.6399355579642076	2.4703941400640654	2.2493231689399247	0.9563945801536287	2.605906969101222	1.841817188973794	2.823680659771696	2.5831702529904135	1.9626829180237715	2.7060403663491956	2.476810478575877	3.1039561286253994	4.2298917813088845	2.7564510801416153
GnotoExpt-FP617-S313	1.173441377940779	0.0	3.1966240579109835	1.1754073862755663	2.4027214772831402	1.4939140052008426	2.329998259462225	1.3136432216599734	2.7897303803895843	3.223078390417161	2.05448600420084	2.634967196639954	1.4166078451891184	2.222532123825784	2.5456872472286456	1.2311987442851593	1.6801648212691067	1.9155341389656395	3.180976079374639	2.184371261790091	2.153272201417707	0.6429381343184907	3.017921621190908	3.6827177249152854	2.3934788205495656	0.6937752251464662	3.059943031083444	1.9144837061010727	1.7386330053477292	3.2226805361410036	1.4953969194633248	2.997161419810485	3.5044237898173325	0.7700896930395825	0.6795094638495729	1.8828136399562194	1.3915270263462207	1.3983972392913775	1.1990712224345434	1.097728742481777	1.9741536439847107	1.9827616327854583	1.7774991108342872	1.2149015399497165	1.7488138714136146	1.9252272325908408	0.9316512814122884	2.9113136629894316	1.6689525219581893	1.2166088679832328	1.6370943308713692	1.2077919569550106	0.3451134978262257	1.3157288015601696	1.7872475686690488	1.2683774455544852	1.520797388563956	1.2985657907362576	1.450330626881415	1.8592671559868883	1.1960816512469556	2.367746193899269	0.547406620831954	2.3778261874261766	1.2447575732988656	1.2508036761689023	1.2031513890932655	1.4812687066014683	1.7531516847456323	1.8350030493434326	1.1265218609712224	1.819562388251506	0.9017714069178883	1.9008346617470735	1.9288365117756887	0.9761636642991628	0.7089956605711859	2.522758737677352	1.831719623857294	1.1076626264188758	0.8442061961259618	1.63372787434736	1.563969074862483	1.7260406168509386	1.5798441999816077	0.9725379040356786	1.6516897551314418	1.5356779302574213	1.977843136118825	3.1142198972338027	1.6355467709401998
GnotoExpt-DTT485-S633	3.943778054815577	3.1966240579109835	0.0	2.0212245826998303	1.3506329689455643	4.163621724507396	1.0311216348961558	1.9454831299689634	1.4017357016908738	1.3884701633441903	2.4097005192105234	1.4859165001482721	2.407104702948944	1.5685419733510286	2.229732334256487	1.978985978900816	4.101077159659933	2.067645021695995	1.0628905242385551	1.914118962456127	1.9939479017245378	2.873263285396691	0.5557798976755748	1.7701494443501224	1.5785282821036426	3.2615839649281386	1.2325921864624763	2.9804387231395357	1.8953121443413186	1.6390813364270183	4.158956002209563	1.2556372337883621	1.7111502661367797	2.5044857672685605	3.317978042459468	4.303394004686323	1.9605141808413629	4.080907369802299	2.1274746192669736	2.853318042051617	1.3256597798644496	2.7075216651031724	1.5489772681156726	2.251166999444071	1.6346844045034419	1.509098498022116	2.404411142662558	0.36416658036538474	2.071480374933514	3.1740494899431666	3.9116838876434707	2.0344070074475096	3.3237980042931823	2.275524833163822	2.9922416410882344	3.8658434283726053	2.650098225004201	3.8705406544312666	1.7617911586399644	2.824366730552837	2.091787074198407	1.4932252812570423	3.280648391061433	1.4185219165442982	2.2558864121978974	1.963096857577914	3.271914153161352	2.2067454491039573	3.292869838184524	3.9911102306673767	2.7401507306804334	1.6713473082458008	2.373687249151191	2.732365001695754	2.78811144704205	2.652283136701305	2.558003493344916	2.423407545659948	1.6268392157003049	2.6121333190653884	3.1219440625182946	1.6596819841627268	2.2018283955388918	2.148338568819603	1.9641754384776269	2.2468792605928893	2.815149098731698	1.72255490019174	2.1866494803596623	2.37911307901642	2.7076173857561474
GnotoExpt-DTT611-S346	2.053037624007059	1.1754073862755663	2.0212245826998303	0.0	1.3930320085604457	2.3261305969270922	1.2033740273350737	0.3294779760383004	1.80616496272516	2.2141005227374317	1.5590037334107252	1.6796136117175648	1.0116223982070225	1.2832902757773137	1.8826130763736373	0.14843775742354479	2.366856329319054	1.229894098126756	2.1064316860680323	1.408469122956125	1.4185574882898884	0.9616738513846228	1.8707826793444167	2.7121179463321003	1.472098963231264	1.35805887626285	2.0257323919688446	1.789828203400941	0.9231545790863315	2.275544664269326	2.3238766240339377	1.969795636964788	2.543255514427456	0.5539699199602381	1.4031270677988799	2.585398932473933	0.5130806047891158	2.2326817177608946	0.44490288843414083	1.1774777736315378	0.8565996804410709	1.676395089442816	0.7089307990771487	0.6518746787438628	0.7327008080380615	0.8980033314616215	0.5465508502272981	1.7417471427403717	0.9827803141308227	1.5043708958483542	2.2250549095740926	0.25897578432404794	1.3265244823167281	0.7881324860697478	1.7147013831013898	2.033622302322593	1.2935212927283675	2.051114065113946	0.30868287543240586	1.658297950597175	0.36790592521032184	1.4091466027877042	1.3302464543463333	1.3915392419592514	0.6860534202482449	0.177878558067344	1.572806023564566	0.8966826997042491	1.8868709248540783	2.3705525922756703	1.0896486706672999	0.8645757513348611	0.4607158782333626	1.630517994684434	1.6852126328511634	0.9031039127615873	0.5886946965541893	1.9522510047514998	0.8459480276132371	0.9540346048710724	1.2870717292674174	0.5691848939688909	0.9770095251638556	1.0987293933902718	0.78995412748604	0.2804455308045171	1.5060931512355937	0.45285504598262466	1.3627959243735128	2.4167822393034775	1.4192455848459096
806rcbc498-S403	2.9838328140755768	2.4027214772831402	1.3506329689455643	1.3930320085604457	0.0	3.1713446875506235	1.3098328796562853	1.3629577477484782	0.4413612968333792	2.2367344170400374	2.5132956832269073	0.3703638557902826	1.4301434865086862	0.24772368934876543	1.0252704212761523	1.26624109216224	3.759241697584407	0.8567838885002282	1.9309483219733081	0.6463664757850097	0.6784431724981017	2.278037961649837	1.429329714731443	2.7985259429044245	2.053360029269654	2.576453344681018	1.1148425509207065	1.7493588725980853	0.7112576376483568	1.2734415501856313	3.2031252610381347	0.701939427937297	2.6359026165988926	1.9399838487623977	2.6845278710637426	3.9783745201911223	1.2892472326703104	3.0759395065843824	1.6929320377220725	2.460252387051533	1.1719516555343745	2.7940178172451033	0.7113575652260381	1.9429506765853555	0.8906288943223334	1.5396662350936292	1.5563757382662369	1.2750280886399388	2.0317116537761284	2.097283077011668	3.5976803891582505	1.2332146062375968	2.4138817958929537	1.2500270652645724	2.9279669208352295	2.8116016382528923	2.541078154093341	3.2956378144119043	1.2683196649354116	2.871719481665621	1.351541276859106	0.39845271278033906	2.3043768926042354	0.3999206445217416	1.2605578676748614	1.4400791615767268	2.1666091205192517	2.03813411838705	3.183297464470523	3.7554332279444718	1.7590446245440983	1.214082855555687	1.7689422087190332	2.7757392536581396	2.8402720534538366	2.2601550526703234	1.694693297709628	2.762573862010923	0.5750410485822132	2.246931525267803	2.072400108925215	1.3117671336503571	1.3552064674558475	2.122770135586909	1.8713652919901373	1.6420370173333596	2.7531990048458015	1.21824597257894	2.255829556517651	2.9686493902681836	2.606920074248332
GnotoExpt-DTT557-S169	0.32315046319409846	1.4939140052008426	4.163621724507396	2.3261305969270922	3.1713446875506235	0.0	3.5132397726761124	2.2928871511377706	3.425813608627178	4.529290101331535	3.502595822497082	3.2477477687323617	1.802882073214452	2.9854287724039716	2.7980736436153766	2.3281124003738136	2.4955098534006357	2.38189003057611	4.429843518295205	2.6788851286457396	2.661325647749305	1.6984101518156005	3.8914763925677835	4.985819551183899	3.6602027354975735	1.2903311122460022	3.5925835385546097	1.7881006269555193	2.49564572072426	3.5918070968612454	0.14661184966024657	3.6010396734847663	4.835358479561096	2.109828012923503	1.4238694020603646	2.6627054915606885	2.220311263423586	0.12493369886666397	2.5448351241438467	1.9742086132917247	3.176033499252338	3.3831580987914345	2.6648731344098833	2.3962263347453394	2.8586698621388247	3.1934263814502044	1.815296032568091	3.869031740313729	3.039933356063722	1.0890403016176078	2.744940765643996	2.268906381182768	1.4227880299453364	1.9417573368245173	3.1977567385699524	0.43518365934617526	2.9085903915859435	1.4316197277236458	2.633681508727832	3.17088211218235	2.414053941728958	2.979362919374892	1.1375044831801513	3.0124375462689086	2.283433169233051	2.3776086835405548	1.0432261881743932	2.8853172318305855	3.073946555407996	2.779245795080539	1.4390507397424508	2.5496996019879186	1.9910858548919443	3.304757906839398	3.322678951619408	2.3973476732839587	1.845714386031879	3.954002749218728	2.6830177720714703	2.5680741941178393	1.1780355099828943	2.885470375855458	2.010890031394855	3.132720276905508	2.8776745911508756	2.2551543633733413	3.0198296153393156	2.7509840197165696	3.416366626640662	4.540524305106297	3.0758834246433255
GnotoExpt-FP461-S682	3.248572770336485	2.329998259462225	1.0311216348961558	1.2033740273350737	1.3098328796562853	3.5132397726761124	0.0	1.2390617732662295	1.6424742736082256	1.0936282039035943	1.4266176648416928	1.6295445158027289	1.9474708313806486	1.3902882929875235	2.2504400822351203	1.2078976958383807	3.154298156529068	1.8097807380836086	0.9274158699026286	1.7845658674611642	1.8269244896473467	2.042922611460661	1.0764823351256512	1.6201677357841746	0.7844837781151456	2.4800809482853974	1.7353849373046302	2.663858737733316	1.4747034099269487	2.1302785302766827	3.505340336594218	1.6884735307874221	1.4605572748213635	1.5962724765587468	2.494546258239027	3.349185235849496	1.361623870593737	3.4234801899030884	1.1665225350489463	2.057862221967652	0.3986194259721214	1.7348283298177092	1.0668310618360375	1.3792145023102207	0.9440848800763875	0.49482596980757354	1.7066862493817705	0.8278166611559153	1.0641081623374598	2.6214854052204526	2.9126063323468374	1.2938121131132547	2.483923089026283	1.745142436240327	1.9866207112832779	3.2204273374215706	1.65350467537044	3.0851317591528318	0.9025567289839419	1.8770335276901349	1.2546330956440954	1.4973500503387813	2.5267530307843713	1.4342133058104563	1.5472051076371451	1.1488156226751758	2.7016850293873604	1.1887127080841986	2.298215020526847	3.0378813915458487	2.179214225519687	1.2668545041329495	1.572854935777776	1.7485150831876841	1.8097513288609204	1.6692984259780668	1.7643689158043927	1.5477339434717872	1.2024034110967954	1.6030086120655904	2.4571234499612937	0.717789695858602	1.7886420733064992	1.1309099912062603	0.9952205544871083	1.3580325218585125	1.8274149355422546	0.8446961661218955	1.1872061753341012	1.7059517663343637	1.6907860731808013
GnotoExpt-DTT389-S535	2.0413744228957684	1.3136432216599734	1.9454831299689634	0.3294779760383004	1.3629577477484782	2.2928871511377706	1.2390617732662295	0.0	1.7365457160215965	2.288911620922861	1.7480110879087378	1.6045467509004376	0.8520630669039768	1.2852135837180614	1.77982989711289	0.354060924675038	2.44510035451471	1.1396683345301841	2.1655925254901836	1.329876997431385	1.3734910547395558	0.9702953194334182	1.715444800251708	2.7554267972517437	1.500694076483629	1.3308356836561985	1.8222716822586393	1.7143789012747734	0.9394060632330695	2.0700668803219053	2.278782233642479	1.8528249583203147	2.6153801317151952	0.732899750853995	1.4042788152733034	2.6704368228156072	0.22937961175153768	2.2102433162677046	0.7062502732007178	1.0992815788438055	0.9587454831141584	1.827091478769818	0.652967089912645	0.6515842435048139	0.9017253532289783	0.9933617369183465	0.5375178224322525	1.6377568519293648	1.1317354553922476	1.452991281474972	2.374165409833624	0.4335940662580527	1.487760523623175	0.7187428193809003	1.8968912794936283	2.028264716741953	1.4439757438149754	2.0026043397892805	0.486317278218214	1.7575833923963609	0.6752017760777029	1.295927920341928	1.4131780910380765	1.2706259845184986	0.9055733537733587	0.24178548097428568	1.5497635775985739	1.090385757910182	2.0398987735666934	2.4555128635221113	0.9945054486240211	0.5650261318992148	0.4569318843913947	1.787586378298781	1.8365320246903332	1.0925573371365125	0.7643399217883994	2.106731398776989	0.844387702422493	1.186227566161176	1.3225134477242302	0.7559283601996691	0.7385465748523131	1.2746117988179435	0.8851129406405608	0.5561984139278272	1.6471600784115925	0.6657545723509755	1.557436273956163	2.553163350614095	1.6141561709059036
GnotobioticExp-FP-209-S73	3.267870800137447	2.7897303803895843	1.4017357016908738	1.80616496272516	0.4413612968333792	3.425813608627178	1.6424742736082256	1.7365457160215965	0.0	2.4865169164051792	2.9253814129564253	0.17845459856982204	1.6813959027208947	0.6130490390551208	0.9197379748663839	1.6791243382100576	4.163517679960672	1.0451752378361043	2.1507455366931434	0.7603657345534292	0.8144023192276498	2.653165283502304	1.4999105231456764	3.0205069189628144	2.3908874111929888	2.922162429400468	0.9298600490084495	1.8609947778662579	1.0655710600787016	0.9814915905059018	3.4605345423249676	0.35916536004296545	2.878913014154387	2.354093927106185	3.045824049705869	4.385546567023622	1.6306054611536922	3.335985531076598	2.1236100449483146	2.8180349564887974	1.5704131116109632	3.2073632471204316	1.1040856592573638	2.333774136313102	1.331202148315702	1.9304205675179356	1.917079355496586	1.3967205031102363	2.4441473664133526	2.340380442983645	4.023781841205169	1.6431763468442844	2.7890953165068426	1.5610364182446566	3.355603387362142	3.071568866521433	2.9617898420512945	3.630818895306236	1.691833140036102	3.278094632468538	1.7844108167998123	0.49794228500398946	2.6429949652651996	0.512805748455689	1.6643935175442475	1.8417381810838356	2.4138030919082074	2.462938734460753	3.6089886361049786	4.165215307419225	2.034505153917257	1.4851878752302428	2.15234725950597	3.1927570735783353	3.256435038004128	2.6863622363078625	2.0875029863998984	3.1478831169648926	0.9817582811750619	2.6812426954049027	2.377850673764442	1.7385185768136537	1.5966769020122542	2.5393752427008054	2.275288330193947	2.063508280285885	3.172303967122801	1.6523911677099443	2.667474181846708	3.3093124326309895	3.035233918185844
GnotoExpt-DTT539-S150	4.246083162750008	3.223078390417161	1.3884701633441903	2.2141005227374317	2.2367344170400374	4.529290101331535	1.0936282039035943	2.288911620922861	2.4865169164051792	0.0	1.59621736478585	2.530480857825485	3.03829385841965	2.3491536655556717	3.2438242105419572	2.2419615951638545	3.7147251958428287	2.8716830551236012	0.37310932893719156	2.8051490221455126	2.837900837117331	2.9506035455564925	1.633367607944945	0.6306269252323906	1.0589002128857468	3.410040464517708	2.534485934160024	3.7401525317778797	2.517778131333235	2.954329758150716	4.516181425907166	2.4857246993510893	0.4035249511501042	2.481762391873334	3.380645120662588	3.8700343099633177	2.4355480338297117	4.438972278825602	2.027573298604846	2.903125946627263	1.4113953554702872	1.956640007888943	2.1485074469865966	2.2408332103501216	1.916787104933293	1.3376241324028777	2.749503976084776	1.4052486265194042	1.6524421468253014	3.6881687384140713	3.3791324656428032	2.3308907285577645	3.3892713884113577	2.8265611190188515	2.284712138367996	4.2457733369274555	2.139379938887631	3.9343441198602593	1.9147545372967425	2.21759015654309	2.21347877171116	2.485079317561192	3.50607302956124	2.4198889928717993	2.5210425546430346	2.159091535875282	3.7598700377123024	1.820754118793977	2.6452175588829214	3.512728865441381	3.251877506667376	2.322926207361063	2.5508663499020843	2.0114975052891286	2.0599754622027926	2.3905869406970823	2.7458517269051037	1.389106387940329	2.2527534825491466	2.2651631066551543	3.4849206635619723	1.6696077267028329	2.8770874760481306	1.6252243252115517	1.7398156924564168	2.295185495913166	2.232893113283069	1.8286888723177177	1.463535641351108	1.0933793620182832	2.0783408512018364
