	observed_otus
Vil1-01B-FP11	164
Vil1-03B-DTT33	273
Itg-18-DTT496-S91	237
SLCFP072	122
LYZdtt342	152
Lyz2-02B-FP222-S70	77
SLCFP021	267
Vil1-05B-DTT57	27
LYZdtt351	250
Lyz2-07B-DTT281-S123	287
Vil1-010B-DTT117	298
Itg-10-DTT455-S49	346
Itg-22-FP518-S21	134
SLCFP069	237
Lyz2-05B-DTT260-S101	234
Lyz2-04B-FP244-S41	292
LYZFP308	298
SLCFP111	289
Vil1-05B-FP57	366
Lyz2-02B-DTT221-S61	310
Vil1-06B-DTT70	8
LYZFP307	194
Vil1-03B-DTT35	388
Vil1-03B-FP35	150
LYZdtt364	338
Itg-02-FP409-S9	324
Itg-10-DTT456-S50	320
Vil1-01B-DTT11	123
Vil1-01B-FP07	295
Lyz2-04B-FP243-S92	250
Vil1-13B-FP153	63
Vil1-07B-FP82	159
Lyz2-07B-FP283-S81	102
Lyz2-04B-FP245-S42	293
Itg-20-FP508-S11	182
SLCdtt163	365
SLCdtt050	295
Vil1-10B-FP115	178
Lyz2-06B-DTT269-S111	294
LYZdtt308	282
Lyz2-03B-DTT232-S72	314
LYZFP331	116
Vil1-09B-DTT105	204
Itg-20-DTT504-S99	293
Itg-20-DTT505-S100	268
Itg-24-DTT530-S25	405
Vil1-06B-DTT72	6
Itg-24-DTT531-S26	182
SLCFP131	124
Vil1-01B-FP08	438
Vil1-10B-FP116	283
Vil1-14B-FP167	100
SLCFP078	111
Vil1-04B-DTT43	294
Itg-24-DTT529-S24	358
SLCdtt110	281
Itg-04-DTT423-S15	240
SLCdtt075	267
SLCFP070	122
Vil1-07B-DTT79	5
Vil1-04B-FP46	158
LYZFP304	328
Vil1-06B-FP67	344
Lyz2-06B-DTT272-S114	383
SLCdtt022	246
Itg-18-DTT492-S87	305
Vil1-014B-DTT164	303
LYZdtt366	137
Lyz2-01B-FP208-S56	346
SLCFP067	205
SLCdtt019	207
Vil1-14B-FP163	320
Lyz2-06B-FP271-S69	155
Lyz2-04B-DTT246-S87	221
SLCdtt070	178
SLCFP023	105
Lyz2-01B-DTT207-S47	321
SLCdtt164	294
Vil1-09B-FP108	106
Itg-26-DTT541-S37	335
SLCdtt005	98
Itg-22-FP515-S18	305
SLCFP051	288
Itg-02-DTT409-S1	322
Lyz2-05B-FP255-S52	262
Itg-22-DTT516-S11	337
Vil1-02B-FP22	232
Itg-20-DTT508-S3	214
Lyz2-01B-FP210-S58	76
Lyz2-06B-DTT270-S112	196
SLCdtt002	320
Itg-16-DTT482-S77	174
LYZdtt354	31
LYZFP328	302
Itg-24-FP528-S31	352
