	pielou_evenness
Vil1-01B-FP11	0.4914852696743409
SLCFP072	0.5760101132953568
Lyz2-02B-FP222-S70	0.16847700603430749
SLCFP021	0.555128652532936
Itg-22-FP518-S21	0.4910091761888659
SLCFP069	0.6197515432706391
Lyz2-04B-FP244-S41	0.6361416927683164
LYZFP308	0.48275637543655353
SLCFP111	0.7246533251819848
Vil1-05B-FP57	0.7781034054156842
LYZFP307	0.4643512344606223
Vil1-03B-FP35	0.4123784106773272
Itg-02-FP409-S9	0.7044263646382339
Vil1-01B-FP07	0.6208155441555909
Lyz2-04B-FP243-S92	0.5180904514371847
Vil1-13B-FP153	0.47772515530972437
Vil1-07B-FP82	0.44148175497833503
Lyz2-07B-FP283-S81	0.4316993815360607
Lyz2-04B-FP245-S42	0.6940853110861468
Itg-20-FP508-S11	0.6077749932029852
Vil1-10B-FP115	0.5913015103662904
LYZFP331	0.23003589557673731
SLCFP131	0.5683237328204769
Vil1-01B-FP08	0.635977934514683
Vil1-10B-FP116	0.6412474689325212
Vil1-14B-FP167	0.2848588743223096
SLCFP078	0.44270731263560464
SLCFP070	0.5243021707715169
Vil1-04B-FP46	0.4073457142808749
LYZFP304	0.48328332069096935
Vil1-06B-FP67	0.6989675441990072
Lyz2-01B-FP208-S56	0.7349761790579271
SLCFP067	0.5678207966610312
Vil1-14B-FP163	0.7523609519331285
Lyz2-06B-FP271-S69	0.6194502783601247
SLCFP023	0.515373305479181
Vil1-09B-FP108	0.3071760611202595
Itg-22-FP515-S18	0.6593750750380447
SLCFP051	0.7279786627870114
Lyz2-05B-FP255-S52	0.57406125889668
Vil1-02B-FP22	0.5875457641654035
Lyz2-01B-FP210-S58	0.1252437956250934
LYZFP328	0.630142668773379
Itg-24-FP528-S31	0.7207129554963496
Vil1-05B-FP58	0.2574851754740774
Vil1-04B-FP43	0.6892195341022568
Vil1-08B-FP95	0.27961655817306214
Vil1-09B-FP106	0.3102518778086275
LYZFP317	0.2935263476571377
SLCFP022	0.3984956318210321
Lyz2-07B-FP282-S80	0.3979916274428093
Itg-16-FP484-S87	0.4896794196514492
Vil1-10B-FP120	0.4783564566679425
Vil1-05B-FP60	0.6885569152869028
Lyz2-01B-FP212-S60	0.2988233706303064
Vil1-03B-FP32	0.7363136144298563
Vil1-09B-FP105	0.6903497907963003
LYZFP355	0.29008285372014764
LYZFP319	0.2715714088034398
Vil1-05B-FP59	0.3388996852689457
SLCFP005	0.41676922709844
Vil1-08B-FP96	0.5395506312255519
Itg-26-FP540-S44	0.7481425319394219
SLCFP024	0.5479126505211016
Vil1-06B-FP68	0.7584192422325647
SLCFP093	0.602193663087713
Lyz2-08B-FP291-S89	0.5021061454123363
Vil1-01B-FP09	0.7149389033005603
Vil1-08B-FP92	0.7279978081850992
SLCFP053	0.5564704169427221
Itg-20-FP507-S10	0.5809144346634997
SLCFP148	0.7233824803473222
Vil1-04B-FP48	0.5651459739655946
Vil1-06B-FP69	0.7272591415434051
Lyz2-03B-FP234-S82	0.31601293288347737
Vil1-04B-FP47	0.37789936523275713
LYZFP320	0.24041556611794407
Itg-24-FP530-S33	0.36914063270853076
SLCFP091	0.6159800222386138
Vil1-03B-FP36	0.48971679019758
Vil1-02B-FP19	0.6630134821896114
Itg-02-FP412-S12	0.5328399326304634
LYZFP327	0.5136878079762757
Itg-26-FP539-S43	0.6846996707198327
SLCFP095	0.3032558377906325
SLCFP164	0.625254412231854
Itg-18-FP491-S94	0.4911621194757742
Itg-16-FP481-S84	0.5915668261486197
Vil1-03B-FP33	0.7519157181451291
Lyz2-02B-FP224-S72	0.40495205478089247
Lyz2-05B-FP259-S56	0.4600033868249412
Itg-04-FP422-S22	0.20181709000760084
SLCFP077	0.22367252467288037
Itg-20-FP506-S9	0.6577113359128688
Itg-08-FP445-S46	0.6989102529452562
Itg-24-FP529-S32	0.7583036874291772
Vil1-09B-FP104	0.6279320240545223
Itg-26-FP544-S48	0.6044812794260194
Lyz2-08B-FP292-S90	0.6400690662506443
Vil1-10B-FP119	0.3481700935050504
Vil1-04B-FP44	0.6940338533971375
Vil1-13B-FP152	0.47692662434603
LYZFP356	0.4307812384415588
Itg-10-FP460-S62	0.5180578522280747
LYZFP354	0.21683475077723302
Itg-20-FP504-S7	0.7153457370815797
Vil1-07B-FP79	0.5972597642775186
SLCFP166	0.5051748015374465
Vil1-14B-FP164	0.656197677211197
SLCFP112	0.638181779203563
SLCFP073	0.37026068485078467
Itg-06-FP434-S35	0.3482163176458457
Itg-18-FP496-S99	0.32992963582323565
Itg-24-FP531-S34	0.36131525852007396
SLCFP128	0.5222467643065724
Itg-24-FP527-S30	0.7610284665895303
Lyz2-07B-FP279-S77	0.6933991156047636
SLCFP092	0.5270465716635191
LYZFP332	0.11867619639170011
SLCFP002	0.664321218336806
LYZFP306	0.39720153664742247
Lyz2-06B-FP269-S67	0.7653014906915699
SLCFP113	0.640753424114334
Lyz2-03B-FP231-S79	0.42472629774607107
SLCFP071	0.5151871286013715
