"","X","chao1","observed_otus","pielou_e","shannon","SampleID"
"1","TL1a_DTT_100_Repeat",179,173,0.653495231846741,4.85849409731379,"TL1a_DTT_100_Repeat"
"2","TL1a_DTT_101_Repeat",188.5,186,0.715495674566651,5.39423551921885,"TL1a_DTT_101_Repeat"
"3","TL1a_DTT_102_Repeat",83,83,0.717109442599395,4.57160097316236,"TL1a_DTT_102_Repeat"
"4","TL1a_DTT_127_Repeat",278.285714285714,249,0.712988346820518,5.67538861823335,"TL1a_DTT_127_Repeat"
"5","TL1a_DTT_128",220.625,211,0.765109119137485,5.9074833990449,"TL1a_DTT_128"
"6","TL1a_DTT_129",219,198,0.732739312461268,5.59032952431896,"TL1a_DTT_129"
"7","TL1a_DTT_130_Repeat",159.391304347826,157,0.636441880716676,4.64260214853947,"TL1a_DTT_130_Repeat"
"8","TL1a_DTT_131_Repeat",123.428571428571,123,0.683300300364465,4.74382224678296,"TL1a_DTT_131_Repeat"
"9","TL1a_DTT_139",145.142857142857,123,0.513623675962122,3.56583982065269,"TL1a_DTT_139"
"10","TL1a_DTT_140",163.882352941176,149,0.626819871986469,4.52511828784484,"TL1a_DTT_140"
"11","TL1a_DTT_141",147.117647058824,128,0.539336716182013,3.77535701327409,"TL1a_DTT_141"
"12","TL1a_DTT_142_Repeat",194.111111111111,188,0.621267328817368,4.69341923619523,"TL1a_DTT_142_Repeat"
"13","TL1a_DTT_143_Repeat",162.857142857143,162,0.738887783152626,5.42332549730421,"TL1a_DTT_143_Repeat"
"14","TL1a_DTT_144_Repeat",187.666666666667,183,0.736439935824418,5.53486150658149,"TL1a_DTT_144_Repeat"
"15","TL1a_DTT_157_Repeat",213,195,0.523993681619141,3.98619301839455,"TL1a_DTT_157_Repeat"
"16","TL1a_DTT_158",214.055555555556,154,0.342398871372366,2.48813951003784,"TL1a_DTT_158"
"17","TL1a_DTT_159",233.24,190,0.471574553605738,3.56975127935856,"TL1a_DTT_159"
"18","TL1a_DTT_160",251.447368421053,223,0.552053337843429,4.30651282793348,"TL1a_DTT_160"
"19","TL1a_DTT_161_Repeat",191.3125,190,0.687774202719457,5.20635140572123,"TL1a_DTT_161_Repeat"
"20","TL1a_DTT_162_Repeat",134.5,130,0.66197443389516,4.64862795763311,"TL1a_DTT_162_Repeat"
"21","TL1a_DTT_169_Re_extracted",337.625,284,0.719116053042273,5.86061398187084,"TL1a_DTT_169_Re_extracted"
"22","TL1a_DTT_170",250.108108108108,199,0.560244846558105,4.27837958875832,"TL1a_DTT_170"
"23","TL1a_DTT_171",120.4375,106,0.560332853077775,3.76987486358572,"TL1a_DTT_171"
"24","TL1a_DTT_172_Re_extracted",362.305084745763,314,0.605665372238656,5.02376456345593,"TL1a_DTT_172_Re_extracted"
"25","TL1a_DTT_173_Repeat",176,169,0.692201536295928,5.12290011573547,"TL1a_DTT_173_Repeat"
"26","TL1a_DTT_174_Repeat",181.64,179,0.721941888595235,5.40288009613697,"TL1a_DTT_174_Repeat"
"27","TL1a_DTT_193",274.371428571429,235,0.670778005511499,5.2833943277944,"TL1a_DTT_193"
"28","TL1a_DTT_194",265.5,246,0.691016773701636,5.48841074855796,"TL1a_DTT_194"
"29","TL1a_DTT_195",241.583333333333,192,0.635680767299192,4.82161478239402,"TL1a_DTT_195"
"30","TL1a_DTT_196_Repeat",175.444444444444,142,0.568131984027261,4.06200001629739,"TL1a_DTT_196_Repeat"
