	chao1
BioGeo-Vil1-14B-FP166_merged_R1_001.fastq_profiled_metagenome	57.0
BioGeo-Vil1-14B-FP164_merged_R1_001.fastq_profiled_metagenome	231.5
BioGeo-Vil1-13B-FP154-REP1_S47_R1_001.fastq_profiled_metagenome	25.0
BioGeo-Vil1-13B-FP152_merged_R1_001.fastq_profiled_metagenome	24.0
BioGeo-Vil1-10B-FP118-REP1_S45_R1_001.fastq_profiled_metagenome	86.33333333333333
BioGeo-Vil1-10B-FP116-REP1_S44_R1_001.fastq_profiled_metagenome	179.85714285714286
BioGeo-Vil1-09B-FP106_merged_R1_001.fastq_profiled_metagenome	78.33333333333333
BioGeo-Vil1-09B-FP104_merged_R1_001.fastq_profiled_metagenome	236.875
BioGeo-Vil1-08B-FP94-REP1_S42_R1_001.fastq_profiled_metagenome	76.0
BioGeo-Vil1-08B-FP92-REP1_S41_R1_001.fastq_profiled_metagenome	232.0
BioGeo-Vil1-07B-FP83_merged_R1_001.fastq_profiled_metagenome	120.33333333333333
BioGeo-Vil1-07B-FP79_merged_R1_001.fastq_profiled_metagenome	247.1
BioGeo-Vil1-06B-FP67_merged_R1_001.fastq_profiled_metagenome	269.42857142857144
BioGeo-Vil1-05B-FP59-REP1_S37_R1_001.fastq_profiled_metagenome	158.0
BioGeo-Vil1-05B-FP55_merged_R1_001.fastq_profiled_metagenome	191.6
BioGeo-Vil1-04B-FP47_merged_R1_001.fastq_profiled_metagenome	98.375
BioGeo-Vil1-04B-FP43-Rep1_S88_R1_001.fastq_profiled_metagenome	266.0
BioGeo-Vil1-03B-FP35-REP1_S38_R1_001.fastq_profiled_metagenome	205.3
BioGeo-Vil1-03B-FP31_merged_R1_001.fastq_profiled_metagenome	207.5
BioGeo-Vil1-02B-FP23_merged_R1_001.fastq_profiled_metagenome	92.2
BioGeo-Vil1-02B-FP19_merged_R1_001.fastq_profiled_metagenome	179.75
BioGeo-Vil1-01B-FP11_merged_R1_001.fastq_profiled_metagenome	97.0
BioGeo-Vil1-01B-FP07-Rep1_S107_R1_001.fastq_profiled_metagenome	221.07692307692307
BioGeo-SLCFP131-REP1_S33_R1_001.fastq_profiled_metagenome	100.0
BioGeo-SLCFP095_merged_R1_001.fastq_profiled_metagenome	116.11111111111111
BioGeo-SLCFP091-REP1_S29_R1_001.fastq_profiled_metagenome	192.5
BioGeo-SLCFP077_merged_R1_001.fastq_profiled_metagenome	116.75
BioGeo-SLCFP071-REP1_S27_R1_001.fastq_profiled_metagenome	87.0
BioGeo-SLCFP023-REP1_S26_R1_001.fastq_profiled_metagenome	149.2
BioGeo-SLCFP019a_merged_R1_001.fastq_profiled_metagenome	191.0
BioGeo-SLCFP005-REP1_S24_R1_001.fastq_profiled_metagenome	116.875
BioGeo-SLCFP001_merged_R1_001.fastq_profiled_metagenome	209.0
BioGeo-Lyz2-08B-FP295-S93_merged_R1_001.fastq_profiled_metagenome	99.125
BioGeo-Lyz2-08B-FP291-S89_merged_R1_001.fastq_profiled_metagenome	229.42857142857142
BioGeo-Lyz2-07B-FP283-S81_merged_R1_001.fastq_profiled_metagenome	89.5
BioGeo-Lyz2-07B-FP279-S77_merged_R1_001.fastq_profiled_metagenome	195.5
BioGeo-Lyz2-06B-FP271-S69_merged_R1_001.fastq_profiled_metagenome	107.0
BioGeo-Lyz2-06B-FP267-S64_merged_R1_001.fastq_profiled_metagenome	236.14285714285714
BioGeo-Lyz2-05B-FP259-S56_merged_R1_001.fastq_profiled_metagenome	92.0
BioGeo-Lyz2-05B-FP255-S52_merged_R1_001.fastq_profiled_metagenome	212.11111111111111
BioGeo-Lyz2-04B-FP243-S92_merged_R1_001.fastq_profiled_metagenome	177.0
BioGeo-Lyz2-03B-FP235-S83_merged_R1_001.fastq_profiled_metagenome	80.0
BioGeo-Lyz2-03B-FP231-S79_merged_R1_001.fastq_profiled_metagenome	227.66666666666666
BioGeo-Lyz2-02B-FP223-S71_merged_R1_001.fastq_profiled_metagenome	91.0
BioGeo-Lyz2-02B-FP219-S67_merged_R1_001.fastq_profiled_metagenome	212.5
BioGeo-Lyz2-01B-FP211-S59_merged_R1_001.fastq_profiled_metagenome	71.0
BioGeo-Lyz2-01B-FP207-S55_merged_R1_001.fastq_profiled_metagenome	248.0
BioGeo-LYZFP355_merged_R1_001.fastq_profiled_metagenome	65.0
BioGeo-LYZFP351-Rep1_S106_R1_001.fastq_profiled_metagenome	196.0
BioGeo-LYZFP339_merged_R1_001.fastq_profiled_metagenome	203.0
BioGeo-LYZFP327-Rep1_S105_R1_001.fastq_profiled_metagenome	154.0
BioGeo-LYZFP319_merged_R1_001.fastq_profiled_metagenome	122.0
BioGeo-LYZFP315_merged_R1_001.fastq_profiled_metagenome	217.6153846153846
BioGeo-LYZFP307_merged_R1_001.fastq_profiled_metagenome	154.25
BioGeo-LYZFP303_merged_R1_001.fastq_profiled_metagenome	230.0
