OTU.ID	Mouse5A.FP28	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse2A.FP11	Mouse3A.FP18	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse3A.FP15	Mouse4A.FP20	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse7A.FP37	Mouse6A.FP33	Mouse4A.FP19	Mouse5A.FP27	Mouse10A.FP110	Mouse10A.FP109	Mouse10A.FP111	Mouse9A.FP97	Mouse9A.FP98	Mouse8A.FP87	Mouse8A.FP85	Mouse10A.FP113	Mouse9A.FP102	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse9A.FP99	Mouse8A.FP89	Mouse9A.FP100	Mouse8A.FP88	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	19158	15302	8454	15554	18747	8626	4978	9795	8488	30988	3139	9472	3117	9600	3939	6032	24644	13944	9922	13855	18492	29445	24943	18385	17583	13249	5457	10088	20731	29021	11539	16625	32245	7915	7624	10332	4980	12007	12817	9579	5406	12183	6776	15792	12426	28148	21931	14304	5878	58610	58395	84290	24255	67406	35181	12841	18571	51392	89314	37044	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	18	93	874	330	284	1297	183	1661	2810	60	222	865	0	1073	0	3004	283	945	806	83	85	67	42	141	85	839	3192	923	110	52	2641	117	95	1872	24	656	4242	1476	374	1352	3057	6	600	853	1684	2773	2282	1814	1379	301	1993	858	2129	305	300	1535	5660	456	294	47	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	16	86	248	395	70	910	165	700	2514	18	286	790	0	677	0	3563	110	454	748	18	98	29	37	49	70	474	1328	193	34	28	1430	42	34	818	2	379	1824	976	270	896	1097	0	294	329	972	2865	2311	3180	5116	243	360	341	2348	73	118	7678	3396	884	73	58	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0	247	6347	179	323	5089	168	2412	4019	5	205	5588	0	11292	5	2778	276	3335	3427	8	110	30	28	7	30	5423	1767	4577	40	6	2005	4333	32	1753	0	4511	2234	3207	2197	4880	2219	21	2792	7596	4937	4632	3607	3844	2624	4	58	28	1958	14	44	3029	3944	563	17	45	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	0	0	85	80	5	470	11	239	485	3	29	450	0	223	0	609	11	122	72	0	0	0	0	4	9	147	213	157	5	0	306	8	0	427	0	95	341	219	51	980	237	0	91	80	253	349	325	317	473	13	19	17	350	4	33	486	646	66	6	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	20	34	17	66	201	72	20	127	157	42	22	34	0	8	9	214	79	37	41	65	44	26	27	95	78	89	242	27	109	86	130	9	48	94	40	76	225	57	39	68	139	19	18	25	140	17	29	109	58	117	251	136	236	35	189	39	94	33	30	10	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	188	28	2754	4962	0	3	1	144	0	1442	1	3	99	0	17	1	25	91	1	0	1	289	1031	154	1453	2	1809	18930	5	131	728	515	691	6635	36	1	1604	126	1229	74	5935	266	0	0	0	0	0	157	105	0	17	0	0	6516	0	81	0	2749	27	2514	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	0	3	2	0	7	0	0	0	0	5	16	0	0	0	2	5	43	17	0	0	0	0	0	2	10	7	0	0	0	6	0	2	5	0	12	0	15	8	31	13	0	9	21	4	30	30	0	0	0	12	4	5	0	2	0	14	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	435	217	208	185	101	16	13	35	58	521	33	13	48	278	56	12	101	59	113	112	180	236	377	258	300	177	106	466	40	333	279	50	422	59	192	117	143	86	26	76	160	249	0	13	38	0	0	30	6	1262	37	40	263	121	135	0	57	87	61	111	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	5	3	5	5	6	8	9	5	5	6	11	3	4	1054	3	7	12	6	1	6	5	16	3	7	8	23	5	6	9	6	8	5	6	7	1	3	2	5	10	5	2	8	0	3	0	0	0	0	0	4	13	9	0	46	25	0	0	6	8	20	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	0	24	187	77	18	198	37	186	352	3	123	182	0	392	0	409	9	186	154	9	11	6	4	3	7	326	331	199	3	0	982	92	5	370	0	215	481	353	94	479	495	0	109	96	254	399	294	474	432	15	15	16	307	4	30	548	298	133	10	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	3	15	5	0	21	3	24	66	0	3	17	0	0	0	69	5	30	42	0	3	0	0	0	0	23	26	16	0	0	121	5	0	58	0	19	63	32	8	38	52	0	11	61	20	45	28	57	57	0	6	0	45	0	0	88	41	13	3	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	8	18	23	125	100	3359	48	2194	9434	26	29	2129	0	1570	0	2875	51	1273	246	42	85	19	25	18	13	341	93	15	19	14	755	6	32	1575	0	264	68	1635	159	845	18	8	10	30	57	5142	3006	7770	4511	7	315	332	87	148	18	5655	18570	2374	143	164	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0	18	49	24	3	151	51	140	482	7	61	199	0	143	0	1076	12	201	152	0	7	14	9	5	4	213	574	76	9	3	1171	0	0	225	0	151	788	387	49	460	596	0	82	57	241	619	544	935	1758	3	11	22	266	3	20	1448	950	186	30	14	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	15	8	18	14	18	8	21	6	8	85	13	4	7	1214	13	13	53	13	7	7	8	30	12	9	6	38	9	16	28	16	19	10	78	12	12	10	9	14	12	7	7	27	0	0	3	0	3	0	2	8	9	5	4	11	41	0	2	7	5	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	5	4	0	0	8	75	0	51	113	0	0	45	0	0	0	145	5	45	7	8	4	4	0	0	0	23	22	0	4	0	18	0	7	48	0	10	22	88	12	46	7	0	6	12	15	35	16	25	22	3	23	21	20	0	1	32	58	5	4	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	0	7	12	4	0	39	3	50	48	4	5	31	0	0	0	55	0	41	67	0	0	3	0	4	0	42	50	13	0	0	78	3	6	39	0	33	78	79	11	8	58	0	5	2	56	15	31	1022	662	0	961	46	55	3	3	355	2583	174	29	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	0	30	402	44	63	156	42	197	354	32	77	155	0	216	0	257	51	169	196	11	17	26	18	15	22	338	215	539	9	0	945	28	23	419	0	217	539	364	86	425	325	0	54	114	170	160	90	323	103	32	522	73	432	14	65	151	216	75	28	12	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0	20	719	46	11	313	27	325	513	0	38	200	0	238	0	1013	17	153	169	0	0	0	0	4	5	345	717	688	8	0	922	117	0	656	0	214	1187	283	153	820	809	0	340	141	775	398	271	664	431	13	99	26	855	9	56	585	585	123	10	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	0	0	2	0	0	2	0	0	0	5	0	0	0	0	0	2	2	0	0	0	5	0	0	3	0	13	5	0	0	8	0	0	0	0	0	8	0	0	0	44	0	10	89	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	8	2	8	28	43	8	6	109	18	36	15	0	54	0	157	45	32	26	2	4	6	5	12	5	126	20	31	21	14	89	0	9	15	4	42	64	37	0	28	42	0	6	18	27	42	52	213	220	4	70	12	153	29	27	174	51	111	18	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	0	0	25	17	15	195	33	160	287	11	39	206	0	158	0	279	10	115	79	0	0	4	11	6	3	90	265	29	8	0	424	3	6	151	0	71	238	291	41	389	476	0	109	41	510	429	349	325	310	0	16	12	101	3	25	365	640	50	9	2	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0	13	77	8	20	428	8	121	166	0	23	319	0	58	0	75	49	280	114	0	0	0	0	0	0	159	77	82	2	2	34	107	0	31	0	142	57	151	95	63	58	0	89	164	159	204	185	306	175	5	24	10	65	4	6	171	200	36	5	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	51	28	315	200	581	449	48	335	837	118	46	172	0	940	2	469	226	126	105	877	131	50	82	264	130	229	175	432	317	226	356	68	146	643	16	153	281	168	81	808	167	84	43	58	319	256	193	575	126	64	396	205	844	23	214	151	812	122	52	32	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	0	0	11	0	3	9	0	4	27	0	0	9	0	20	0	44	3	10	12	0	0	0	0	0	0	21	8	17	0	0	36	3	0	9	0	15	30	15	0	25	22	0	2	5	5	33	23	23	5	0	5	8	9	0	0	19	65	5	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII AD3011 group	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	6	0	2	0	0	0	3	0	0	0	5	3	3	0	5	0	0	4	14	0	11	5	0	5	0	0	0	0	0	0	6	3	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	29	33	0	39	13	15	283	28	2	40	423	9	36	7	65	0	43	8	8	47	25	25	20	20	42	9	4	0	34	25	12	4	37	9	21	7	3	17	17	12	2	27	13	12	10	15	12	4	4	451	158	166	83	48	242	5	2	7	87	60	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0	0	0	0	0	38	2	10	35	0	4	9	0	0	0	36	0	12	7	0	0	2	0	0	0	20	17	9	0	0	18	0	0	3	0	8	18	22	0	34	8	0	10	9	34	25	17	17	10	0	0	0	37	0	0	23	25	3	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	36	61	78	313	28	91	27	154	64	1942	28	97	35	366	40	85	140	97	65	35	18	927	1220	1661	814	238	112	193	79	137	902	5	81	394	280	104	285	319	47	281	237	23	14	7	78	535	189	94	52	4136	7650	3048	919	46	534	59	75	105	6553	66	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0	22	807	34	13	295	98	216	1189	34	128	361	0	2157	0	1077	87	788	216	15	8	46	27	13	6	674	711	1459	26	24	1370	353	6	317	9	409	673	501	231	456	2650	4	397	633	718	1593	1148	539	739	3	150	106	323	3	18	390	1668	74	41	32	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	2235	2032	1652	1983	1761	1055	855	1352	894	3702	386	1065	522	1357	552	631	1490	2280	1719	1529	1619	2733	2616	1979	2348	1762	1407	1439	851	2555	1919	2524	3009	1462	1162	1514	1326	1902	2548	1268	960	1540	992	2646	2657	1625	1583	1410	426	3926	5225	5731	4383	4123	3473	923	1693	3357	5352	1951	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__	0	0	0	0	0	2	0	3	0	0	14	0	0	0	0	2	2	0	0	0	0	26	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	3	981	1296	0	1892	2126	0	8	0	191	558	3	1	1	
