OTU ID,TL1a_FP_140,TL1a_FP_207,TL1a_FP_65,TL1a_FP_64,TL1a_FP_209,TL1a_FP_206,TL1a_FP_242,TL1a_FP_77,TL1a_FP_245,TL1a_FP_76,TL1a_FP_102,TL1a_FP_98,TL1a_FP_75,TL1a_FP_173,TL1a_FP_141,TL1a_FP_174,TL1a_FP_144,TL1a_FP_142,TL1a_FP_62,TL1a_FP_74,TL1a_FP_172,TL1a_FP_171,TL1a_FP_66,TL1a_FP_143,TL1a_FP_100,TL1a_FP_99,TL1a_FP_246,TL1a_FP_78,TL1a_FP_210,TL1a_FP_208,TL1a_FP_101,TL1a_FP_244,TL1a_FP_63,TL1a_FP_243,TL1a_FP_170,TL1a_FP_205,TL1a_FP_73,TL1a_FP_139,TL1a_FP_169,TL1a_FP_61,TL1a_FP_241,TL1a_FP_97,TL1A_FP_641,TL1A_FP_689,TL1A_FP_638,TL1A_FP_640,TL1A_FP_685,TL1A_FP_686,TL1A_FP_639,TL1A_FP_687,TL1A_FP_637,TL1A_FP_688,taxonomy
k__Bacteria;p__Actinobacteria,0,0,0,0,1,0,0,0,114,0,0,0,0,46,0,14,3,8,0,0,4,0,0,6,0,0,26,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,
k__Bacteria;p__Bacteroidetes,150413,39672,83015,51962,1100,46056,63185,14241,39965,12575,58645,55918,46026,33895,48346,51557,73049,47710,65321,48866,27074,127246,47205,64099,48869,42888,29016,57102,54050,2393,35474,57499,51190,68304,55562,39405,34329,48430,37273,47764,55499,35244,2620,2559,5723,704,10875,25564,9717,15679,15834,2774,
k__Bacteria;p__Firmicutes,19358,19775,6755,1824,12760,10604,4664,7042,16317,10140,36520,4123,10171,8510,3893,10889,8157,12624,6946,10617,4402,18189,14538,13858,17723,4862,10506,10897,7351,15358,73469,7410,7517,4790,5147,6224,7151,5532,5200,16156,3353,4636,2401,2251,3161,1621,3304,3210,3605,8545,2375,2588,
k__Bacteria;p__Proteobacteria,1267,556,11052,2479,3304,359,1,39744,883,23377,1083,1987,5065,593,1850,2481,3501,770,2878,2170,101,5403,20382,1941,7036,2159,240,5948,96,1535,684,135,3345,0,4238,943,3377,1933,3074,4350,0,1966,3786,5413,323,1567,540,690,603,414,467,2220,
k__Bacteria;p__Verrucomicrobia,19413,16839,90053,11765,191965,16309,908,23418,118015,22516,3092,11651,13292,46059,6631,27491,5045,1053,13673,7496,232,8958,73787,2863,4638,6249,128910,47416,13013,177843,1082,97108,22703,870,3774,19422,8976,3686,14770,10034,1099,11712,14918,23003,4716,21881,1529,4512,5169,2519,6504,13179,
