	faith_pd
Vil1-01B-FP11	58.047293046833296
SLCFP072	52.15312887849766
Lyz2-02B-FP222-S70	33.667882978221996
SLCFP021	84.18116553169287
Itg-22-FP518-S21	50.0423833007088
SLCFP069	69.56107167677618
Lyz2-04B-FP244-S41	76.56862164807157
LYZFP308	88.96344836604987
SLCFP111	85.30447337174132
Vil1-05B-FP57	98.5290836758713
LYZFP307	62.370825554640085
Vil1-03B-FP35	59.89213659349361
Itg-02-FP409-S9	90.11599187577312
Vil1-01B-FP07	84.08388295052865
Lyz2-04B-FP243-S92	70.40244919445783
Vil1-13B-FP153	27.818387734269837
Vil1-07B-FP82	59.79783912121448
Lyz2-07B-FP283-S81	42.131333663049034
Lyz2-04B-FP245-S42	78.79614511981273
Itg-20-FP508-S11	59.97450135136555
Vil1-10B-FP115	69.00056914936624
LYZFP331	45.46271495418278
SLCFP131	56.30536893666113
Vil1-01B-FP08	115.6771858902656
Vil1-10B-FP116	90.13151324671864
Vil1-14B-FP167	39.81225537089391
SLCFP078	42.205720026140696
SLCFP070	45.47884292707116
Vil1-04B-FP46	68.15973730925185
LYZFP304	92.5937220047868
Vil1-06B-FP67	102.71467692616429
Lyz2-01B-FP208-S56	91.1199021954586
SLCFP067	70.79388793398667
Vil1-14B-FP163	87.41888181945436
Lyz2-06B-FP271-S69	53.654116678723575
SLCFP023	47.70228016284847
Vil1-09B-FP108	50.877327885601396
Itg-22-FP515-S18	88.59116950916766
SLCFP051	87.02404384730485
Lyz2-05B-FP255-S52	69.62399367315513
Vil1-02B-FP22	69.37976167496547
Lyz2-01B-FP210-S58	38.69008162503286
LYZFP328	83.1081155338847
Itg-24-FP528-S31	97.80263875664232
Vil1-05B-FP58	80.24140856161688
Vil1-04B-FP43	87.03744352381537
Vil1-08B-FP95	54.60224952615446
Vil1-09B-FP106	50.93817947754557
LYZFP317	63.725252852018365
SLCFP022	53.87915203644149
Lyz2-07B-FP282-S80	45.70388371576112
Itg-16-FP484-S87	75.90849459228926
Vil1-10B-FP120	81.54900002997837
Vil1-05B-FP60	116.38334665986417
Lyz2-01B-FP212-S60	41.76899147012247
Vil1-03B-FP32	101.51446145325346
Vil1-09B-FP105	101.08516016637233
LYZFP355	44.84345279197762
LYZFP319	54.43581970901355
Vil1-05B-FP59	69.41637873286902
SLCFP005	35.793840082501575
Vil1-08B-FP96	88.15005477515643
Itg-26-FP540-S44	98.88396237474822
SLCFP024	43.67438263747573
Vil1-06B-FP68	105.82869347874995
SLCFP093	74.45843319774932
Lyz2-08B-FP291-S89	88.5475530743341
Vil1-01B-FP09	90.65220462018479
Vil1-08B-FP92	83.74607484542238
SLCFP053	60.80215644725403
Itg-20-FP507-S10	62.08326769805799
SLCFP148	92.43933675374447
Vil1-04B-FP48	56.858123321300695
Vil1-06B-FP69	108.96089445537498
Lyz2-03B-FP234-S82	47.20426310205098
Vil1-04B-FP47	58.218377384240256
LYZFP320	53.70537911935892
Itg-24-FP530-S33	41.569567388777756
SLCFP091	71.97582162399655
Vil1-03B-FP36	84.03321407920618
Vil1-02B-FP19	83.22657683679924
Itg-02-FP412-S12	47.2129339351331
LYZFP327	75.20650884835965
Itg-26-FP539-S43	87.67678413508114
SLCFP095	25.91029947140323
SLCFP164	86.75490033788256
Itg-18-FP491-S94	87.57637066402705
Itg-16-FP481-S84	87.12166116573249
Vil1-03B-FP33	102.55651998479073
Lyz2-02B-FP224-S72	56.78271868608031
Lyz2-05B-FP259-S56	41.872788669515074
Itg-04-FP422-S22	26.323849929600105
SLCFP077	39.865771161065496
Itg-20-FP506-S9	85.82685668039224
Itg-08-FP445-S46	88.86629633741941
Itg-24-FP529-S32	96.28990463560766
Vil1-09B-FP104	98.61977012251893
Itg-26-FP544-S48	59.811938571425564
Lyz2-08B-FP292-S90	86.39972985868431
Vil1-10B-FP119	57.91116546759855
Vil1-04B-FP44	94.49880514986151
Vil1-13B-FP152	34.57678944596578
LYZFP356	52.47128546691198
Itg-10-FP460-S62	55.378201941489245
LYZFP354	43.0349782253177
Itg-20-FP504-S7	91.24635419598363
Vil1-07B-FP79	83.7199598086676
SLCFP166	67.54845473811906
Vil1-14B-FP164	79.80182977183634
SLCFP112	70.71231551445894
SLCFP073	57.276957943734125
Itg-06-FP434-S35	51.29691765612154
Itg-18-FP496-S99	33.4590127376147
Itg-24-FP531-S34	29.649343416620415
SLCFP128	73.40981216882241
Itg-24-FP527-S30	92.75612878132742
Lyz2-07B-FP279-S77	80.62024681610947
SLCFP092	77.1283233994819
LYZFP332	42.07147767059055
SLCFP002	91.88853726706705
LYZFP306	65.6314417849934
Lyz2-06B-FP269-S67	83.02582612776203
SLCFP113	56.22149043970891
Lyz2-03B-FP231-S79	73.15893417921396
SLCFP071	49.8066003837258
Lyz2-07B-FP281-S79	77.63884533636181
Vil1-09B-FP107	58.15186255417391
Itg-08-FP443-S44	82.47215679603974
Itg-02-FP410-S10	40.823983357999
SLCFP004	34.07741234790517
Vil1-04B-FP45	91.96051506483431
Itg-06-FP436-S37	47.986703071295324
Lyz2-05B-FP256-S53	78.14229597988347
Vil1-03B-FP34	80.22844946695233
Vil1-07B-FP83	69.74224064973711
SLCFP019a	79.5311761849915
Vil1-01B-FP12	61.60762896846909
Itg-12-FP469-S71	93.84722552963345
Itg-26-FP543-S47	81.62769378403206
Vil1-10B-FP117	93.69987390507649
Itg-06-FP433-S34	81.5939823882608
LYZFP316	84.25425692635145
Itg-26-FP542-S46	63.412392244919154
Lyz2-02B-FP220-S68	92.43852993769585
SLCFP075	65.34525154094345
SLCFP049	76.46524297563573
Lyz2-05B-FP257-S54	79.37422339232077
Vil1-08B-FP94	53.1411867969635
